Year,Country,League,Tier,AverageElo,MedianElo,Teams
2015,Turkey,SÃ¼per Lig,1,2408.7,2393.1,21
2015,Germany,2. Bundesliga,2,2408.2,2400.5,20
2015,Ukraine,Ukrainian Premier League,1,2374.1,2360.2,16
2015,Scotland,Scottish Premiership,1,2340.1,2318.3,13
2015,England,League One,3,2329.2,2330.6,24
2015,Greece,Super League Greece,1,2303,2301.1,20
2015,Czechia,Czech First League,1,2296.4,2266.1,18
2015,England,League Two,4,2209.5,2210.7,24
2015,England,National League,5,1975.2,1987.4,24
2016,England,Premier League,1,2676.4,2654,20
2016,Spain,La Liga,1,2624.2,2585.7,23
2016,Germany,Bundesliga,1,2587.2,2586.7,18
2016,France,Ligue 1,1,2567.8,2547,20
2016,Italy,Serie A,1,2556.1,2530.7,23
2016,England,Championship,2,2481,2478.5,24
2016,Switzerland,Swiss Super League,1,2442.9,2401.1,11
2016,Belgium,Belgian Pro League,1,2431.6,2455.5,17
2016,Netherlands,Eredivisie,1,2430.9,2415.1,20
2016,Portugal,Primeira Liga,1,2430.6,2399.9,20
2016,France,Ligue 2,2,2422.6,2424.3,23
2016,Austria,Austrian Bundesliga,1,2420.1,2386.7,11
2016,Turkey,SÃ¼per Lig,1,2406.3,2393.4,21
2016,Germany,2. Bundesliga,2,2393.9,2390,21
2016,Ukraine,Ukrainian Premier League,1,2375.3,2343.9,15
2016,Scotland,Scottish Premiership,1,2368.8,2314.6,13
2016,England,League One,3,2334.5,2334,24
2016,Greece,Super League Greece,1,2328.7,2313.7,18
2016,Czechia,Czech First League,1,2295.3,2276.5,18
2016,England,League Two,4,2204.7,2204.5,24
2016,England,National League,5,1960.2,1961.4,28
2017,England,Premier League,1,2670.8,2624.4,20
2017,Spain,La Liga,1,2625.2,2605.4,23
2017,Germany,Bundesliga,1,2593.8,2571.2,18
2017,France,Ligue 1,1,2564.5,2528.8,21
2017,Italy,Serie A,1,2559.4,2525.7,23
2017,England,Championship,2,2487.6,2493.2,24
2017,Switzerland,Swiss Super League,1,2442.8,2419.6,11
2017,Netherlands,Eredivisie,1,2432.2,2401.8,20
2017,Portugal,Primeira Liga,1,2430.8,2374.4,20
2017,Belgium,Belgian Pro League,1,2430.3,2396.1,17
2017,France,Ligue 2,2,2413.6,2421.6,22
2017,Austria,Austrian Bundesliga,1,2411.6,2398.3,11
2017,Turkey,SÃ¼per Lig,1,2411,2390.7,21
2017,Germany,2. Bundesliga,2,2388.5,2390.3,21
2017,Ukraine,Ukrainian Premier League,1,2378.5,2336.5,14
2017,Scotland,Scottish Premiership,1,2366.6,2326.2,13
2017,Greece,Super League Greece,1,2333.3,2306,18
2017,England,League One,3,2327.5,2319.7,24
2017,Czechia,Czech First League,1,2294.8,2275.4,18
2017,England,League Two,4,2202.9,2217.6,24
2017,England,National League,5,1970.2,1983.2,28
2018,England,Premier League,1,2674.4,2636.3,20
2018,Spain,La Liga,1,2652.2,2624.7,20
2018,Germany,Bundesliga,1,2590.9,2581.3,18
2018,Italy,Serie A,1,2582.5,2572,20
2018,France,Ligue 1,1,2576.8,2574.2,20
2018,England,Championship,2,2486.1,2484.4,24
2018,Spain,Segunda División,2,2472.5,2480.8,22
2018,Switzerland,Swiss Super League,1,2449.1,2425.3,11
2018,Portugal,Primeira Liga,1,2432.1,2380.9,20
2018,Belgium,Belgian Pro League,1,2427.8,2426.8,17
2018,Netherlands,Eredivisie,1,2427.8,2372.6,21
2018,Turkey,Süper Lig,1,2424.6,2422.1,18
2018,Italy,Serie B,2,2420.1,2424.5,19
2018,Austria,Austrian Bundesliga,1,2411.6,2378.5,12
2018,France,Ligue 2,2,2403.4,2397.9,23
2018,Germany,2. Bundesliga,2,2398.1,2379.7,20
2018,Ukraine,Ukrainian Premier League,1,2375.1,2333.7,15
2018,Scotland,Scottish Premiership,1,2346.9,2337.3,14
2018,Greece,Super League Greece,1,2333.2,2287.8,20
2018,England,League 1,3,2331.4,2314.9,24
2018,Turkey,SÃ¼per Lig,1,2311.8,2344.8,3
2018,Czechia,Czech First League,1,2294.8,2271.5,18
2018,England,League 2,4,2194.2,2189.9,24
2018,England,National League,5,1973.1,1976.7,28
2019,England,Premier League,1,2684.1,2653,20
2019,Spain,La Liga,1,2654.8,2630.8,20
2019,Germany,Bundesliga,1,2594.7,2587.5,18
2019,Italy,Serie A,1,2584.5,2545.2,20
2019,France,Ligue 1,1,2582.9,2572.1,20
2019,England,Championship,2,2481.1,2490.5,24
2019,Spain,Segunda División,2,2469.2,2493,26
2019,Switzerland,Swiss Super League,1,2453.5,2412.4,11
2019,Belgium,Belgian Pro League,1,2431,2425.5,17
2019,Netherlands,Eredivisie,1,2427,2383.8,21
2019,Portugal,Primeira Liga,1,2426.6,2389.8,21
2019,Turkey,Süper Lig,1,2415.5,2378.9,21
2019,Austria,Austrian Bundesliga,1,2406,2380.2,13
2019,Italy,Serie B,2,2402.8,2406.5,24
2019,France,Ligue 2,2,2401.9,2396.8,23
2019,Germany,2. Bundesliga,2,2389.1,2389,21
2019,Ukraine,Ukrainian Premier League,1,2387,2316.1,14
2019,Scotland,Scottish Premiership,1,2358.1,2316,13
2019,Greece,Super League Greece,1,2344.5,2320.3,17
2019,England,League 1,3,2326.8,2345.8,23
2019,Czechia,Czech First League,1,2307,2311.8,17
2019,England,League 2,4,2198.6,2195.3,25
2019,England,National League,5,1984.5,1996.7,28
2020,England,Premier League,1,2687.7,2666.1,20
2020,Spain,La Liga,1,2651.8,2622,20
2020,Germany,Bundesliga,1,2600.5,2558.8,18
2020,Italy,Serie A,1,2598.5,2547.9,20
2020,France,Ligue 1,1,2588,2564.2,20
2020,Spain,Segunda División,2,2490.9,2489.7,26
2020,England,Championship,2,2470.4,2470.7,24
2020,Switzerland,Swiss Super League,1,2445,2419.2,12
2020,Netherlands,Eredivisie,1,2444,2406.9,18
2020,Belgium,Belgian Pro League,1,2430.4,2413,18
2020,Portugal,Primeira Liga,1,2429.2,2393.3,20
2020,Turkey,Süper Lig,1,2415.1,2397.7,21
2020,Austria,Austrian Bundesliga,1,2411.1,2384.1,13
2020,France,Ligue 2,2,2399.5,2407.1,22
2020,Italy,Serie B,2,2396.9,2418.3,24
2020,Germany,2. Bundesliga,2,2389.2,2387.7,20
2020,Ukraine,Ukrainian Premier League,1,2375,2346.2,15
2020,Scotland,Scottish Premiership,1,2362.8,2309.1,13
2020,Greece,Super League Greece,1,2350.1,2285.2,16
2020,England,League 1,3,2330.8,2334.3,24
2020,Czechia,Czech First League,1,2312.5,2293.4,18
2020,England,League 2,4,2179.8,2175.4,25
2020,England,National League,5,1968.2,1978.6,26
2021,England,Premier League,1,2695.9,2666.6,20
2021,Spain,La Liga,1,2657.5,2632.9,20
2021,Italy,Serie A,1,2610.9,2571.4,20
2021,Germany,Bundesliga,1,2599.2,2588.8,18
2021,France,Ligue 1,1,2595.5,2571.1,20
2021,Spain,Segunda División,2,2482.1,2483.2,26
2021,England,Championship,2,2464.5,2463.3,24
2021,Switzerland,Swiss Super League,1,2445.2,2404.6,11
2021,Netherlands,Eredivisie,1,2428.5,2388.6,21
2021,Portugal,Primeira Liga,1,2425.9,2394.9,21
2021,Belgium,Belgian Pro League,1,2413,2403.3,20
2021,Austria,Austrian Bundesliga,1,2407,2393.9,13
2021,Italy,Serie B,2,2403.2,2411.2,24
2021,France,Ligue 2,2,2400.6,2399.6,22
2021,Turkey,Süper Lig,1,2394.8,2369.1,24
2021,Germany,2. Bundesliga,2,2393.5,2413.8,21
2021,Ukraine,Ukrainian Premier League,1,2359.2,2312.1,17
2021,Scotland,Scottish Premiership,1,2348.7,2316.5,14
2021,Greece,Super League Greece,1,2345.6,2295,15
2021,England,League 1,3,2320.8,2310.5,24
2021,Czechia,Czech First League,1,2307,2283,21
2021,England,League 2,4,2182.7,2176.2,24
2021,England,National League,5,1977.3,2002.4,23
2022,England,Premier League,1,2696.4,2659.6,20
2022,Spain,La Liga,1,2660,2627.5,20
2022,Italy,Serie A,1,2615.6,2588.1,20
2022,Germany,Bundesliga,1,2609.8,2593.1,18
2022,France,Ligue 1,1,2600,2573.7,20
2022,Spain,Segunda División,2,2476.1,2478.2,26
2022,England,Championship,2,2458.4,2456.9,24
2022,Netherlands,Eredivisie,1,2434.5,2383.3,21
2022,Portugal,Primeira Liga,1,2426.5,2390.5,21
2022,Switzerland,Swiss Super League,1,2426.2,2450.5,11
2022,Italy,Serie B,2,2419,2437.9,24
2022,Belgium,Belgian Pro League,1,2416.2,2403.1,19
2022,Austria,Austrian Bundesliga,1,2407.4,2392,13
2022,Turkey,Süper Lig,1,2401,2394.5,23
2022,France,Ligue 2,2,2399.7,2401.2,22
2022,Germany,2. Bundesliga,2,2392.9,2405.6,21
2022,Scotland,Scottish Premiership,1,2356.8,2314.5,13
2022,Greece,Super League Greece,1,2340.6,2300.5,15
2022,England,League 1,3,2326.4,2307.4,24
2022,Czechia,Czech First League,1,2319.9,2286.9,17
2022,England,League 2,4,2183.4,2189.9,24
2022,England,National League,5,1966.1,1961,27
2023,England,Premier League,1,2700.5,2686.8,20
2023,Spain,La Liga,1,2657.9,2632.8,20
2023,Italy,Serie A,1,2629.1,2602.4,20
2023,France,Ligue 1,1,2624.4,2613.5,18
2023,Germany,Bundesliga,1,2602.5,2581.4,18
2023,Spain,Segunda División,2,2479.2,2485.9,26
2023,England,Championship,2,2463.6,2448.3,24
2023,Netherlands,Eredivisie,1,2431.3,2378.1,21
2023,Portugal,Primeira Liga,1,2429.2,2375.8,21
2023,Belgium,Belgian Pro League,1,2427.1,2415.7,19
2023,Italy,Serie B,2,2412.8,2402.1,24
2023,Turkey,Süper Lig,1,2412.1,2395.7,22
2023,Switzerland,Swiss Super League,1,2406.1,2425,13
2023,Austria,Austrian Bundesliga,1,2404.6,2396.9,13
2023,Germany,2. Bundesliga,2,2399.9,2387.6,21
2023,France,Ligue 2,2,2397.9,2409.9,24
2023,Scotland,Scottish Premiership,1,2361.2,2324,13
2023,Ukraine,Ukrainian Premier League,1,2340.7,2308.1,16
2023,Greece,Super League Greece,1,2335.6,2286,16
2023,Czechia,Czech First League,1,2324.9,2296.7,19
2023,England,League 1,3,2314.2,2296.2,24
2023,England,League 2,4,2193,2196.1,24
2023,England,National League,5,1972.9,1974.9,28
2024,England,Premier League,1,2706.2,2700.8,20
2024,Spain,La Liga,1,2664.5,2640.7,20
2024,Italy,Serie A,1,2639.6,2605.5,20
2024,France,Ligue 1,1,2619.2,2617.8,18
2024,Germany,Bundesliga,1,2607.9,2606.9,18
2024,Spain,Segunda División,2,2474.5,2468.5,26
2024,England,Championship,2,2463.5,2461.6,24
2024,Belgium,Belgian Pro League,1,2442.5,2432.1,18
2024,Netherlands,Eredivisie,1,2433.5,2397.5,21
2024,Portugal,Primeira Liga,1,2421.8,2383.9,21
2024,Austria,Austrian Bundesliga,1,2412,2397.4,13
2024,Italy,Serie B,2,2410.5,2406.3,24
2024,France,Ligue 2,2,2410.4,2416.7,22
2024,Turkey,Süper Lig,1,2408.7,2392.5,23
2024,Switzerland,Swiss Super League,1,2406.2,2415.6,13
2024,Germany,2. Bundesliga,2,2402,2412.6,21
2024,Scotland,Scottish Premiership,1,2359.7,2335,13
2024,Greece,Super League Greece,1,2337.5,2275.7,16
2024,Ukraine,Ukrainian Premier League,1,2321.3,2286.3,19
2024,England,League 1,3,2315.6,2327.3,24
2024,Czechia,Czech First League,1,2315.5,2297.7,17
2024,England,League 2,4,2178.2,2168.2,24
2024,England,National League,5,1988.2,1989.8,28
2025,England,Premier League,1,2721.8,2709.4,20
2025,Spain,La Liga,1,2671.3,2633.2,20
2025,Italy,Serie A,1,2642.7,2599,20
2025,France,Ligue 1,1,2620.7,2618.9,18
2025,Germany,Bundesliga,1,2614.9,2578.6,18
2025,Spain,Segunda División,2,2464.2,2474.4,26
2025,England,Championship,2,2454,2461.6,24
2025,Belgium,Belgian Pro League,1,2449.1,2441.5,18
2025,Netherlands,Eredivisie,1,2431.1,2402.3,21
2025,Portugal,Primeira Liga,1,2428.3,2396.2,20
2025,Switzerland,Swiss Super League,1,2418.7,2426.2,13
2025,Turkey,Süper Lig,1,2412.4,2383.5,22
2025,Germany,2. Bundesliga,2,2412.2,2419.2,20
2025,France,Ligue 2,2,2409.4,2411.8,21
2025,Austria,Austrian Bundesliga,1,2408.2,2425.4,13
2025,Italy,Serie B,2,2407.1,2395.8,24
2025,Scotland,Scottish Premiership,1,2349.2,2327.3,14
2025,Greece,Super League Greece,1,2346.1,2286.3,16
2025,Czechia,Czech First League,1,2332.6,2311.1,18
2025,Ukraine,Ukrainian Premier League,1,2328.4,2307.2,16
2025,England,League 1,3,2320,2318.2,24
2025,England,League 2,4,2175.2,2179.4,24
2025,England,National League,5,1983.2,1970.4,28
2026,England,Premier League,1,2717,2718.5,20
2026,Spain,La Liga,1,2656.6,2638,23
2026,Italy,Serie A,1,2631.3,2600.7,23
2026,France,Ligue 1,1,2606,2591.9,20
2026,Germany,Bundesliga,1,2595.8,2555.7,21
2026,Belgium,Belgian Pro League,1,2467.3,2446.7,16
2026,Spain,Segunda División,2,2465.3,2461.6,19
2026,England,Championship,2,2456.9,2436.8,27
2026,Turkey,Süper Lig,1,2434.5,2392.5,18
2026,Portugal,Primeira Liga,1,2428.7,2377.6,20
2026,Netherlands,Eredivisie,1,2427.6,2408.2,21
2026,Switzerland,Swiss Super League,1,2419.3,2452,12
2026,Austria,Austrian Bundesliga,1,2416.1,2410.8,12
2026,France,Ligue 2,2,2409.9,2394.4,16
2026,Germany,2. Bundesliga,2,2407.3,2413.1,15
2026,Italy,Serie B,2,2390.3,2375.3,17
2026,Scotland,Scottish Premiership,1,2369.3,2317.8,12
2026,Greece,Super League Greece,1,2367.7,2308.2,14
2026,Czechia,Czech First League,1,2341.3,2302.3,16
2026,England,League 1,3,2307.7,2315.3,21
2026,England,League 2,4,2174.2,2183.2,24
2026,England,National League,5,1993,1989.5,24
