Source,Country,Competition,CompetitionType,Tier,League,Season,Date,HomeRaw,AwayRaw,HomeGoals,AwayGoals,Score,Result,SourceURL,SourceLine,SourceText
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-21,Khimki,Rostov,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus07.html,534,Khimki    1-0 Rostov
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-22,Moskva,Dinamo,4,1,4-1,1-0,https://www.rsssf.org/tablesr/rus07.html,537,Moskva    4-1 Dinamo
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-22,Spartak N,Saturn,1,3,1-3,0-1,https://www.rsssf.org/tablesr/rus07.html,540,Spartak N 1-3 Saturn
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-22,Luch-Ener,Kuban,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus07.html,543,Luch-Ener 1-0 Kuban
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-23,Lokomotiv,Spartak M,4,3,4-3,1-0,https://www.rsssf.org/tablesr/rus07.html,546,Lokomotiv 4-3 Spartak M
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-23,Rubin,Zenit,1,4,1-4,0-1,https://www.rsssf.org/tablesr/rus07.html,549,Rubin     1-4 Zenit
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-23,CSKA,Amkar,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus07.html,552,CSKA      1-0 Amkar
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-23,Krylya S,Tom,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus07.html,554,Krylya S  1-1 Tom
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-29,Zenit,CSKA,2,1,2-1,1-0,https://www.rsssf.org/tablesr/rus07.html,559,Zenit     2-1 CSKA
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-29,Spartak M,Khimki,2,0,2-0,1-0,https://www.rsssf.org/tablesr/rus07.html,561,Spartak M 2-0 Khimki
