date,home_team,away_team,home_score,away_score,result,competition
1908-03-14,Ireland,Wales,5,11,Wales,Home Nations Championship
1908-03-21,Scotland,England,16,10,Scotland,Home Nations Championship
1908-06-06,All Blacks,Great Britain,32,5,All Blacks,British Lions in Australia & New Zealand
1908-06-27,All Blacks,Great Britain,3,3,Draw,British Lions in Australia & New Zealand
1908-07-25,All Blacks,Great Britain,29,0,All Blacks,British Lions in Australia & New Zealand
1908-12-12,Wales,Australia,9,6,Wales,Australia in Great Britain (1908-09)
1909-01-09,England,Australia,3,9,Australia,Australia in Great Britain (1908-09)
1909-01-16,Wales,England,8,0,Wales,Home Nations Championship
1909-01-30,England,France,22,0,England,France in England
1909-02-06,Scotland,Wales,3,5,Wales,Home Nations Championship
1909-02-13,Ireland,England,5,11,England,Home Nations Championship
1909-02-23,France,Wales,5,47,Wales,Wales in France
1909-02-27,Scotland,Ireland,9,3,Scotland,Home Nations Championship
1909-03-13,Wales,Ireland,18,5,Wales,Home Nations Championship
1909-03-20,England,Scotland,8,18,Scotland,Home Nations Championship
1909-03-20,Ireland,France,19,8,Ireland,France in Ireland
1910-01-01,Wales,France,49,14,Wales,Five Nations Championship
1910-01-15,England,Wales,11,6,England,Five Nations Championship
1910-01-22,Scotland,France,27,0,Scotland,Five Nations Championship
1910-02-05,Wales,Scotland,14,0,Wales,Five Nations Championship
1910-02-12,England,Ireland,0,0,Draw,Five Nations Championship
1910-02-26,Ireland,Scotland,0,14,Scotland,Five Nations Championship
1910-03-03,France,England,3,11,England,Five Nations Championship
1910-03-12,Ireland,Wales,3,19,Wales,Five Nations Championship
1910-03-19,Scotland,England,5,14,England,Five Nations Championship
1910-03-28,France,Ireland,3,8,Ireland,Five Nations Championship
1910-06-12,Argentina,Great Britain,3,28,Great Britain,British Lions in Argentina
1910-06-25,Australia,All Blacks,0,6,All Blacks,All Blacks in New Zealand & Australia
1910-06-27,Australia,All Blacks,11,0,Australia,All Blacks in New Zealand & Australia
1910-07-02,Australia,All Blacks,13,28,All Blacks,All Blacks in New Zealand & Australia
1910-08-06,South Africa,Great Britain,14,10,South Africa,British Lions in South Africa
1910-08-27,South Africa,Great Britain,3,8,Great Britain,British Lions in South Africa
1910-09-03,South Africa,Great Britain,21,5,South Africa,British Lions in South Africa
1911-01-02,France,Scotland,16,15,France,Five Nations Championship
1911-01-21,Wales,England,15,11,Wales,Five Nations Championship
1911-01-28,England,France,37,0,England,Five Nations Championship
1911-02-04,Scotland,Wales,10,32,Wales,Five Nations Championship
1911-02-11,Ireland,England,3,0,Ireland,Five Nations Championship
1911-02-25,Scotland,Ireland,10,16,Ireland,Five Nations Championship
1911-02-28,France,Wales,0,15,Wales,Five Nations Championship
1911-03-11,Wales,Ireland,16,0,Wales,Five Nations Championship
1911-03-18,England,Scotland,13,8,England,Five Nations Championship
1911-03-25,Ireland,France,25,5,Ireland,Five Nations Championship
1912-01-01,France,Ireland,6,11,Ireland,Five Nations Championship
1912-01-20,England,Wales,8,0,England,Five Nations Championship
1912-01-20,Scotland,France,31,3,Scotland,Five Nations Championship
1912-02-03,Wales,Scotland,21,6,Wales,Five Nations Championship
1912-02-10,England,Ireland,15,0,England,Five Nations Championship
1912-02-24,Ireland,Scotland,10,8,Ireland,Five Nations Championship
1912-03-09,Ireland,Wales,12,5,Ireland,Five Nations Championship
1912-03-16,Scotland,England,8,3,Scotland,Five Nations Championship
1912-03-25,Wales,France,14,8,Wales,Five Nations Championship
1912-04-08,France,England,8,18,England,Five Nations Championship
1912-11-16,United States,Australia,8,12,Australia,Australia in United States & Canada
1912-11-23,Scotland,South Africa,0,16,South Africa,South Africa in Europe (1912-13)
1912-11-30,Ireland,South Africa,0,38,South Africa,South Africa in Europe (1912-13)
1912-12-14,Wales,South Africa,0,3,South Africa,South Africa in Europe (1912-13)
1913-01-01,France,Scotland,3,21,Scotland,Five Nations Championship
1913-01-04,England,South Africa,3,9,South Africa,South Africa in Europe (1912-13)
1913-01-11,France,South Africa,5,38,South Africa,South Africa in Europe (1912-13)
1913-01-18,Wales,England,0,12,England,Five Nations Championship
1913-01-25,England,France,20,0,England,Five Nations Championship
1913-02-01,Scotland,Wales,0,8,Wales,Five Nations Championship
1913-02-08,Ireland,England,4,15,England,Five Nations Championship
1913-02-22,Scotland,Ireland,29,14,Scotland,Five Nations Championship
1913-02-27,France,Wales,8,11,Wales,Five Nations Championship
1913-03-08,Wales,Ireland,16,13,Wales,Five Nations Championship
1913-03-15,England,Scotland,3,0,England,Five Nations Championship
1913-03-24,Ireland,France,24,0,Ireland,Five Nations Championship
1913-09-06,All Blacks,Australia,30,5,All Blacks,Australia in New Zealand
1913-09-13,All Blacks,Australia,25,13,All Blacks,Australia in New Zealand
1913-09-20,All Blacks,Australia,5,16,Australia,Australia in New Zealand
1913-11-15,United States,All Blacks,3,51,All Blacks,All Blacks in United States
1914-01-01,France,Ireland,6,8,Ireland,Five Nations Championship
1914-01-17,England,Wales,10,9,England,Five Nations Championship
1914-02-07,Wales,Scotland,24,5,Wales,Five Nations Championship
1914-02-14,England,Ireland,17,12,England,Five Nations Championship
1914-02-28,Ireland,Scotland,6,0,Ireland,Five Nations Championship
1914-03-02,Wales,France,31,0,Wales,Five Nations Championship
1914-03-14,Ireland,Wales,3,11,Wales,Five Nations Championship
1914-03-21,Scotland,England,15,16,England,Five Nations Championship
1914-04-13,France,England,13,39,England,Five Nations Championship
1914-07-18,Australia,All Blacks,0,5,All Blacks,All Blacks in Australia
1914-08-01,Australia,All Blacks,0,17,All Blacks,All Blacks in Australia
1914-08-15,Australia,All Blacks,7,22,All Blacks,All Blacks in Australia
1920-01-01,France,Scotland,0,5,Scotland,Five Nations Championship
1920-01-17,Wales,England,19,5,Wales,Five Nations Championship
1920-01-31,England,France,8,3,England,Five Nations Championship
1920-02-07,Scotland,Wales,9,5,Scotland,Five Nations Championship
1920-02-14,Ireland,England,11,14,England,Five Nations Championship
1920-02-17,France,Wales,5,6,Wales,Five Nations Championship
1920-02-28,Scotland,Ireland,19,0,Scotland,Five Nations Championship
1920-03-13,Wales,Ireland,28,4,Wales,Five Nations Championship
1920-03-20,England,Scotland,13,4,England,Five Nations Championship
1920-04-03,Ireland,France,7,15,France,Five Nations Championship
1920-10-10,France,United States,14,5,France,United States in France
1921-01-15,England,Wales,18,3,England,Five Nations Championship
1921-01-22,Scotland,France,0,3,France,Five Nations Championship
1921-02-05,Wales,Scotland,8,14,Scotland,Five Nations Championship
1921-02-12,England,Ireland,15,0,England,Five Nations Championship
1921-02-26,Ireland,Scotland,9,8,Ireland,Five Nations Championship
1921-02-26,Wales,France,12,4,Wales,Five Nations Championship
1921-03-12,Ireland,Wales,0,6,Wales,Five Nations Championship
1921-03-19,Scotland,England,0,18,England,Five Nations Championship
1921-03-28,France,England,6,10,England,Five Nations Championship
1921-04-09,France,Ireland,20,10,France,Five Nations Championship
1921-08-13,All Blacks,South Africa,13,5,All Blacks,South Africa in Australia & New Zealand
1921-08-27,All Blacks,South Africa,5,9,South Africa,South Africa in Australia & New Zealand
1921-09-17,All Blacks,South Africa,0,0,Draw,South Africa in Australia & New Zealand
1922-01-02,France,Scotland,3,3,Draw,Five Nations Championship
1922-01-21,Wales,England,28,6,Wales,Five Nations Championship
1922-02-04,Scotland,Wales,9,9,Draw,Five Nations Championship
1922-02-11,Ireland,England,3,12,England,Five Nations Championship
1922-02-25,England,France,11,11,Draw,Five Nations Championship
1922-02-25,Scotland,Ireland,6,3,Scotland,Five Nations Championship
1922-03-11,Wales,Ireland,11,5,Wales,Five Nations Championship
1922-03-18,England,Scotland,11,5,England,Five Nations Championship
1922-03-23,France,Wales,3,11,Wales,Five Nations Championship
1922-04-08,Ireland,France,8,3,Ireland,Five Nations Championship
1923-01-20,England,Wales,7,3,England,Five Nations Championship
1923-01-20,Scotland,France,16,3,Scotland,Five Nations Championship
1923-02-03,Wales,Scotland,3,11,Scotland,Five Nations Championship
1923-02-10,England,Ireland,23,5,England,Five Nations Championship
1923-02-24,Ireland,Scotland,3,13,Scotland,Five Nations Championship
1923-02-24,Wales,France,16,8,Wales,Five Nations Championship
1923-03-10,Ireland,Wales,5,4,Ireland,Five Nations Championship
1923-03-17,Scotland,England,6,8,England,Five Nations Championship
1923-04-02,France,England,3,12,England,Five Nations Championship
1923-04-14,France,Ireland,14,8,France,Five Nations Championship
1924-01-01,France,Scotland,12,10,France,Five Nations Championship
1924-01-19,Wales,England,9,17,England,Five Nations Championship
1924-01-26,Ireland,France,6,0,Ireland,Five Nations Championship
1924-02-02,Scotland,Wales,35,10,Scotland,Five Nations Championship
1924-02-09,Ireland,England,3,14,England,Five Nations Championship
1924-02-23,England,France,19,7,England,Five Nations Championship
1924-02-23,Scotland,Ireland,13,8,Scotland,Five Nations Championship
1924-03-08,Wales,Ireland,10,13,Ireland,Five Nations Championship
1924-03-15,England,Scotland,19,0,England,Five Nations Championship
1924-03-27,France,Wales,6,10,Wales,Five Nations Championship
1924-05-04,France,Romania,59,3,France,Olympic Games
1924-05-08,France,United States,3,17,United States,Olympic Games
1924-08-16,South Africa,Great Britain,7,3,South Africa,British Lions in South Africa
1924-08-23,South Africa,Great Britain,17,0,South Africa,British Lions in South Africa
1924-09-13,South Africa,Great Britain,3,3,Draw,British Lions in South Africa
1924-09-20,South Africa,Great Britain,16,9,South Africa,British Lions in South Africa
1924-11-01,Ireland,All Blacks,0,6,All Blacks,"All Blacks in Australia, Europe & Canada (1924-25)"
1924-11-29,Wales,All Blacks,0,19,All Blacks,"All Blacks in Australia, Europe & Canada (1924-25)"
1925-01-01,France,Ireland,3,9,Ireland,Five Nations Championship
1925-01-03,England,All Blacks,11,17,All Blacks,"All Blacks in Australia, Europe & Canada (1924-25)"
