date,home_team,away_team,home_score,away_score,result,competition
2001-03-17,Scotland,Italy,23,19,Scotland,Six Nations Championship
2001-04-07,England,France,48,19,England,Six Nations Championship
2001-04-08,Italy,Wales,23,33,Wales,Six Nations Championship
2001-04-25,India,Kazakhstan,9,51,Kazakhstan,Asia Rugby Championship
2001-04-26,Arabian Gulf,Kazakhstan,66,22,Arabian Gulf,Asia Rugby Championship
2001-04-27,Arabian Gulf,India,97,3,Arabian Gulf,Asia Rugby Championship
2001-05-05,Singapore,Hong Kong,8,26,Hong Kong,Asia Rugby Championship
2001-05-12,China,Hong Kong,25,25,Draw,Asia Rugby Championship
2001-05-13,Japan,South Korea,27,19,Japan,Asia Rugby Championship
2001-05-13,Malaysia,Sri Lanka,18,7,Malaysia,Asia Rugby Championship
2001-05-19,Argentina,Uruguay,32,27,Argentina,Pan American Championship
2001-05-19,Canada,United States,19,10,Canada,Pan American Championship
2001-05-19,China,Singapore,33,6,China,Asia Rugby Championship
2001-05-20,South Korea,Taiwan,74,22,South Korea,Asia Rugby Championship
2001-05-20,Sri Lanka,Thailand,46,17,Sri Lanka,Asia Rugby Championship
2001-05-23,Argentina,United States,44,16,Argentina,Pan American Championship
2001-05-23,Canada,Uruguay,14,8,Canada,Pan American Championship
2001-05-25,Tonga,Fiji,31,26,Tonga,Pacific Tri-Nations
2001-05-26,Canada,Argentina,6,20,Argentina,Pan American Championship
2001-05-26,United States,Uruguay,31,28,United States,Pan American Championship
2001-05-27,Taiwan,Japan,15,65,Japan,Asia Rugby Championship
2001-06-02,Canada,England,10,22,England,England in North America
2001-06-02,Romania,Ireland,3,37,Ireland,Ireland in Romania
2001-06-02,Samoa,Tonga,20,18,Samoa,Pacific Tri-Nations
2001-06-09,Canada,England,20,59,England,England in North America
2001-06-09,Fiji,Samoa,27,36,Samoa,Pacific Tri-Nations
2001-06-10,Japan,Wales,10,64,Wales,Wales in Japan
2001-06-16,All Blacks,Samoa,50,6,All Blacks,Samoa in New Zealand
2001-06-16,Fiji,Tonga,25,20,Fiji,Pacific Tri-Nations
2001-06-16,South Africa,France,23,32,France,France in South Africa & New Zealand
2001-06-16,Thailand,Malaysia,29,13,Thailand,Asia Rugby Championship
2001-06-16,United States,England,19,48,England,England in North America
2001-06-17,Japan,Wales,30,53,Wales,Wales in Japan
2001-06-23,All Blacks,Argentina,67,19,All Blacks,Argentina in New Zealand
2001-06-23,Namibia,Italy,24,49,Italy,Italy in Africa & South America
2001-06-23,Samoa,Fiji,19,22,Fiji,Pacific Tri-Nations
2001-06-23,South Africa,France,20,15,South Africa,France in South Africa & New Zealand
2001-06-29,Tonga,Samoa,14,23,Samoa,Pacific Tri-Nations
2001-06-30,All Blacks,France,37,12,All Blacks,France in South Africa & New Zealand
2001-06-30,Australia,British and Irish Lions,13,29,British and Irish Lions,British & Irish Lions in Australia
2001-06-30,South Africa,Italy,60,14,South Africa,Italy in Africa & South America
2001-07-03,Canada,Fiji,23,52,Fiji,Pacific Rim Championship
2001-07-04,Japan,Samoa,8,47,Samoa,Pacific Rim Championship
2001-07-07,Australia,British and Irish Lions,35,14,Australia,British & Irish Lions in Australia
2001-07-07,Uruguay,Italy,3,14,Italy,Italy in Africa & South America
2001-07-08,Fiji,Samoa,28,17,Fiji,Pacific Rim Championship
2001-07-08,Japan,Canada,39,7,Japan,Pacific Rim Championship
2001-07-14,Argentina,Italy,38,17,Argentina,Italy in Africa & South America
2001-07-14,Australia,British and Irish Lions,29,23,Australia,British & Irish Lions in Australia
2001-07-21,South Africa,All Blacks,3,12,All Blacks,Tri Nations
2001-07-28,South Africa,Australia,20,15,South Africa,Tri Nations
2001-08-11,All Blacks,Australia,15,23,Australia,Tri Nations
2001-08-18,Australia,South Africa,14,14,Draw,Tri Nations
2001-08-25,All Blacks,South Africa,26,15,All Blacks,Tri Nations
2001-09-01,Australia,All Blacks,29,26,Australia,Tri Nations
2001-09-19,Wales,Romania,81,9,Wales,Romania in United Kingdom
2001-09-22,Scotland,Ireland,32,10,Scotland,Six Nations Championship
2001-10-06,Uruguay,Paraguay,62,8,Uruguay,"South American Rugby Championship ""A"""
2001-10-13,Uruguay,Chile,26,7,Uruguay,"South American Rugby Championship ""A"""
2001-10-13,Wales,Ireland,6,36,Ireland,Six Nations Championship
2001-10-20,Ireland,England,20,14,Ireland,Six Nations Championship
2001-10-27,Chile,Paraguay,48,0,Chile,"South American Rugby Championship ""A"""
2001-11-01,Spain,Australia,10,92,Australia,Australia in Europe
2001-11-10,England,Australia,21,15,England,Australia in Europe
2001-11-10,France,South Africa,20,10,France,South Africa in Europe & United States
2001-11-10,Italy,Fiji,66,10,Italy,Fiji in Europe
2001-11-10,Scotland,Tonga,43,20,Scotland,Tonga in United Kingdom
2001-11-10,Wales,Argentina,16,30,Argentina,Argentina in United Kingdom
2001-11-11,Ireland,Samoa,35,8,Ireland,Samoa in Europe
2001-11-17,England,Romania,134,0,England,Romania in United Kingdom
2001-11-17,France,Australia,14,13,France,Australia in Europe
2001-11-17,Ireland,All Blacks,29,40,All Blacks,All Blacks in Northern Hemisphere
2001-11-17,Italy,South Africa,26,54,South Africa,South Africa in Europe & United States
2001-11-17,Wales,Tonga,51,7,Wales,Tonga in United Kingdom
2001-11-18,Scotland,Argentina,16,25,Argentina,Argentina in United Kingdom
2001-11-24,England,South Africa,29,9,England,South Africa in Europe & United States
2001-11-24,France,Fiji,77,10,France,Fiji in Europe
2001-11-24,Italy,Samoa,9,17,Samoa,Samoa in Europe
2001-11-24,Scotland,All Blacks,6,37,All Blacks,All Blacks in Northern Hemisphere
2001-11-25,Wales,Australia,13,21,Australia,Australia in Europe
2001-12-01,Argentina,All Blacks,20,24,All Blacks,All Blacks in Northern Hemisphere
2001-12-01,United States,South Africa,20,43,South Africa,South Africa in Europe & United States
2002-02-02,France,Italy,33,12,France,Six Nations Championship
2002-02-02,Scotland,England,3,29,England,Six Nations Championship
2002-02-03,Ireland,Wales,54,10,Ireland,Six Nations Championship
2002-02-16,England,Ireland,45,11,England,Six Nations Championship
2002-02-16,Italy,Scotland,12,29,Scotland,Six Nations Championship
2002-02-16,Wales,France,33,37,France,Six Nations Championship
2002-03-02,France,England,20,15,France,Six Nations Championship
2002-03-02,Ireland,Scotland,43,22,Ireland,Six Nations Championship
2002-03-02,Wales,Italy,44,20,Wales,Six Nations Championship
2002-03-23,England,Wales,50,10,England,Six Nations Championship
2002-03-23,Ireland,Italy,32,17,Ireland,Six Nations Championship
2002-03-23,Scotland,France,10,22,France,Six Nations Championship
2002-04-06,France,Ireland,44,5,France,Six Nations Championship
2002-04-06,Wales,Scotland,22,27,Scotland,Six Nations Championship
2002-04-07,Italy,England,9,45,England,Six Nations Championship
2002-04-28,Argentina,Uruguay,35,21,Argentina,"South American Rugby Championship ""A"""
2002-04-28,Chile,Paraguay,57,5,Chile,"South American Rugby Championship ""A"""
2002-05-01,Argentina,Paraguay,152,0,Argentina,"South American Rugby Championship ""A"""
2002-05-01,Chile,Uruguay,16,33,Uruguay,"South American Rugby Championship ""A"""
2002-05-03,Paraguay,Uruguay,6,81,Uruguay,"South American Rugby Championship ""A"""
2002-05-04,Argentina,Chile,57,13,Argentina,"South American Rugby Championship ""A"""
2002-05-19,Japan,Russia,59,19,Japan,Russia in Japan
2002-05-26,Japan,Tonga,29,41,Tonga,Tonga in Japan
2002-06-01,Samoa,Fiji,16,17,Fiji,Pacific Tri-Nations
2002-06-07,Tonga,Fiji,22,47,Fiji,Pacific Tri-Nations
2002-06-08,All Blacks,Italy,64,10,All Blacks,Italy in New Zealand
2002-06-08,South Africa,Wales,34,19,South Africa,Wales in South Africa
2002-06-15,All Blacks,Ireland,15,6,All Blacks,Ireland in New Zealand
2002-06-15,Argentina,France,28,27,Argentina,France in Argentina & Australia
2002-06-15,Canada,Scotland,26,23,Canada,Scotland in North America
2002-06-15,South Africa,Wales,19,8,South Africa,Wales in South Africa
2002-06-15,Tonga,Samoa,16,27,Samoa,Pacific Tri-Nations
2002-06-16,Japan,South Korea,90,24,Japan,Rugby World Cup Qualifier (2003)
2002-06-22,All Blacks,Ireland,40,8,All Blacks,Ireland in New Zealand
2002-06-22,Argentina,England,18,26,England,England in Argentina
2002-06-22,Australia,France,29,17,Australia,France in Argentina & Australia
2002-06-22,Fiji,Samoa,12,22,Samoa,Pacific Tri-Nations
2002-06-22,United States,Scotland,23,65,Scotland,Scotland in North America
2002-06-28,Samoa,Tonga,31,13,Samoa,Pacific Tri-Nations
2002-06-29,All Blacks,Fiji,68,18,All Blacks,Fiji in New Zealand
2002-06-29,Australia,France,31,25,Australia,France in Argentina & Australia
2002-06-29,South Africa,Argentina,49,29,South Africa,Argentina in South Africa
2002-07-06,Fiji,Tonga,47,20,Fiji,Pacific Tri-Nations
2002-07-06,South Africa,Samoa,60,18,South Africa,Samoa in South Africa
2002-07-07,Japan,China,155,3,Japan,Rugby World Cup Qualifier (2003)
2002-07-13,All Blacks,Australia,12,6,All Blacks,Tri Nations
2002-07-14,South Korea,Japan,17,55,Japan,Rugby World Cup Qualifier (2003)
2002-07-20,All Blacks,South Africa,41,20,All Blacks,Tri Nations
2002-07-21,China,Japan,3,120,Japan,Rugby World Cup Qualifier (2003)
2002-07-27,Australia,South Africa,38,27,Australia,Tri Nations
2002-08-03,Australia,All Blacks,16,14,Australia,Tri Nations
2002-08-10,South Africa,All Blacks,23,30,All Blacks,Tri Nations
2002-08-17,South Africa,Australia,33,31,South Africa,Tri Nations
2002-09-07,Ireland,Romania,39,8,Ireland,Romania in Ireland
2002-09-21,Russia,Ireland,3,35,Ireland,Rugby World Cup Qualifier (2003)
2002-09-22,Spain,Italy,3,50,Italy,Rugby World Cup Qualifier (2003)
2002-09-28,Ireland,Georgia,63,14,Ireland,Rugby World Cup Qualifier (2003)
2002-09-28,Italy,Romania,25,17,Italy,Rugby World Cup Qualifier (2003)
2002-10-13,South Korea,Japan,45,34,South Korea,Asian Games
2002-11-01,Wales,Romania,40,3,Wales,Romania in United Kingdom
2002-11-02,Argentina,Australia,6,17,Australia,Australia in Argentina & Europe
2002-11-09,England,All Blacks,31,28,England,All Blacks in Northern Hemisphere
2002-11-09,France,South Africa,30,10,France,South Africa in Europe
2002-11-09,Ireland,Australia,18,9,Ireland,Australia in Argentina & Europe
2002-11-09,Scotland,Romania,37,10,Scotland,Romania in United Kingdom
2002-11-09,Wales,Fiji,58,14,Wales,Fiji in Europe
2002-11-16,England,Australia,32,31,England,Australia in Argentina & Europe
2002-11-16,France,All Blacks,20,20,Draw,All Blacks in Northern Hemisphere
2002-11-16,Italy,Argentina,6,36,Argentina,Argentina in Europe
2002-11-16,Scotland,South Africa,21,6,Scotland,South Africa in Europe
2002-11-16,Wales,Canada,32,21,Wales,Canada in Europe
2002-11-17,Ireland,Fiji,64,17,Ireland,Fiji in Europe
2002-11-23,England,South Africa,53,3,England,South Africa in Europe
2002-11-23,France,Canada,35,3,France,Canada in Europe
2002-11-23,Ireland,Argentina,16,7,Ireland,Argentina in Europe
2002-11-23,Italy,Australia,3,34,Australia,Australia in Argentina & Europe
2002-11-23,Wales,All Blacks,17,43,All Blacks,All Blacks in Northern Hemisphere
2002-11-24,Scotland,Fiji,36,22,Scotland,Fiji in Europe
2002-11-30,Papua New Guinea,Tonga,14,47,Tonga,Rugby World Cup Qualifier (2003)
2002-12-07,Tonga,Papua New Guinea,84,12,Tonga,Rugby World Cup Qualifier (2003)
2003-02-15,England,France,25,17,England,Six Nations Championship
2003-02-15,Italy,Wales,30,22,Italy,Six Nations Championship
2003-02-16,Scotland,Ireland,6,36,Ireland,Six Nations Championship
2003-02-22,Italy,Ireland,13,37,Ireland,Six Nations Championship
2003-02-22,Wales,England,9,26,England,Six Nations Championship
2003-02-23,France,Scotland,38,3,France,Six Nations Championship
2003-03-08,Ireland,France,15,12,Ireland,Six Nations Championship
2003-03-08,Scotland,Wales,30,22,Scotland,Six Nations Championship
2003-03-09,England,Italy,40,5,England,Six Nations Championship
2003-03-15,South Korea,Tonga,0,75,Tonga,Rugby World Cup Qualifiers (2003)
2003-03-22,England,Scotland,40,9,England,Six Nations Championship
2003-03-22,Tonga,South Korea,119,0,Tonga,Rugby World Cup Qualifiers (2003)
2003-03-22,Wales,Ireland,24,25,Ireland,Six Nations Championship
2003-03-23,Italy,France,27,53,France,Six Nations Championship
2003-03-29,France,Wales,33,5,France,Six Nations Championship
2003-03-29,Scotland,Italy,33,25,Scotland,Six Nations Championship
2003-03-30,Ireland,England,6,42,England,Six Nations Championship
2003-04-18,Sri Lanka,Arabian Gulf,25,48,Arabian Gulf,Asian Rugby Series
2003-04-27,Argentina,Paraguay,144,0,Argentina,"South American Rugby Championship ""A"""
2003-04-27,Uruguay,Chile,20,13,Uruguay,"South American Rugby Championship ""A"""
2003-04-30,Argentina,Chile,49,3,Argentina,"South American Rugby Championship ""A"""
2003-04-30,Uruguay,Paraguay,53,7,Uruguay,"South American Rugby Championship ""A"""
2003-05-03,Chile,Paraguay,102,0,Chile,"South American Rugby Championship ""A"""
2003-05-03,Uruguay,Argentina,0,32,Argentina,"South American Rugby Championship ""A"""
2003-05-17,United States,Japan,69,27,United States,Super Powers Cup
2003-05-25,Japan,Russia,34,43,Russia,Super Powers Cup
2003-06-05,Japan,Australia A,5,63,Australia A,Australia A in Japan
2003-06-07,Australia,Ireland,45,16,Australia,Ireland in Oceania
2003-06-07,South Africa,Scotland,29,25,South Africa,Scotland in South Africa
2003-06-08,Japan,Australia A,15,66,Australia A,Australia A in Japan
2003-06-14,All Blacks,England,13,15,England,England in New Zealand & Australia
2003-06-14,Argentina,France,10,6,Argentina,France in Argentina & New Zealand
2003-06-14,Australia,Wales,30,10,Australia,Wales in in Australasia
2003-06-14,South Africa,Scotland,28,19,South Africa,Scotland in South Africa
2003-06-14,Tonga,Ireland,19,40,Ireland,Ireland in Oceania
2003-06-15,Japan,South Korea,86,3,Japan,South Korea in Japan
2003-06-18,Canada,United States,11,15,United States,Churchill Cup
2003-06-20,Samoa,Ireland,14,40,Ireland,Ireland in Oceania
2003-06-21,All Blacks,Wales,55,3,All Blacks,Wales in in Australasia
2003-06-21,Argentina,France,33,32,Argentina,France in Argentina & New Zealand
2003-06-21,Australia,England,14,25,England,England in New Zealand & Australia
2003-06-21,Malaysia,Taiwan,0,54,Taiwan,Asian Rugby Series
2003-06-21,Singapore,India,71,0,Singapore,Asian Rugby Series
2003-06-24,Malaysia,India,20,13,Malaysia,Asian Rugby Series
2003-06-28,All Blacks,France,31,23,All Blacks,France in Argentina & New Zealand
2003-06-28,India,Taiwan,10,61,Taiwan,Asian Rugby Series
2003-06-28,Singapore,Malaysia,31,13,Singapore,Asian Rugby Series
2003-06-28,South Africa,Argentina,26,25,South Africa,Argentina in South Africa
2003-07-03,Japan,England A,10,37,England A,England A in Japan
2003-07-04,Fiji,Tonga,34,31,Fiji,Tonga in Fiji
2003-07-06,Japan,England A,20,55,England A,England A in Japan
2003-07-11,Tonga,Fiji,23,22,Tonga,Fiji in Tonga
2003-07-12,Namibia,Samoa,13,40,Samoa,Samoa in Namibia
2003-07-12,South Africa,Australia,26,22,South Africa,Tri Nations
2003-07-19,South Africa,All Blacks,16,52,All Blacks,Tri Nations
2003-07-26,Australia,All Blacks,21,50,All Blacks,Tri Nations
2003-08-02,Australia,South Africa,29,9,Australia,Tri Nations
2003-08-09,All Blacks,South Africa,19,11,All Blacks,Tri Nations
2003-08-16,All Blacks,Australia,21,17,All Blacks,Tri Nations
2003-08-16,Ireland,Wales,35,12,Ireland,Rugby World Cup Warm-Up Games
2003-08-18,Argentina,Fiji,49,30,Argentina,Fiji in South America
2003-08-22,France,Romania,56,8,France,Rugby World Cup Warm-Up Games
2003-08-23,Argentina,United States,42,8,Argentina,Pan American Championship
2003-08-23,Canada,Uruguay,21,11,Canada,Pan American Championship
2003-08-23,Scotland,Italy,47,15,Scotland,Rugby World Cup Warm-Up Games
2003-08-23,Wales,England,9,43,England,Rugby World Cup Warm-Up Games
2003-08-24,Chile,Fiji,16,41,Fiji,Fiji in South America
2003-08-27,Argentina,Uruguay,57,0,Argentina,Pan American Championship
2003-08-27,Canada,United States,20,35,United States,Pan American Championship
2003-08-27,Wales,Romania,54,8,Wales,Rugby World Cup Warm-Up Games
2003-08-30,Argentina,Canada,62,22,Argentina,Pan American Championship
2003-08-30,France,England,17,16,France,Rugby World Cup Warm-Up Games
2003-08-30,Ireland,Italy,61,6,Ireland,Rugby World Cup Warm-Up Games
2003-08-30,United States,Uruguay,31,17,United States,Pan American Championship
2003-08-30,Wales,Scotland,23,9,Wales,Rugby World Cup Warm-Up Games
2003-09-06,England,France,45,14,England,Rugby World Cup Warm-Up Games
2003-09-06,Italy,Georgia,31,22,Italy,Rugby World Cup Warm-Up Games
2003-09-06,Scotland,Ireland,10,29,Ireland,Rugby World Cup Warm-Up Games
2003-10-10,Australia,Argentina,24,8,Australia,Rugby World Cup
2003-10-11,All Blacks,Italy,70,7,All Blacks,Rugby World Cup
2003-10-11,Fiji,France,18,61,France,Rugby World Cup
2003-10-11,Ireland,Romania,45,17,Ireland,Rugby World Cup
2003-10-11,South Africa,Uruguay,72,6,South Africa,Rugby World Cup
2003-10-11,Sri Lanka,Hong Kong,22,36,Hong Kong,Asian Rugby Series
2003-10-12,Canada,Wales,10,41,Wales,Rugby World Cup
2003-10-12,England,Georgia,84,6,England,Rugby World Cup
2003-10-12,Japan,Scotland,11,32,Scotland,Rugby World Cup
2003-10-12,Kazakhstan,Thailand,56,17,Kazakhstan,Asian Rugby Series
2003-10-14,Argentina,Namibia,67,14,Argentina,Rugby World Cup
2003-10-15,Fiji,United States,19,18,Fiji,Rugby World Cup
2003-10-15,Italy,Tonga,36,12,Italy,Rugby World Cup
2003-10-15,Samoa,Uruguay,60,13,Samoa,Rugby World Cup
2003-10-16,China,Kazakhstan,37,10,China,Asian Rugby Series
2003-10-17,All Blacks,Canada,68,6,All Blacks,Rugby World Cup
2003-10-18,Australia,Romania,90,8,Australia,Rugby World Cup
2003-10-18,England,South Africa,25,6,England,Rugby World Cup
2003-10-18,France,Japan,51,29,France,Rugby World Cup
2003-10-19,Georgia,Samoa,9,46,Samoa,Rugby World Cup
2003-10-19,Ireland,Namibia,64,7,Ireland,Rugby World Cup
2003-10-19,Tonga,Wales,20,27,Wales,Rugby World Cup
2003-10-20,Scotland,United States,39,15,Scotland,Rugby World Cup
2003-10-20,South Korea,Kazakhstan,45,19,South Korea,Asian Rugby Series
2003-10-21,Italy,Canada,19,14,Italy,Rugby World Cup
2003-10-22,Argentina,Romania,50,3,Argentina,Rugby World Cup
2003-10-23,Fiji,Japan,41,13,Fiji,Rugby World Cup
2003-10-24,All Blacks,Tonga,91,7,All Blacks,Rugby World Cup
2003-10-24,Georgia,South Africa,19,46,South Africa,Rugby World Cup
2003-10-25,Australia,Namibia,142,0,Australia,Rugby World Cup
2003-10-25,France,Scotland,51,9,France,Rugby World Cup
2003-10-25,Italy,Wales,15,27,Wales,Rugby World Cup
2003-10-26,Argentina,Ireland,15,16,Ireland,Rugby World Cup
2003-10-26,England,Samoa,35,22,England,Rugby World Cup
2003-10-27,Japan,United States,26,39,United States,Rugby World Cup
2003-10-28,Georgia,Uruguay,12,24,Uruguay,Rugby World Cup
2003-10-29,Canada,Tonga,24,7,Canada,Rugby World Cup
2003-10-30,Namibia,Romania,7,37,Romania,Rugby World Cup
2003-10-31,France,United States,41,14,France,Rugby World Cup
2003-11-01,Australia,Ireland,17,16,Australia,Rugby World Cup
2003-11-01,Fiji,Scotland,20,22,Scotland,Rugby World Cup
2003-11-01,Samoa,South Africa,10,60,South Africa,Rugby World Cup
2003-11-02,All Blacks,Wales,53,37,All Blacks,Rugby World Cup
2003-11-02,England,Uruguay,111,13,England,Rugby World Cup
2003-11-08,All Blacks,South Africa,29,9,All Blacks,Rugby World Cup
2003-11-08,Australia,Scotland,33,16,Australia,Rugby World Cup
2003-11-09,England,Wales,28,17,England,Rugby World Cup
2003-11-09,France,Ireland,43,21,France,Rugby World Cup
2003-11-15,All Blacks,Australia,10,22,Australia,Rugby World Cup
2003-11-16,England,France,24,7,England,Rugby World Cup
2003-11-16,Thailand,China,23,34,China,Asian Rugby Series
2003-11-18,South Korea,China,63,9,South Korea,Asian Rugby Series
2003-11-20,All Blacks,France,40,13,All Blacks,Rugby World Cup
2003-11-20,Thailand,South Korea,8,68,South Korea,Asian Rugby Series
2003-11-22,Australia,England,17,20,England,Rugby World Cup
2004-02-14,France,Ireland,35,17,France,Six Nations Championship
2004-02-14,Wales,Scotland,23,10,Wales,Six Nations Championship
2004-02-15,Italy,England,9,50,England,Six Nations Championship
2004-02-21,France,Italy,25,0,France,Six Nations Championship
2004-02-21,Scotland,England,13,35,England,Six Nations Championship
2004-02-22,Ireland,Wales,36,15,Ireland,Six Nations Championship
2004-03-06,England,Ireland,13,19,Ireland,Six Nations Championship
2004-03-06,Italy,Scotland,20,14,Italy,Six Nations Championship
2004-03-07,Wales,France,22,29,France,Six Nations Championship
2004-03-20,England,Wales,31,21,England,Six Nations Championship
2004-03-20,Ireland,Italy,19,3,Ireland,Six Nations Championship
2004-03-21,Scotland,France,0,31,France,Six Nations Championship
2004-03-27,France,England,24,21,France,Six Nations Championship
2004-03-27,Ireland,Scotland,37,16,Ireland,Six Nations Championship
2004-03-27,Wales,Italy,44,10,Wales,Six Nations Championship
2004-04-09,Arabian Gulf,Kazakhstan,14,13,Arabian Gulf,Asian Rugby Series
2004-04-24,Uruguay,Venezuela,92,8,Uruguay,"South American Rugby Championship ""A"""
2004-04-25,Chile,Argentina,3,45,Argentina,"South American Rugby Championship ""A"""
2004-04-28,Argentina,Uruguay,69,10,Argentina,"South American Rugby Championship ""A"""
2004-04-28,Chile,Venezuela,95,3,Chile,"South American Rugby Championship ""A"""
2004-05-01,Argentina,Venezuela,147,7,Argentina,"South American Rugby Championship ""A"""
2004-05-07,Malaysia,Arabian Gulf,3,48,Arabian Gulf,Asian Rugby Series
2004-05-09,Hong Kong,Arabian Gulf,12,5,Hong Kong,Asian Rugby Series
2004-05-15,Kazakhstan,Malaysia,44,19,Kazakhstan,Asian Rugby Series
2004-05-16,Japan,South Korea,19,19,Draw,Asian Rugby Series
2004-05-22,Singapore,Hong Kong,14,47,Hong Kong,Asian Rugby Series
2004-05-22,South Korea,Taiwan,99,18,South Korea,Asian Rugby Series
2004-05-27,Canada,United States,23,20,Canada,Super Powers Cup
2004-05-27,Japan,Russia,29,12,Japan,Super Powers Cup
2004-05-29,Samoa,Tonga,24,14,Samoa,Pacific Tri-Nations
2004-05-30,Japan,Canada,34,21,Japan,Super Powers Cup
2004-05-30,Russia,United States,11,41,United States,Super Powers Cup
2004-06-04,Samoa,Scotland,3,38,Scotland,Scotland in Australia & New Zealand
2004-06-05,Hong Kong,China,27,9,Hong Kong,Asian Rugby Series
2004-06-05,Tonga,Fiji,26,27,Fiji,Pacific Tri-Nations
2004-06-12,All Blacks,England,36,3,All Blacks,England in New Zealand & Australia
2004-06-12,Argentina,Wales,50,44,Argentina,Wales in Argentina & South Africa
2004-06-12,China,Singapore,24,24,Draw,Asian Rugby Series
2004-06-12,Fiji,Samoa,29,3,Fiji,Pacific Tri-Nations
2004-06-12,South Africa,Ireland,31,17,South Africa,Ireland in South Africa
2004-06-13,Australia,Scotland,35,15,Australia,Scotland in Australia & New Zealand
2004-06-19,All Blacks,England,36,12,All Blacks,England in New Zealand & Australia
2004-06-19,Argentina,Wales,20,35,Wales,Wales in Argentina & South Africa
2004-06-19,Australia,Scotland,34,13,Australia,Scotland in Australia & New Zealand
2004-06-19,South Africa,Ireland,26,17,South Africa,Ireland in South Africa
2004-06-21,Canada,United States,32,29,Canada,Churchill Cup
2004-06-22,Sri Lanka,India,54,17,Sri Lanka,Asian Rugby Series
2004-06-26,All Blacks,Argentina,41,7,All Blacks,Argentina in New Zealand
2004-06-26,Australia,England,51,15,Australia,England in New Zealand & Australia
2004-06-26,Romania,Italy,25,24,Romania,Italy in Romania & Japan
2004-06-26,South Africa,Wales,53,18,South Africa,Wales in Argentina & South Africa
2004-06-26,Thailand,India,86,12,Thailand,Asian Rugby Series
2004-06-30,Sri Lanka,Thailand,35,14,Sri Lanka,Asian Rugby Series
2004-07-03,Australia,Pacific Islanders,29,14,Australia,Pacific Islanders in Australia & New Zealand
2004-07-03,United States,France,31,39,France,France in North America
2004-07-04,Japan,Italy,19,32,Italy,Italy in Romania & Japan
2004-07-10,All Blacks,Pacific Islanders,41,26,All Blacks,Pacific Islanders in Australia & New Zealand
2004-07-10,Canada,France,13,47,France,France in North America
2004-07-17,All Blacks,Australia,16,7,All Blacks,Tri Nations
2004-07-17,Pacific Islanders,South Africa,24,38,South Africa,Pacific Islanders in Australia & New Zealand
2004-07-24,All Blacks,South Africa,23,21,All Blacks,Tri Nations
2004-07-31,Australia,South Africa,30,26,Australia,Tri Nations
2004-08-07,Australia,All Blacks,23,18,Australia,Tri Nations
2004-08-14,South Africa,All Blacks,40,26,South Africa,Tri Nations
2004-08-21,South Africa,Australia,23,19,South Africa,Tri Nations
2004-11-06,Italy,Canada,51,6,Italy,Canada in Europe
2004-11-06,Scotland,Australia,14,31,Australia,Australia in Europe
2004-11-06,Wales,South Africa,36,38,South Africa,South Africa in Europe & Argentina
2004-11-12,Wales,Romania,66,7,Wales,Romania in Wales
2004-11-13,England,Canada,70,0,England,Canada in Europe
2004-11-13,France,Australia,27,14,France,Australia in Europe
2004-11-13,Ireland,South Africa,17,12,Ireland,South Africa in Europe & Argentina
2004-11-13,Italy,All Blacks,10,59,All Blacks,All Blacks in Northern Hemisphere
2004-11-13,Scotland,Japan,100,8,Scotland,Japan in Europe
2004-11-20,England,South Africa,32,16,England,South Africa in Europe & Argentina
2004-11-20,France,Argentina,14,24,Argentina,Argentina in Europe
2004-11-20,Ireland,United States,55,6,Ireland,United States in Europe
2004-11-20,Romania,Japan,25,10,Romania,Japan in Europe
2004-11-20,Scotland,Australia,17,31,Australia,Australia in Europe
2004-11-20,Wales,All Blacks,25,26,All Blacks,All Blacks in Northern Hemisphere
2004-11-26,Wales,Japan,98,0,Wales,Japan in Europe
2004-11-27,England,Australia,19,21,Australia,Australia in Europe
2004-11-27,France,All Blacks,6,45,All Blacks,All Blacks in Northern Hemisphere
2004-11-27,Ireland,Argentina,21,19,Ireland,Argentina in Europe
2004-11-27,Italy,United States,43,25,Italy,United States in Europe
2004-11-27,Scotland,South Africa,10,45,South Africa,South Africa in Europe & Argentina
2004-12-04,Argentina,South Africa,7,39,South Africa,South Africa in Europe & Argentina
2005-02-05,France,Scotland,16,9,France,Six Nations Championship
2005-02-05,Wales,England,11,9,Wales,Six Nations Championship
2005-02-06,Italy,Ireland,17,28,Ireland,Six Nations Championship
2005-02-12,Italy,Wales,8,38,Wales,Six Nations Championship
2005-02-12,Scotland,Ireland,13,40,Ireland,Six Nations Championship
2005-02-13,England,France,17,18,France,Six Nations Championship
2005-02-26,France,Wales,18,24,Wales,Six Nations Championship
2005-02-26,Scotland,Italy,18,10,Scotland,Six Nations Championship
2005-02-27,Ireland,England,19,13,Ireland,Six Nations Championship
2005-03-12,England,Italy,39,7,England,Six Nations Championship
2005-03-12,Ireland,France,19,26,France,Six Nations Championship
2005-03-13,Scotland,Wales,22,46,Wales,Six Nations Championship
2005-03-19,England,Scotland,43,22,England,Six Nations Championship
2005-03-19,Italy,France,13,56,France,Six Nations Championship
2005-03-19,Wales,Ireland,32,20,Wales,Six Nations Championship
2005-04-16,Uruguay,Japan,24,18,Uruguay,Japan in South America
2005-04-23,Argentina,Japan,68,36,Argentina,Japan in South America
2005-05-01,Chile,Uruguay,13,20,Uruguay,"South American Rugby Championship ""A"""
