MatchID,MatchDate,DateSource,EventID,EventName,EventSeason,EventStartDate,EventEndDate,RawMatchDate,SourceFile,PlayerA_ID,PlayerA_Name,PlayerA_Nationality,PlayerB_ID,PlayerB_Name,PlayerB_Nationality,WinnerID,Winner_Name,Winner_Nationality,WinnerFromScore,WinnerFromScore_Name,WinnerFromScore_Nationality,ScoreA,ScoreB,FramesA,FramesB,TotalFrames,AFirstAppearance,BFirstAppearance,AGamesBefore,BGamesBefore,AFramesBefore,BFramesBefore,ARating_Before,BRating_Before,AStartRating,BStartRating,ABaseK,BBaseK,AKMultiplier,BKMultiplier,AEffectiveK,BEffectiveK,ExpectedA,ExpectedB,OppWeightA,OppWeightB,ActualScoreA,ActualScoreB,DeltaA,DeltaB,ARating_After,BRating_After,AGamesAfter,BGamesAfter,AFramesAfter,BFramesAfter
8768869,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,13,Stephen Lee,England,213,Steve Judd,England,13,Stephen Lee,England,13,Stephen Lee,England,5,3,5,3,8,FALSE,FALSE,27,6,289,88,2698.80295539326,2605.02816380929,2693.21413052306,2592.94097353707,5,5,1,1,5,5,0.631768472059114,0.368231527940886,1,1,0.625,0.375,-0.270738882364574,0.270738882364574,2698.5322165109,2605.29890269166,28,7,297,96
8768870,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,237,John Higgins,Scotland,53,Jamie Burnett,Scotland,237,John Higgins,Scotland,237,John Higgins,Scotland,5,3,5,3,8,FALSE,FALSE,58,11,570,139,2798.24001646101,2681.4876440227,2718.4454421435,2672.6417365714,5,5,1,1,5,5,0.661968901784161,0.338031098215839,1,1,0.625,0.375,-1.47875607136643,1.47875607136643,2796.76126038964,2682.96640009407,59,12,578,147
8768871,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:08:44,matches_1996_all.csv,9,Matthew Stevens,Wales,28,Mark King,England,28,Mark King,England,28,Mark King,England,0,5,0,5,5,FALSE,FALSE,6,17,45,216,2740.6809470302,2679.05866401336,2721.75373792231,2650.41419841964,5,5,1,1,5,5,0.58776324155457,0.41223675844543,1,1,0,1,-14.6940810388642,14.6940810388642,2725.98686599133,2693.75274505222,7,18,50,221
8768872,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:08:44,matches_1996_all.csv,1049,Steve James,England,1,Mark J Williams,Wales,1,Mark J Williams,Wales,1,Mark J Williams,Wales,2,5,2,5,7,FALSE,FALSE,94,20,920,181,2687.95621779227,2664.66352472942,2661.36302063012,2646.42906931203,5,5,1,1,5,5,0.533470749059187,0.466529250940814,1,1,0.285714285714286,0.714285714285714,-8.67147621707153,8.67147621707153,2679.2847415752,2673.33500094649,95,21,927,188
8768873,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:08:44,matches_1996_all.csv,669,Alain Robidoux,Canada,804,Gary Wilkinson,England,669,Alain Robidoux,Canada,669,Alain Robidoux,Canada,5,3,5,3,8,FALSE,FALSE,75,87,667,834,2693.55790848917,2716.98785111364,2688.64682568323,2665.00430525806,5,5,1,1,5,5,0.466332623264659,0.533667376735341,1,1,0.625,0.375,6.34669506941364,-6.34669506941364,2699.90460355858,2710.64115604422,76,88,675,842
8768874,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:08:44,matches_1996_all.csv,207,Nick Pearce,England,5,Ronnie O'Sullivan,England,207,Nick Pearce,England,207,Nick Pearce,England,5,1,5,1,6,FALSE,FALSE,1,61,8,662,2641.35469571191,2794.51808085621,2636.93723775385,2727.41414214416,5,5,1,1,5,5,0.292829903746822,0.707170096253178,1,1,0.833333333333333,0.166666666666667,16.2151028875954,-16.2151028875954,2657.5697985995,2778.30297796862,2,62,14,668
8768875,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:08:44,matches_1996_all.csv,3279,Oliver King,England,714,Billy Snaddon,Scotland,714,Billy Snaddon,Scotland,714,Billy Snaddon,Scotland,3,5,3,5,8,FALSE,FALSE,7,20,92,233,2581.86012771665,2652.68572669302,2600,2654.16813866531,5,5,1,1,5,5,0.399462565502699,0.600537434497301,1,1,0.375,0.625,-0.978502620107946,0.978502620107946,2580.88162509654,2653.66422931313,8,21,100,241
8768876,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:08:44,matches_1996_all.csv,193,James Wattana,Thailand,716,Paul McPhillips,Scotland,193,James Wattana,Thailand,193,James Wattana,Thailand,5,2,5,2,7,FALSE,FALSE,113,12,1063,138,2724.64708253929,2627.75453747913,2698.82987360658,2616.30830374822,5,5,1,1,5,5,0.635933701384314,0.364066298615686,1,1,0.714285714285714,0.285714285714286,2.74232045154901,-2.74232045154901,2727.38940299084,2625.01221702758,114,13,1070,145
8768877,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:08:44,matches_1996_all.csv,223,Darren Morgan,Wales,3258,Mick Price,Ireland,223,Darren Morgan,Wales,223,Darren Morgan,Wales,5,3,5,3,8,FALSE,FALSE,85,41,841,420,2751.30584864164,2650.21196495445,2622.12338157215,2645.47470356184,5,5,1,1,5,5,0.641514407957947,0.358485592042053,1,1,0.625,0.375,-0.66057631831788,0.66057631831788,2750.64527232332,2650.87254127277,86,42,849,428
8768878,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:08:44,matches_1996_all.csv,668,Neal Foulds,England,408,John Parrott,England,408,John Parrott,England,408,John Parrott,England,1,5,1,5,6,FALSE,FALSE,137,173,1369,1826,2665.9377349001,2702.12068696987,2669.84585653093,2675.90153149846,5,5,1,1,5,5,0.448115984334251,0.55188401566575,1,1,0.166666666666667,0.833333333333333,-8.44347953002751,8.44347953002751,2657.49425537007,2710.5641664999,138,174,1375,1832
8768879,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:08:44,matches_1996_all.csv,3242,Mark Bennett,England,2880,Chris Small,Scotland,3242,Mark Bennett,England,3242,Mark Bennett,England,5,0,5,0,5,FALSE,FALSE,62,20,557,285,2654.11050035376,2677.2980037416,2601.58734543655,2645.98374490765,5,5,1,1,5,5,0.466679955742447,0.533320044257553,1,1,1,0,13.3330011064388,-13.3330011064388,2667.4435014602,2663.96500263516,63,21,562,290
8768880,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:08:44,matches_1996_all.csv,38,Gerard Greene,Northern Ireland,212,Steve Davis,England,212,Steve Davis,England,212,Steve Davis,England,0,5,0,5,5,FALSE,FALSE,7,267,88,2969,2678.0057449296,2730.07562608508,2650.07103492475,2674.65788820987,5,5,1,1,5,5,0.425621451753317,0.574378548246683,1,1,0,1,-10.6405362938329,10.6405362938329,2667.36520863576,2740.71616237891,8,268,93,2974
