Country,Competition,Season,League,Rows,Scored,BlankScore,Teams,EarliestDate,LatestDate,DuplicateFixtureKeys,Status
Italy,serie_b,2021/22,Serie B,390,390,0,20,2021-08-20,2022-05-29,0,PRESENT
Italy,serie_b,2022/23,Serie B,390,390,0,20,2022-08-12,2023-06-11,0,PRESENT
Italy,serie_b,2023/24,Serie B,390,390,0,20,2023-08-18,2024-06-02,0,PRESENT
Italy,serie_b,2024/25,Serie B,388,387,1,20,2024-08-16,2025-06-01,0,PARTIAL
Italy,serie_b,2025/26,Serie B,380,309,71,20,2025-08-22,2026-05-09,0,PARTIAL
Netherlands,eredivisie,2019/20,Eredivisie,232,232,0,18,2019-08-02,2020-03-08,0,PRESENT
Netherlands,eredivisie,2020/21,Eredivisie,306,306,0,18,2020-09-12,2021-05-16,0,PRESENT
Netherlands,eredivisie,2021/22,Eredivisie,306,306,0,18,2021-08-13,2022-05-15,0,PRESENT
Netherlands,eredivisie,2022/23,Eredivisie,306,306,0,18,2022-08-05,2023-05-28,0,PRESENT
Netherlands,eredivisie,2023/24,Eredivisie,306,306,0,18,2023-08-11,2024-05-19,0,PRESENT
Netherlands,eredivisie,2024/25,Eredivisie,306,306,0,18,2024-08-09,2025-05-18,0,PRESENT
Netherlands,eredivisie,2025/26,Eredivisie,305,305,0,18,2025-08-08,2026-05-17,0,PRESENT
Portugal,primeira_liga,2019/20,Primeira Liga,306,306,0,18,2019-08-09,2020-07-26,0,PRESENT
Portugal,primeira_liga,2020/21,Primeira Liga,306,306,0,18,2020-09-18,2021-05-19,0,PRESENT
Portugal,primeira_liga,2021/22,Primeira Liga,306,306,0,18,2021-08-06,2022-05-15,0,PRESENT
Portugal,primeira_liga,2022/23,Primeira Liga,306,306,0,18,2022-08-05,2023-05-27,0,PRESENT
Portugal,primeira_liga,2023/24,Primeira Liga,306,306,0,18,2023-08-11,2024-05-18,0,PRESENT
Portugal,primeira_liga,2024/25,Primeira Liga,306,306,0,18,2024-08-09,2025-05-17,0,PRESENT
Portugal,primeira_liga,2025/26,Primeira Liga,306,306,0,18,2025-08-08,2026-05-16,0,PRESENT
Scotland,scottish_premiership,2019/20,Scottish Premiership,179,179,0,12,2019-08-03,2020-03-11,0,PRESENT
Scotland,scottish_premiership,2020/21,Scottish Premiership,198,198,0,12,2020-08-01,2021-03-21,0,PRESENT
Scotland,scottish_premiership,2021/22,Scottish Premiership,228,228,0,12,2021-07-31,2022-05-15,0,PRESENT
Scotland,scottish_premiership,2022/23,Scottish Premiership,228,228,0,12,2022-07-30,2023-05-28,0,PRESENT
Scotland,scottish_premiership,2023/24,Scottish Premiership,228,228,0,12,2023-08-05,2024-05-19,0,PRESENT
Scotland,scottish_premiership,2024/25,Scottish Premiership,228,228,0,12,2024-08-03,2025-05-18,0,PRESENT
Scotland,scottish_premiership,2025/26,Scottish Premiership,198,63,135,12,2025-08-02,2026-04-11,0,PARTIAL
Spain,la_liga,2019/20,La Liga,380,380,0,20,2019-08-16,2020-07-19,0,PRESENT
Spain,la_liga,2020/21,La Liga,380,380,0,20,2020-09-12,2021-05-23,0,PRESENT
Spain,la_liga,2021/22,La Liga,380,380,0,20,2021-08-13,2022-05-22,0,PRESENT
Spain,la_liga,2022/23,La Liga,380,380,0,20,2022-08-12,2023-06-04,0,PRESENT
Spain,la_liga,2023/24,La Liga,380,380,0,20,2023-08-11,2024-05-26,0,PRESENT
Spain,la_liga,2024/25,La Liga,380,380,0,20,2024-08-15,2025-05-25,0,PRESENT
Spain,la_liga,2025/26,La Liga,380,380,0,20,2025-08-15,2026-05-24,0,PRESENT
