Country,Competition,League,Season,Rows,Scored,BlankScore,Teams,EarliestDate,LatestDate,DuplicateFixtureKeys,ConflictingFixtureKeys,Status
Germany,bundesliga_2,2. Bundesliga,2019/20,306,306,0,18,2019-07-26,2020-07-29,0,0,PRESENT
Germany,bundesliga_2,2. Bundesliga,2020/21,306,306,0,18,2020-09-18,2021-05-23,0,0,PRESENT
Germany,bundesliga_2,2. Bundesliga,2021/22,306,306,0,18,2021-08-01,2022-07-31,0,0,PRESENT
Germany,bundesliga_2,2. Bundesliga,2022/23,306,306,0,18,2022-08-05,2023-07-24,0,0,PRESENT
Germany,bundesliga_2,2. Bundesliga,2023/24,306,306,0,18,2023-08-04,2024-07-30,0,0,PRESENT
Germany,bundesliga_2,2. Bundesliga,2024/25,306,306,0,18,2024-08-02,2025-05-18,0,0,PRESENT
Germany,bundesliga_2,2. Bundesliga,2025/26,306,99,207,18,2025-08-01,2026-05-17,0,0,PARTIAL
Greece,super_league_greece,Super League Greece,2019/20,240,240,0,14,2019-08-24,2020-07-19,0,0,PRESENT
Greece,super_league_greece,Super League Greece,2020/21,240,240,0,14,2020-09-11,2021-05-19,0,0,PRESENT
Greece,super_league_greece,Super League Greece,2021/22,0,0,0,0,NA,NA,0,0,MISSING
Greece,super_league_greece,Super League Greece,2022/23,0,0,0,0,NA,NA,0,0,MISSING
Greece,super_league_greece,Super League Greece,2023/24,240,240,0,14,2023-08-18,2024-05-19,0,0,PRESENT
Greece,super_league_greece,Super League Greece,2024/25,236,236,0,14,2024-08-17,2025-05-22,0,0,PRESENT
Greece,super_league_greece,Super League Greece,2025/26,181,62,119,14,2025-08-23,2026-03-21,0,0,PARTIAL
Italy,serie_a,Serie A,2019/20,380,380,0,20,2019-08-01,2020-07-29,0,0,PRESENT
Italy,serie_a,Serie A,2020/21,380,380,0,20,2020-09-19,2021-05-23,0,0,PRESENT
Italy,serie_a,Serie A,2021/22,380,380,0,20,2021-08-21,2022-05-22,0,0,PRESENT
Italy,serie_a,Serie A,2022/23,380,380,0,20,2022-08-13,2023-06-04,0,0,PRESENT
Italy,serie_a,Serie A,2023/24,380,380,0,20,2023-08-19,2024-06-02,0,0,PRESENT
Italy,serie_a,Serie A,2024/25,380,380,0,20,2024-08-17,2025-05-25,0,0,PRESENT
Italy,serie_a,Serie A,2025/26,380,380,0,20,2025-08-23,2026-05-24,0,0,PRESENT
Italy,serie_b,Serie B,2019/20,390,390,0,20,2019-08-04,2020-07-31,0,0,PRESENT
Italy,serie_b,Serie B,2020/21,388,388,0,20,2020-09-25,2021-05-27,0,0,PRESENT
Italy,serie_b,Serie B,2021/22,390,390,0,20,2021-08-20,2022-05-29,0,0,PRESENT
Italy,serie_b,Serie B,2022/23,390,390,0,20,2022-08-12,2023-06-11,0,0,PRESENT
Italy,serie_b,Serie B,2023/24,390,390,0,20,2023-08-18,2024-06-02,0,0,PRESENT
Italy,serie_b,Serie B,2024/25,388,387,1,20,2024-08-16,2025-06-01,0,0,PARTIAL
Italy,serie_b,Serie B,2025/26,380,309,71,20,2025-08-22,2026-05-09,0,0,PARTIAL
Netherlands,eredivisie,Eredivisie,2019/20,232,232,0,18,2019-08-02,2020-03-08,0,0,PRESENT
Netherlands,eredivisie,Eredivisie,2020/21,306,306,0,18,2020-09-12,2021-05-16,0,0,PRESENT
Netherlands,eredivisie,Eredivisie,2021/22,306,306,0,18,2021-08-13,2022-05-15,0,0,PRESENT
Netherlands,eredivisie,Eredivisie,2022/23,306,306,0,18,2022-08-05,2023-05-28,0,0,PRESENT
Netherlands,eredivisie,Eredivisie,2023/24,306,306,0,18,2023-08-11,2024-05-19,0,0,PRESENT
Netherlands,eredivisie,Eredivisie,2024/25,306,306,0,18,2024-08-09,2025-05-18,0,0,PRESENT
Netherlands,eredivisie,Eredivisie,2025/26,305,305,0,18,2025-08-08,2026-05-17,0,0,PRESENT
Portugal,primeira_liga,Primeira Liga,2019/20,306,306,0,18,2019-08-09,2020-07-26,0,0,PRESENT
Portugal,primeira_liga,Primeira Liga,2020/21,306,306,0,18,2020-09-18,2021-05-19,0,0,PRESENT
Portugal,primeira_liga,Primeira Liga,2021/22,306,306,0,18,2021-08-06,2022-05-15,0,0,PRESENT
Portugal,primeira_liga,Primeira Liga,2022/23,306,306,0,18,2022-08-05,2023-05-27,0,0,PRESENT
Portugal,primeira_liga,Primeira Liga,2023/24,306,306,0,18,2023-08-11,2024-05-18,0,0,PRESENT
Portugal,primeira_liga,Primeira Liga,2024/25,306,306,0,18,2024-08-09,2025-05-17,0,0,PRESENT
Portugal,primeira_liga,Primeira Liga,2025/26,306,306,0,18,2025-08-08,2026-05-16,0,0,PRESENT
Scotland,scottish_premiership,Scottish Premiership,2019/20,179,179,0,12,2019-08-03,2020-03-11,0,0,PRESENT
