player_id,player_name,gender_symbol,gender,flag,homepage_rank,homepage_elo,profile_url
1045,Liao Xingwen,♂,male,cn,144,3361,https://www.goratings.org/en/players/1045.html
1039,Kim Hyeongwoo,♂,male,kr,145,3358,https://www.goratings.org/en/players/1039.html
1707,Otake Yu,♂,male,jp,146,3356,https://www.goratings.org/en/players/1707.html
299,Park Jinsol,♂,male,kr,147,3354,https://www.goratings.org/en/players/299.html
1333,Huang Xin,♂,male,cn,148,3353,https://www.goratings.org/en/players/1333.html
2257,Park Jihyun,♂,male,kr,149,3352,https://www.goratings.org/en/players/2257.html
2509,Kim Dabin,♂,male,kr,150,3352,https://www.goratings.org/en/players/2509.html
1754,Ueno Asami,♀,female,jp,151,3352,https://www.goratings.org/en/players/1754.html
1708,Hirose Yuichi,♂,male,jp,152,3350,https://www.goratings.org/en/players/1708.html
64,Yamashita Keigo,♂,male,jp,153,3349,https://www.goratings.org/en/players/64.html
1919,Zhao Fei,♂,male,cn,154,3348,https://www.goratings.org/en/players/1919.html
2391,Han Moyang,♂,male,cn,155,3347,https://www.goratings.org/en/players/2391.html
161,Choi Cheolhan,♂,male,kr,156,3345,https://www.goratings.org/en/players/161.html
108,Chang Hsu,♂,male,jp,157,3345,https://www.goratings.org/en/players/108.html
1331,Qiao Zhijian,♂,male,cn,158,3344,https://www.goratings.org/en/players/1331.html
000704,WangShuo (03),♂,male,cn,159,3342,https://www.goratings.org/en/players/cwa_CWA000704.html
2270,Xu Yidi,♂,male,cn,160,3342,https://www.goratings.org/en/players/2270.html
1771,Sim Jaeik,♂,male,kr,161,3340,https://www.goratings.org/en/players/1771.html
1099,Kim Seongjae,♂,male,kr,162,3340,https://www.goratings.org/en/players/1099.html
1262,Sun Zhe,♂,male,jp,163,3338,https://www.goratings.org/en/players/1262.html
1335,Liu Zhaozhe,♂,male,cn,164,3337,https://www.goratings.org/en/players/1335.html
2325,Qiu Yuran,♂,male,cn,165,3333,https://www.goratings.org/en/players/2325.html
2388,Zhou Ziyi,♂,male,cn,166,3329,https://www.goratings.org/en/players/2388.html
43,Luo Xihe,♂,male,cn,167,3328,https://www.goratings.org/en/players/43.html
1918,Lyu Liyan,♂,male,cn,168,3327,https://www.goratings.org/en/players/1918.html
1415,Yan Zaiming,♂,male,cn,169,3327,https://www.goratings.org/en/players/1415.html
436,Zhu Yuanhao,♂,male,cn,170,3326,https://www.goratings.org/en/players/436.html
1236,Hong Mujin,♂,male,kr,171,3322,https://www.goratings.org/en/players/1236.html
2223,Geum Jiwoo,♂,male,kr,172,3321,https://www.goratings.org/en/players/2223.html
1441,Yokotsuka Riki,♂,male,jp,173,3321,https://www.goratings.org/en/players/1441.html
2221,Yang Yoojun,♂,male,kr,174,3321,https://www.goratings.org/en/players/2221.html
2219,Miura Taro,♂,male,jp,175,3321,https://www.goratings.org/en/players/2219.html
1770,Chen Bisen,♂,male,cn,176,3320,https://www.goratings.org/en/players/1770.html
121,Mok Jinseok,♂,male,kr,177,3319,https://www.goratings.org/en/players/121.html
1823,Seki Koutarou,♂,male,jp,178,3319,https://www.goratings.org/en/players/1823.html
383,Cui Can,♂,male,cn,179,3314,https://www.goratings.org/en/players/383.html
2455,Kim Junghyun (s),♂,male,kr,180,3313,https://www.goratings.org/en/players/2455.html
92,Yu Bin,♂,male,cn,181,3312,https://www.goratings.org/en/players/92.html
1069,Shida Tatsuya,♂,male,jp,182,3311,https://www.goratings.org/en/players/1069.html
1142,Suzuki Shinji,♂,male,jp,183,3310,https://www.goratings.org/en/players/1142.html
2193,Cho Wankyu,♂,male,kr,184,3310,https://www.goratings.org/en/players/2193.html
888,Huang Yih Tzuu,♂,male,jp,185,3305,https://www.goratings.org/en/players/888.html
175,Takao Shinji,♂,male,jp,186,3304,https://www.goratings.org/en/players/175.html
1071,Fujita Akihiko,♂,male,jp,187,3304,https://www.goratings.org/en/players/1071.html
1278,Li Xiangyu,♂,male,cn,188,3303,https://www.goratings.org/en/players/1278.html
1457,Koyama Kuya,♂,male,jp,189,3301,https://www.goratings.org/en/players/1457.html
2372,Hsiao Yu-Yang,♂,male,jp,190,3299,https://www.goratings.org/en/players/2372.html
2323,Ma Jingyuan,♂,male,cn,191,3299,https://www.goratings.org/en/players/2323.html
1529,Mutsuura Yuta,♂,male,jp,192,3297,https://www.goratings.org/en/players/1529.html
2276,Xiao Zebin,♂,male,cn,193,3296,https://www.goratings.org/en/players/2276.html
258,Akiyama Jiro,♂,male,jp,194,3296,https://www.goratings.org/en/players/258.html
1225,Yu Zhiying,♀,female,cn,195,3294,https://www.goratings.org/en/players/1225.html
2286,Zhang Baiqing,♂,male,cn,196,3293,https://www.goratings.org/en/players/2286.html
379,Wang Haoyang,♂,male,cn,197,3291,https://www.goratings.org/en/players/379.html
2132,Lee Yeon,♂,male,kr,198,3290,https://www.goratings.org/en/players/2132.html
2165,Li Xinchen,♂,male,cn,199,3289,https://www.goratings.org/en/players/2165.html
1593,Zhang Ziliang,♂,male,cn,200,3289,https://www.goratings.org/en/players/1593.html
1401,Baek Chanhee,♂,male,kr,201,3286,https://www.goratings.org/en/players/1401.html
135,Zhou Heyang,♂,male,cn,202,3285,https://www.goratings.org/en/players/135.html
128,Seto Taiki,♂,male,jp,203,3279,https://www.goratings.org/en/players/128.html
18,Lee Changho,♂,male,kr,204,3278,https://www.goratings.org/en/players/18.html
2027,Wu Yiming,♀,female,cn,205,3277,https://www.goratings.org/en/players/2027.html
176,Ko Keuntae,♂,male,kr,206,3275,https://www.goratings.org/en/players/176.html
1864,Tang Jiawen,♀,female,cn,207,3274,https://www.goratings.org/en/players/1864.html
1497,Luo Yan,♂,male,cn,208,3270,https://www.goratings.org/en/players/1497.html
2269,Lin Zijie,♂,male,cn,209,3269,https://www.goratings.org/en/players/2269.html
1742,Choi Kyeongho,♂,male,kr,210,3268,https://www.goratings.org/en/players/1742.html
30,Yoo Changhyuk,♂,male,kr,211,3268,https://www.goratings.org/en/players/30.html
1646,Zhou Hongyu,♀,female,cn,212,3265,https://www.goratings.org/en/players/1646.html
159,Choi Myeonghun,♂,male,kr,213,3264,https://www.goratings.org/en/players/159.html
2295,Chen Jiarui,♂,male,cn,214,3260,https://www.goratings.org/en/players/2295.html
1315,Oh Yujin,♀,female,kr,215,3257,https://www.goratings.org/en/players/1315.html
2344,Yoo Ohseong,♂,male,kr,216,3256,https://www.goratings.org/en/players/2344.html
1866,Cheng Jiaye,♂,male,cn,217,3255,https://www.goratings.org/en/players/1866.html
1309,Kang Jihoon,♂,male,kr,218,3255,https://www.goratings.org/en/players/1309.html
442,Zhang Yabo,♂,male,cn,219,3253,https://www.goratings.org/en/players/442.html
2395,Tian Mumu,♂,male,cn,220,3251,https://www.goratings.org/en/players/2395.html
2315,Dai Qigao,♂,male,cn,221,3250,https://www.goratings.org/en/players/2315.html
2513,Kim Hayoon,♂,male,kr,222,3249,https://www.goratings.org/en/players/2513.html
1261,Hwang Jaeyeon,♂,male,kr,223,3249,https://www.goratings.org/en/players/1261.html
2447,Wang Shunbo,♂,male,cn,224,3248,https://www.goratings.org/en/players/2447.html
1535,Wu Boyi,♂,male,jp,225,3248,https://www.goratings.org/en/players/1535.html
1224,Fujisawa Rina,♀,female,jp,226,3244,https://www.goratings.org/en/players/1224.html
2137,Nakamura Sumire,♀,female,jp,227,3244,https://www.goratings.org/en/players/2137.html
602,Lin Han Chieh,♂,male,jp,228,3243,https://www.goratings.org/en/players/602.html
1832,Zeng Yuanhai,♂,male,cn,229,3243,https://www.goratings.org/en/players/1832.html
2492,Cho Sangyeon (s),♂,male,kr,230,3242,https://www.goratings.org/en/players/2492.html
2195,Jeong Woojin,♂,male,kr,231,3240,https://www.goratings.org/en/players/2195.html
2077,Xu Jingen,♂,male,tw,232,3240,https://www.goratings.org/en/players/2077.html
2191,Shin Jaewon,♂,male,kr,233,3239,https://www.goratings.org/en/players/2191.html
371,Ma Xiaobing,♂,male,cn,234,3237,https://www.goratings.org/en/players/371.html
1943,Tanaka Koyu,♂,male,jp,235,3236,https://www.goratings.org/en/players/1943.html
2016,Kim Minseok,♂,male,kr,236,3235,https://www.goratings.org/en/players/2016.html
1874,Yi Liao,♂,male,jp,237,3235,https://www.goratings.org/en/players/1874.html
1947,Wang Zeyu,♂,male,cn,238,3234,https://www.goratings.org/en/players/1947.html
2394,Wang Ruoyu,♂,male,cn,239,3232,https://www.goratings.org/en/players/2394.html
1428,Hong Seokui,♂,male,jp,240,3232,https://www.goratings.org/en/players/1428.html
93,Hane Naoki,♂,male,jp,241,3232,https://www.goratings.org/en/players/93.html
1714,Xu Hanwen,♂,male,cn,242,3232,https://www.goratings.org/en/players/1714.html
1190,Adachi Toshimasa,♂,male,jp,243,3232,https://www.goratings.org/en/players/1190.html
2446,Jeong Junwoo,♂,male,kr,244,3230,https://www.goratings.org/en/players/2446.html
2314,Zhang Xinyu,♂,male,cn,245,3228,https://www.goratings.org/en/players/2314.html
241,Chen Shiyuan,♂,male,tw,246,3228,https://www.goratings.org/en/players/241.html
144,An Joyeong,♂,male,kr,247,3228,https://www.goratings.org/en/players/144.html
186,Han Chongjin,♂,male,kr,248,3226,https://www.goratings.org/en/players/186.html
2448,Choi Hwanyoung,♂,male,kr,249,3225,https://www.goratings.org/en/players/2448.html
1735,Park Hyunsoo,♂,male,kr,250,3221,https://www.goratings.org/en/players/1735.html
