Date,Black,White,ResultCode,GameKey,BlackFirstAppearance,WhiteFirstAppearance,BlackStartRating,WhiteStartRating,Gb_Before,Gw_Before,Kb,Kw,Rb_Before,Rw_Before,ExpectedBlack,ExpectedWhite,Rb_After,Rw_After,Gb_After,Gw_After
2023-01-03,Zeng Pinjie,Xia Daming,B+1.5,2023-01-03|Zeng Pinjie|Xia Daming|B+1.5,TRUE,TRUE,3005.1475009127084,2980,0,0,40,40,3005.1475009127084,2980,0.5361270960909312,0.46387290390906877,3023.702417069071,2961.4450838436373,1,1
2023-01-03,Zhan Yidian,Zheng Yuhao,B+R,2023-01-03|Zhan Yidian|Zheng Yuhao|B+R,TRUE,TRUE,3137.9334955653544,2936.1664381265973,0,0,40,40,3137.9334955653544,2936.1664381265973,0.7615987287678658,0.23840127123213417,3147.46954641464,2926.630387277312,1,1
2023-01-03,Zhou Keping,Zhuang Chengjun,B+R,2023-01-03|Zhou Keping|Zhuang Chengjun|B+R,TRUE,TRUE,2846.3649235752564,2938.1562766147244,0,0,40,40,2846.3649235752564,2938.1562766147244,0.37089165584399925,0.6291083441560008,2871.5292573414963,2912.9919428484845,1,1
2023-01-04,Choi Jeong,Park Sangjin,B+R,2023-01-04|Choi Jeong|Park Sangjin|B+R,FALSE,TRUE,2997.042321377186,3041.062796178618,2,0,40,40,3000.669957546792,3041.062796178618,0.44213052625576305,0.5578694737442369,3022.9847364965613,3018.7480172288488,3,1
2023-01-04,Hong Mujin,Kim Jiseok,B+R,2023-01-04|Hong Mujin|Kim Jiseok|B+R,FALSE,TRUE,2956.890054501466,3154.6287746758585,1,0,40,40,2978.683689131872,3154.6287746758585,0.2664280754666227,0.7335719245333773,3008.026566113207,3125.2858976945236,2,1
2023-01-04,Kim Eunji,Nakamura Sumire,B+R,2023-01-04|Kim Eunji|Nakamura Sumire|B+R,FALSE,FALSE,3008.795166378106,3028.5750560040683,1,1,40,40,3029.9325597974935,3007.4376625846808,0.5323275997473365,0.46767240025266354,3048.6394558076,2988.7307665745743,2,2
2023-01-04,Lee Wonyoung,Shin Minjun,W+R,2023-01-04|Lee Wonyoung|Shin Minjun|W+R,TRUE,FALSE,3127.5866035722643,3161.296491452465,0,2,40,40,3127.5866035722643,3192.030307875794,0.4083071919914236,0.5916928080085764,3111.2543158926073,3208.3625955554508,1,3
2023-01-04,Lu Yiquan,Huang Wei,B+R,2023-01-04|Lu Yiquan|Huang Wei|B+R,TRUE,TRUE,3054.4679414403395,2957.767851720525,0,0,40,40,3054.4679414403395,2957.767851720525,0.6356771683211482,0.3643228316788518,3069.0408547074935,2943.194938453371,1,1
2023-01-04,Seol Hyunjun,Yun Junsang,B+T,2023-01-04|Seol Hyunjun|Yun Junsang|B+T,TRUE,FALSE,3057.0776812975523,3002.055462567029,0,1,40,40,3057.0776812975523,2984.9342946037755,0.6023558124274399,0.39764418757256015,3072.983448800455,2969.028527100873,1,2
2023-01-05,Chen Pinhua,Li Jiaxin,W+R,2023-01-05|Chen Pinhua|Li Jiaxin|W+R,FALSE,TRUE,2831.039487935881,3019.565954699876,1,0,40,40,2850.2677855419724,3019.565954699876,0.27397280932195894,0.7260271906780411,2839.308873169094,3030.524867072754,2,1
2023-01-05,Dai Jiashen,Chen Bosong,W+R,2023-01-05|Dai Jiashen|Chen Bosong|W+R,TRUE,TRUE,2831.9097951834488,2889.9941410114566,0,0,40,40,2831.9097951834488,2889.9941410114566,0.41718005723133433,0.5828199427686657,2815.2225928941953,2906.68134330071,1,1
2023-01-05,Kim Jinhwi,Han Sangcho,W+9.5,2023-01-05|Kim Jinhwi|Han Sangcho|W+9.5,TRUE,TRUE,3049.693589502957,3040.2380732577963,0,0,40,40,3049.693589502957,3040.2380732577963,0.5136042231617212,0.48639577683827884,3029.149420576488,3060.782242184265,1,1
2023-01-05,Lee Jihyun (m),Park Yeonghun,B+R,2023-01-05|Lee Jihyun (m)|Park Yeonghun|B+R,FALSE,TRUE,2969.7179179292652,2949.774317266469,1,0,40,40,2962.4985073949674,2949.774317266469,0.5183033991187882,0.4816966008812118,2981.7663714302157,2930.506453231221,2,1
2023-01-05,Li Kuihan,Dong Youtang,W+R,2023-01-05|Li Kuihan|Dong Youtang|W+R,FALSE,TRUE,2798.97321315339,2959.354255902489,1,0,40,40,2827.021862742596,2959.354255902489,0.31826286514171226,0.6817371348582877,2814.291348136928,2972.0847705081574,2,1
2023-01-05,Lin Jiehan,Bai Xinhui,B+R,2023-01-05|Lin Jiehan|Bai Xinhui|B+R,TRUE,TRUE,2950.8356685760905,2944.8340584170987,0,0,40,40,2950.8356685760905,2944.8340584170987,0.5086361523350278,0.4913638476649722,2970.490222482689,2925.1795045105,1,1
2023-01-05,Lin Yiting,Chen Yida,B+R,2023-01-05|Lin Yiting|Chen Yida|B+R,TRUE,TRUE,3016.0678276390827,2927.346736733455,0,0,40,40,3016.0678276390827,2927.346736733455,0.6249751628626664,0.3750248371373336,3031.068821124576,2912.3457432479618,1,1
2023-01-05,Lin Yuting,Zhang Kaixin,B+R,2023-01-05|Lin Yuting|Zhang Kaixin|B+R,TRUE,TRUE,2849.7979321790312,2914.4150306783663,0,0,40,40,2849.7979321790312,2914.4150306783663,0.4080660716823477,0.5919339283176523,2873.4752893117375,2890.73767354566,1,1
2023-01-05,Liu Jianchang,Zheng Yuhao,B+R,2023-01-05|Liu Jianchang|Zheng Yuhao|B+R,FALSE,FALSE,2817.6269854081793,2936.1664381265973,1,1,40,40,2798.398687802088,2926.630387277312,0.32340641343702553,0.6765935865629744,2825.462431264607,2899.5666438147928,2,2
