Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2012-05-23,2012,Norway,Eliteserien,1,Domestic,Vålerenga,Rosenborg,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-05-24,2012,Norway,Eliteserien,1,Domestic,Haugesund,Hønefoss BK,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-05-24,2012,Norway,Eliteserien,1,Domestic,Lillestrøm,Aalesund,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-05-24,2012,Norway,Eliteserien,1,Domestic,Molde,Tromsø,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2012-05-28,2012,Norway,Eliteserien,1,Domestic,Hønefoss BK,Molde,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-05-28,2012,Norway,Eliteserien,1,Domestic,Sandnes Ulf,Haugesund,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2012-05-28,2012,Norway,Eliteserien,1,Domestic,Stabæk,Lillestrøm,4,1,score,4-1,H,wikipedia,wikipedia,football-data
2012-05-28,2012,Norway,Eliteserien,1,Domestic,Tromsø,Brann,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2012-05-29,2012,Norway,Eliteserien,1,Domestic,Fredrikstad,Viking,3,0,score,3-0,H,wikipedia,wikipedia,football-data
2012-06-24,2012,Norway,Eliteserien,1,Domestic,Aalesund,Sogndal,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2012-06-24,2012,Norway,Eliteserien,1,Domestic,Rosenborg,Strømsgodset,3,3,score,3-3,D,wikipedia,wikipedia,football-data
2012-06-24,2012,Norway,Eliteserien,1,Domestic,Vålerenga,Stabæk,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2012-06-29,2012,Norway,Eliteserien,1,Domestic,Sogndal,Fredrikstad,1,3,score,1-3,A,wikipedia,wikipedia,football-data
2012-06-30,2012,Norway,Eliteserien,1,Domestic,Brann,Stabæk,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-06-30,2012,Norway,Eliteserien,1,Domestic,Haugesund,Tromsø,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-06-30,2012,Norway,Eliteserien,1,Domestic,Lillestrøm,Sandnes Ulf,1,3,score,1-3,A,wikipedia,wikipedia,football-data
2012-06-30,2012,Norway,Eliteserien,1,Domestic,Molde,Odd Grenland,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2012-06-30,2012,Norway,Eliteserien,1,Domestic,Strømsgodset,Hønefoss BK,4,0,score,4-0,H,wikipedia,wikipedia,football-data
2012-06-30,2012,Norway,Eliteserien,1,Domestic,Viking,Rosenborg,1,4,score,1-4,A,wikipedia,wikipedia,football-data
2012-07-02,2012,Norway,Eliteserien,1,Domestic,Vålerenga,Aalesund,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-07-07,2012,Norway,Eliteserien,1,Domestic,Hønefoss BK,Brann,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-07-07,2012,Norway,Eliteserien,1,Domestic,Tromsø,Sogndal,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-07-08,2012,Norway,Eliteserien,1,Domestic,Aalesund,Viking,1,1,score,1-1,D,wikipedia,wikipedia,football-data
