Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2020-11-01,2020,Norway,Eliteserien,1,Domestic,Mjøndalen,Molde,1,3,1-3,A,wikipedia,wikipedia,football-data
2020-11-01,2020,Norway,Eliteserien,1,Domestic,Rosenborg,Start,1,0,1-0,H,wikipedia,wikipedia,football-data
2020-11-01,2020,Norway,Eliteserien,1,Domestic,Sandefjord,Brann,3,3,3-3,D,wikipedia,wikipedia,football-data
2020-11-01,2020,Norway,Eliteserien,1,Domestic,Stabæk,Viking,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-11-01,2020,Norway,Eliteserien,1,Domestic,Strømsgodset,Vålerenga,0,2,0-2,A,wikipedia,wikipedia,football-data
2020-11-04,2020,Norway,Eliteserien,1,Domestic,Odd,Viking,3,0,3-0,H,wikipedia,wikipedia,football-data
2020-11-07,2020,Norway,Eliteserien,1,Domestic,Brann,Haugesund,1,2,1-2,A,wikipedia,wikipedia,football-data
2020-11-07,2020,Norway,Eliteserien,1,Domestic,Mjøndalen,Strømsgodset,3,0,3-0,H,wikipedia,wikipedia,football-data
2020-11-08,2020,Norway,Eliteserien,1,Domestic,Bodø/Glimt,Aalesund,7,0,7-0,H,wikipedia,wikipedia,football-data
2020-11-08,2020,Norway,Eliteserien,1,Domestic,Molde,Kristiansund,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-11-08,2020,Norway,Eliteserien,1,Domestic,Sandefjord,Stabæk,0,0,0-0,D,wikipedia,wikipedia,football-data
2020-11-08,2020,Norway,Eliteserien,1,Domestic,Start,Sarpsborg 08,3,2,3-2,H,wikipedia,wikipedia,football-data
2020-11-08,2020,Norway,Eliteserien,1,Domestic,Viking,Rosenborg,3,0,3-0,H,wikipedia,wikipedia,football-data
2020-11-08,2020,Norway,Eliteserien,1,Domestic,Vålerenga,Odd,2,0,2-0,H,wikipedia,wikipedia,football-data
2020-11-21,2020,Norway,Eliteserien,1,Domestic,Aalesund,Vålerenga,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-11-21,2020,Norway,Eliteserien,1,Domestic,Stabæk,Molde,0,3,0-3,A,wikipedia,wikipedia,football-data
2020-11-22,2020,Norway,Eliteserien,1,Domestic,Haugesund,Sandefjord,3,2,3-2,H,wikipedia,wikipedia,football-data
2020-11-22,2020,Norway,Eliteserien,1,Domestic,Kristiansund,Mjøndalen,1,0,1-0,H,wikipedia,wikipedia,football-data
2020-11-22,2020,Norway,Eliteserien,1,Domestic,Odd,Start,1,2,1-2,A,wikipedia,wikipedia,football-data
2020-11-22,2020,Norway,Eliteserien,1,Domestic,Sarpsborg 08,Viking,1,2,1-2,A,wikipedia,wikipedia,football-data
2020-11-22,2020,Norway,Eliteserien,1,Domestic,Strømsgodset,Bodø/Glimt,1,2,1-2,A,wikipedia,wikipedia,football-data
2020-11-24,2020,Norway,Eliteserien,1,Domestic,Rosenborg,Brann,2,3,2-3,A,wikipedia,wikipedia,football-data
2020-11-28,2020,Norway,Eliteserien,1,Domestic,Brann,Aalesund,3,1,3-1,H,wikipedia,wikipedia,football-data
2020-11-28,2020,Norway,Eliteserien,1,Domestic,Viking,Start,4,1,4-1,H,wikipedia,wikipedia,football-data
2020-11-29,2020,Norway,Eliteserien,1,Domestic,Bodø/Glimt,Rosenborg,5,1,5-1,H,wikipedia,wikipedia,football-data
2020-11-29,2020,Norway,Eliteserien,1,Domestic,Kristiansund,Strømsgodset,2,1,2-1,H,wikipedia,wikipedia,football-data
2020-11-29,2020,Norway,Eliteserien,1,Domestic,Mjøndalen,Stabæk,0,1,0-1,A,wikipedia,wikipedia,football-data
2020-11-29,2020,Norway,Eliteserien,1,Domestic,Molde,Haugesund,3,1,3-1,H,wikipedia,wikipedia,football-data
2020-11-29,2020,Norway,Eliteserien,1,Domestic,Vålerenga,Sarpsborg 08,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-12-02,2020,Norway,Eliteserien,1,Domestic,Aalesund,Sandefjord,0,1,0-1,A,wikipedia,wikipedia,football-data
2020-12-02,2020,Norway,Eliteserien,1,Domestic,Haugesund,Mjøndalen,1,1,1-1,D,wikipedia,wikipedia,football-data
