Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2016-09-21,2016,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,GIF Sundsvall,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-09-21,2016,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Falkenbergs FF,3,0,score,3-0,H,wikipedia,wikipedia,football-data
2016-09-21,2016,Sweden,Allsvenskan,1,Domestic,Östersunds FK,IFK Norrköping,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2016-09-22,2016,Sweden,Allsvenskan,1,Domestic,Hammarby IF,BK Häcken,2,3,score,2-3,A,wikipedia,wikipedia,football-data
2016-09-22,2016,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Örebro SK,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2016-09-22,2016,Sweden,Allsvenskan,1,Domestic,Malmö FF,IF Elfsborg,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2016-09-24,2016,Sweden,Allsvenskan,1,Domestic,Jönköpings Södra IF,Kalmar FF,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2016-09-25,2016,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,AIK,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2016-09-25,2016,Sweden,Allsvenskan,1,Domestic,Malmö FF,Helsingborgs IF,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2016-09-26,2016,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,Hammarby IF,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2016-09-26,2016,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,BK Häcken,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2016-09-26,2016,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Östersunds FK,2,0,score,2-0,H,wikipedia,wikipedia,football-data
