ID,EventID,Round,Number,Player1ID,Score1,Walkover1,Player2ID,Score2,Walkover2,WinnerID,Unfinished,OnBreak,Status,WorldSnookerID,LiveUrl,DetailsUrl,PointsDropped,ShowCommonNote,Estimated,Type,TableNo,VideoURL,InitDate,ModDate,StartDate,EndDate,ScheduledDate,FrameScores,Sessions,Note,ExtendedNote,HeldOver,StatsURL,EventName,EventStartDate,EventEndDate,Season
10210110,2758,2,28,680,0,FALSE,552,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/45d7c525-dd29-447b-adfe-58f4b6965bc5,https://www.wst.tv/match-centre/45d7c525-dd29-447b-adfe-58f4b6965bc5,FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-06-05 08:20:52,,,2026-06-16 09:00:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210111,2758,2,29,1160,0,FALSE,216,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/ef915579-1873-49fa-97b9-2ddf872fc89d,https://www.wst.tv/match-centre/ef915579-1873-49fa-97b9-2ddf872fc89d,FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-06-05 08:20:52,,,2026-06-16 09:00:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210112,2758,2,30,87,0,FALSE,724,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/c33c79e5-1867-44e0-ae4f-eb6f8fc2b19a,https://www.wst.tv/match-centre/c33c79e5-1867-44e0-ae4f-eb6f8fc2b19a,FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-06-05 08:20:52,,,2026-06-16 09:00:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210113,2758,2,31,2103,0,FALSE,3071,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/074a1715-8dd8-4ce3-aba0-315e41dabaaa,https://www.wst.tv/match-centre/074a1715-8dd8-4ce3-aba0-315e41dabaaa,FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-06-05 08:21:53,,,2026-06-16 13:30:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210114,2758,2,32,175,0,FALSE,3534,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/35f559d9-471c-4794-bc0f-d535d43e17b5,https://www.wst.tv/match-centre/35f559d9-471c-4794-bc0f-d535d43e17b5,FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-06-05 08:21:53,,,2026-06-16 13:30:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210811,2758,2,7,3192,0,FALSE,376,0,FALSE,0,FALSE,FALSE,0,0,"","",FALSE,FALSE,FALSE,1,0,"",2026-05-29T12:37:05Z,2026-06-15T12:37:31Z,"","",2026-06-16T09:00:00Z,"","","","",FALSE,"",Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210812,2758,2,8,3151,0,FALSE,106,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/de55db64-0373-4dfe-9a9f-80db409d6574,https://www.wst.tv/match-centre/de55db64-0373-4dfe-9a9f-80db409d6574,FALSE,FALSE,FALSE,1,0,"",2026-05-29T12:37:05Z,2026-06-05T08:15:01Z,"","",2026-06-15T13:30:00Z,"","","","",FALSE,"",Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210813,2758,2,9,2607,0,FALSE,2616,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/33858664-e13a-4ff7-93c0-c4aff9b76410,https://www.wst.tv/match-centre/33858664-e13a-4ff7-93c0-c4aff9b76410,FALSE,FALSE,FALSE,1,0,"",2026-05-29T12:37:05Z,2026-06-05T08:15:01Z,"","",2026-06-15T13:30:00Z,"","","","",FALSE,"",Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210814,2758,2,10,4148,0,FALSE,25,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/674661ec-3ec3-4cd2-bb16-9b33160e5183,https://www.wst.tv/match-centre/674661ec-3ec3-4cd2-bb16-9b33160e5183,FALSE,FALSE,FALSE,1,0,"",2026-05-29T12:37:05Z,2026-06-05T08:15:01Z,"","",2026-06-15T13:30:00Z,"","","","",FALSE,"",Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210815,2758,2,11,905,0,FALSE,593,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/a75864fc-2935-4cd3-8d66-fc166a734247,https://www.wst.tv/match-centre/a75864fc-2935-4cd3-8d66-fc166a734247,FALSE,FALSE,FALSE,1,0,"",2026-05-29T12:37:05Z,2026-06-05T08:15:01Z,"","",2026-06-15T13:30:00Z,"","","","",FALSE,"",Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
