MatchID,EventID,EventName,EventSeason,EventStartDate,EventEndDate,PlayerA_ID,PlayerB_ID,ScoreA,ScoreB,WinnerID,MatchDate,SourceFile
8756726,2037,Classic,1988,1989-01-01,1989-01-15,469,594,5,2,469,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756727,2037,Classic,1988,1989-01-01,1989-01-15,2878,712,5,2,2878,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756728,2037,Classic,1988,1989-01-01,1989-01-15,2184,3481,5,1,2184,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756729,2037,Classic,1988,1989-01-01,1989-01-15,667,1052,5,2,667,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756730,2037,Classic,1988,1989-01-01,1989-01-15,2877,3460,5,2,2877,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756731,2037,Classic,1988,1989-01-01,1989-01-15,41,1309,5,3,41,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756732,2037,Classic,1988,1989-01-01,1989-01-15,408,409,5,2,408,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756733,2037,Classic,1988,1989-01-01,1989-01-15,3475,3515,5,0,3475,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756734,2037,Classic,1988,1989-01-01,1989-01-15,2879,3509,0,0,2879,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756735,2037,Classic,1988,1989-01-01,1989-01-15,2874,2870,5,3,2874,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756736,2037,Classic,1988,1989-01-01,1989-01-15,3467,3514,5,3,3467,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756737,2037,Classic,1988,1989-01-01,1989-01-15,452,3756,5,2,452,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756738,2037,Classic,1988,1989-01-01,1989-01-15,800,20,5,3,800,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756739,2037,Classic,1988,1989-01-01,1989-01-15,3324,3696,5,2,3324,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756466,2037,Classic,1988,1989-01-01,1989-01-15,802,927,5,1,802,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756467,2037,Classic,1988,1989-01-01,1989-01-15,3501,1049,5,4,3501,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756468,2037,Classic,1988,1989-01-01,1989-01-15,3248,806,4,5,806,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756469,2037,Classic,1988,1989-01-01,1989-01-15,181,659,5,4,181,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756470,2037,Classic,1988,1989-01-01,1989-01-15,470,3699,5,1,470,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756471,2037,Classic,1988,1989-01-01,1989-01-15,3484,2881,5,1,3484,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756472,2037,Classic,1988,1989-01-01,1989-01-15,468,795,4,5,795,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756473,2037,Classic,1988,1989-01-01,1989-01-15,153,2875,5,4,153,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756474,2037,Classic,1988,1989-01-01,1989-01-15,668,3261,4,5,3261,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756475,2037,Classic,1988,1989-01-01,1989-01-15,469,2878,5,0,469,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756476,2037,Classic,1988,1989-01-01,1989-01-15,2184,667,5,3,2184,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756477,2037,Classic,1988,1989-01-01,1989-01-15,2877,41,5,0,2877,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756478,2037,Classic,1988,1989-01-01,1989-01-15,408,3475,5,2,408,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756479,2037,Classic,1988,1989-01-01,1989-01-15,2879,2874,5,1,2879,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756480,2037,Classic,1988,1989-01-01,1989-01-15,3467,452,3,5,452,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756481,2037,Classic,1988,1989-01-01,1989-01-15,800,3324,5,1,800,2024-06-10T12:27:48Z,matches_1988_event_2037.csv
8756502,2037,Classic,1988,1989-01-01,1989-01-15,802,3501,1,5,3501,2024-06-10T12:28:40Z,matches_1988_event_2037.csv
8756503,2037,Classic,1988,1989-01-01,1989-01-15,806,181,5,4,806,2024-06-10T12:28:40Z,matches_1988_event_2037.csv
