PlayerID,PlayerName,Nationality,GamesUsed,FramesUsed,FramesWon,FrameRate,BaselineStart,RetroStart,RetroAdjustment
1934,Soheil Vahedi,Iran,32,201,84,0.417910447761194,2600,2656.46425606733,56.4642560673315
1394,Ismail Türker,Turkey,46,203,112,0.551724137931035,2600,2656.18541527824,56.1854152782426
108,Aditya Mehta,India,31,204,100,0.490196078431373,2600,2655.91691491629,55.9169149162917
898,Ross Muir,Scotland,36,201,99,0.492537313432836,2600,2655.76393674704,55.7639367470401
908,Lu Ning,China,29,201,90,0.447761194029851,2600,2655.15589330777,55.1558933077708
420,John Sutton,Ireland,37,205,109,0.531707317073171,2600,2654.90649161278,54.9064916127791
3208,Paul Sweeny,England,18,200,107,0.535,2600,2654.8317595938,54.8317595938015
2438,Liam Davies,Wales,42,202,100,0.495049504950495,2600,2654.7647922006,54.7647922005963
1931,Noppadon Noppachorn,Thailand,16,210,114,0.542857142857143,2600,2654.6503515518,54.6503515518039
1407,Xu Si,China,31,201,86,0.427860696517413,2600,2654.5887639529,54.5887639528955
192,Issara Kachaiwong,Thailand,26,206,101,0.490291262135922,2600,2654.49016535761,54.4901653576076
714,Billy Snaddon,Scotland,17,212,111,0.523584905660377,2600,2654.16813866531,54.1681386653118
3062,Riley Powell,Wales,41,202,100,0.495049504950495,2600,2654.09534730046,54.095347300462
158,Ali Carter,England,20,202,102,0.504950495049505,2600,2654.01094991334,54.0109499133414
171,Michael White,Wales,20,204,108,0.529411764705882,2600,2652.5398561384,52.5398561384041
60,Andrew Norman,England,18,203,111,0.54679802955665,2600,2652.53313967996,52.5331396799584
910,Chen Feilong,China,34,204,90,0.441176470588235,2600,2652.47812939078,52.4781293907772
239,Alexander Ursenbacher,Switzerland,33,202,89,0.440594059405941,2600,2652.43638798919,52.4363879891862
657,Brian Morgan,England,20,210,110,0.523809523809524,2600,2652.31399876382,52.3139987638228
75,James McGouran,England,35,200,106,0.53,2600,2652.20147448302,52.2014744830167
3209,Terry Murphy,Northern Ireland,18,204,101,0.495098039215686,2600,2652.01366787184,52.0136678718363
