name,rating,games,last_historical_game
An Kwanwuk,3091.180449898711,141,2025-11-06
An Pyeongmu,3094.0744746572805,3,2018-01-16
An Pyeongun,3099,1,2005-11-27
An Sungjoon,3473.3441091672744,385,2025-12-24
An Tongki,3095.390744409421,1,1998-12-05
An Yeonggil,3217.6531151781815,103,2008-05-26
Anastasiya Ilkevich,3094.9070141145116,5,2016-06-08
Anatoly Vernik,3101,1,2006-05-28
Ando Akio,3094.585814164564,2,1991-02-13
Ando Hideo,3094.654789641805,3,1961-09-23
Ando Hinata,3019.7248524342817,16,2025-10-15
Ando Kazushige,3043.941116541856,50,2023-07-20
Ando Kimitaka,3099.248889064175,2,1997-01-01
Ando Takeo,3093.671307747177,4,1975-08-28
Ando Toshiyuki,3099,1,1979-01-17
Andras Gondor,3106.5193321494494,12,1992-05-29
Andre Moussa,3066.774071596013,18,1992-05-30
Andres Aguilar,3096.8608806295574,4,2013-09-03
Andres Comito,3097.81218747293,1,2008-11-09
Andrew Davies,3084.4066669453828,6,2016-06-08
Andrew Kay,3098.8644603115513,2,2013-09-04
Andrew Lewis Davies,3097.796352006607,1,2016-06-06
Andrew Simons,3090.579329919733,7,2016-06-08
Andrew Volosov,3101,1,1999-06-08
Andrey Cheburakhov,3083.466713779485,1,2007-07-15
Andrey Khmyrov,3090.0000270567307,3,2001-07-09
Andrey Kulkov,3086.526083764128,4,2008-10-15
Andrii Kravets,3060.661334147775,23,2025-07-01
Andrius Petrauskas,3087.6071299618943,4,2016-06-07
Andy Liu,3138.921293448826,18,2019-04-07
Anh Tuan Tran,3100.754948906843,2,2009-05-29
Anno Takahiro,3099.620011422086,2,2004-12-01
Antoine Fenech,3101,1,2001-05-13
Anton Chernykh,3053.7686070167442,6,2020-08-01
Anton Zatonskikh,3096.390895214347,1,2000-11-07
Antonio Fernandez Caballero,3088.602182283706,3,2006-05-29
Antti Tormanen,3041.2747210481934,15,2023-03-06
Anzai Nobuaki,3301.7915814324697,262,2025-11-13
Ao Liting,3118.570177842831,2,1986-10-20
Ao Lixian,3101.333590470032,1,1989-11-24
Aoba Kaori,2960.359076989119,49,2025-05-05
Aoki Hideaki,3091.258310292924,3,1994-12-12
Aoki Hirotaka,3070.8217826188143,15,2024-05-20
Aoki Kazuo,3099,1,1952-01-13
Aoki Kikuyo,3066.6054658893627,387,2025-08-25
Aoki Shinichi,2993.356474213285,77,2025-11-02
Aoki Tadashi,3102.7409737181392,2,1980-10-12
Aoki Yoshio,3085.724213390935,1,1989-03-05
Aoki Yuko,3114.679719537703,4,2021-05-20
Aoyagi Hideo,3066.4984614664186,14,1994-07-20
Aoyama Kyoko,3099.62,2,2001-03-18
Aoyanagi Hideo,3090.614203436316,1,1967-01-01
Aoyanagi Yoshiyuki,3101,1,1989-04-30
Aragaki Miki,3103.974211938719,6,2005-03-13
Aragaki Shoon,2981.4547107020303,58,2025-08-18
Aragaki Takeshi,2938.208960578654,60,2018-11-22
Aragaki Yuki,3101,1,2000-07-26
Arai Eiji,3100.3941514603216,4,1980-10-12
Arai Hiroko,3099,1,1987-07-28
Arai Ikuo,3101,1,1975-11-03
