name,rating,games,last_historical_game
Ito Hitoshi,3100.097179214538,2,1949-02-02
Ito Katsuko,3099,1,1967-12-16
Ito Kayoko,3022.394719254917,26,2005-05-08
Ito Kazuo,3098.2279439108893,1,1980-10-12
Ito Kenryo,3031.3498994814445,12,2023-04-03
Ito Kineko,3100.8295467680255,4,1930-05-01
Ito Kiyoko,3093.089884336983,54,1953-02-19
Ito Kojiro,3069.1390839122096,6,1926-09-08
Ito Kotaro,3007.8612631521855,12,1912-12-01
Ito Makoto,3023.5677089640963,12,1992-05-07
Ito Marisuke,3098.616028051683,1,1952-11-01
Ito Masashi,3020.8272470985135,34,2024-11-18
Ito Takeo,3100.3785064324716,2,1993-08-04
Ito Tamotsoo,3097.62,2,1983-08-10
Ito Tomoe,3004.57869898421,58,1983-07-18
Ito Yoji,2995.7977086890837,51,2016-11-17
Ito Yoshio,3097.3037995661343,1,1995-12-01
Ito Yuma,3107.4044175058966,1,2016-02-15
Itoi Kayoko,3124.8379877139832,13,2008-10-08
Itoyama Takashi,3086.386383460943,9,2008-11-16
Itoyama Takeshi,3108.798713458229,6,2009-03-30
Iurij Pliushch,3091.1963161574104,1,1997-06-11
Ivan Detkov,3099.4273657727545,3,1988-09-18
Iwai Ryuichi,3112.917325790512,12,2006-02-20
Iwai Shinichi,3064.024760191024,10,2014-02-17
Iwai Tadanao,3096.298219783307,3,2007-02-19
Iwaki Kimimasa,3097.9064620898066,4,1980-10-12
Iwamaru Taira,3081.4551330954378,35,2022-09-26
Iwamoto Kaoru,3129.294625323524,368,1982-10-07
Iwamura Taira,3126.616990313368,2,2015-04-20
Iwasa Kei,3001.6597339390787,61,1930-12-08
Iwasaki Daigo,3098.61453450118,1,1988-07-26
Iwasaki Jun,3093.311235460638,1,1968-01-01
Iwasaki Kaizo,3099.9971217765815,2,1972-07-16
Iwasaki Kenzo,3103.9911936245194,1,1904-04-06
Iwashita Hodaka,3101.383971948317,1,2009-07-29
Iwata Hajime,3039.1358148478994,22,2011-11-10
Iwata Masao,3126.2862292569343,21,1961-07-26
Iwata Saeka,3103.6040083160997,31,2025-12-01
Iwata Tatsuaki,3202.8585205895656,245,2007-06-14
Iwaya Shigeru,3101,1,1952-01-01
Iyama Yuta,3515.945739688106,1220,2025-12-24
Iyomoto Momoichi,3069.4903675966084,19,1953-09-12
Izawa Akino,2940.1910898654896,105,2025-11-20
Izawa Gankichi,3103.3885787245013,4,1908-11-20
Izawa Kazuo,3101,1,1930-06-21
Izumi Kiichiro,3089.526035902285,3,1912-05-29
Izumi Minoru,3126.050141157849,1,1935-01-25
Izumitani Hideo,3031.636070714602,43,2025-04-03
Izumitani Masanori,3077.541762809802,5,2012-11-29
Izumo Eiji,3069.0599503324065,7,1977-12-01
Izumo Tetsuya,3079.6945005290895,9,2024-07-31
Izutani Minoru,3035.9424536859783,18,1961-08-17
J. Drebichik,3101,1,1990-11-20
J. Francisco,3099,1,1982-08-01
Jack Yang,3099,1,2009-04-19
Jaime Reyes,3101.1340908423126,2,2009-05-30
James Hutchinson,3098.9534801202767,3,2015-06-07
James Kerwin,2960.426527108554,28,1999-03-13
James Sedgwick,3094.773175403515,1,2002-08-04
Jan Bjarke Frederiksen,3093.6823279126756,3,1992-05-30
Jan Bogaerts,3096.0627623447367,2,1998-06-04
Jan Hora,3062.5097788405524,6,2013-12-20
Jan Lubos,3101,1,1998-06-02
Jan Prokop,3097.309341311858,8,2016-06-08
Jan Ramon,3101.5546393268587,4,2009-05-28
Jan Simara,3060.6628292277987,7,2024-03-19
Janez Janza,3078.289218625796,5,2013-09-03
Jang Bi,3117.054622067616,2,2003-08-01
Jang Yeonwoo,3095.1039956423074,1,2019-08-09
Janice Kim,2870.807907816338,35,2002-05-25
Jannik Rasmussen,3097.0428528657644,3,2008-11-09
Janusz Kraszek,3068.0725491856506,18,1991-05-23
Japanese Team,3102.3720561691734,2,2015-11-20
Javier Gonzalez,3101,1,2024-05-22
Javier Savolainen,3094.633682874551,3,2013-09-04
Javier Taboada,3099.6120561691737,2,2009-05-29
Jean Brauch,3100.3729220296677,2,1998-06-05
Jean Michel,3095.9590461461244,8,1997-06-13
Jeff Seailles,3080.0512319596837,1,2000-12-09
Jeffery Fung,3085.432210231588,4,2008-11-02
Jens Henker,3089.385058987566,1,2008-10-04
Jeong Changhyeon,3026.9227686044974,30,1980-11-23
Jeong Duho,3165.237989201402,12,2014-03-12
Jeong Hyeonsan,3071.970615914041,91,1999-04-26
Jeong Junwoo,3174.048697588999,16,2025-10-22
Jeong Seojun,3210.614345864386,53,2025-10-07
Jeremie Hertz,3101,1,2015-06-07
Jerome Hubert,3086.0052106540247,2,1979-03-14
Ji Xiang,3050.7988628218213,15,2025-06-20
Ji Xiao Yong,3083.368101990019,1,2013-12-21
Ji Zhiting,3099.182287469794,1,1928-01-01
Jia Cheng Hsu,3102.364308841561,1,2016-06-05
Jia Cheng Sheu,3123.4067485463843,6,2016-06-08
Jia Cheng Tan,3093.326914842408,13,2024-05-20
Jia Deyi,3102.7455849451194,2,2024-06-02
Jia Ganglu,3083.008287330316,24,2023-11-04
Jia Qian,3094.018394815236,3,2009-09-01
Jia Xiaoyu,3104.9296937960585,2,2003-04-01
Jia Xinyi,3076.9623115385107,3,2025-12-11
Jia Yifan,3087.11309224046,8,2017-07-19
Jian Jingting,3264.78454091117,320,2025-12-30
Jian Lichen,3101.161940355037,26,2011-07-10
Jian Ying,3034.3947625835053,32,2023-10-02
Jiang Changsheng,3102.372067545291,2,1989-01-09
Jiang Chenzhong,3101.4007310442885,1,2007-07-12
Jiang Danzhu,3091.737524049355,2,1993-10-11
Jiang Feng,3103.0742982515617,2,1989-12-02
Jiang Guozhen,3088.69750569464,3,1979-05-02
Jiang Jidou,3100.314230536601,3,2017-07-18
Jiang Junnan,3100.3879438308263,2,2017-02-19
Jiang Lei,3088.6532528013186,1,2000-01-10
Jiang Mingjiu,3005.528085285306,74,2025-07-01
Jiang Qirun,3389.2292867748342,197,2025-12-15
Jiang Tianqi,3098.617395671732,1,2007-07-11
Jiang Wei,3084.3866422627984,20,2017-06-08
Jiang Weijie,3459.9296444313018,665,2025-12-09
Jiang Yinjoo,3099,1,2000-04-27
Jiang Zhiqiang,3110.9565897236353,5,1997-10-01
Jiang Zhujiu,3122.277936785287,262,2025-09-09
Jianing Gan,3101,1,2009-04-19
Jiao Shiwei,3109.3874619886487,18,2020-11-15
Jibiki Tomohiro,3098.1345167878744,3,2023-03-29
Jie Hui Kwa,3099.065412620737,3,2015-06-10
Jie Li,3018.730492408131,39,2011-12-14
Jie Liang,3104.20105082483,2,2014-07-09
Jim Barty,3096.7656344463658,7,1989-05-26
Jim Bates,3097.868851105045,3,1985-05-24
Jimmy Cha,3135.6596788089264,90,2021-09-14
Jimmy Guo,3099,1,2009-04-19
Jin Donggyu,3227.245012995644,85,2012-06-02
Jin Ming,3099,1,1986-03-01
Jin Qianqian,2990.761431152792,31,2011-02-26
Jin Shengyu,3099.3869982586725,7,2004-04-04
Jin Siyeong,3319.71386743751,153,2024-08-31
Jin Tongshi,3100.0028782234185,2,1993-10-11
Jin Weibin,2994.679826096628,75,2023-12-26
Jin Yaxian,3086.072778856281,5,1964-05-18
Jin Yonghuan,3084.2929383041833,2,1997-07-26
Jin Yucheng,3543.42483423088,138,2025-12-19
Jing Jingting,3135.932093757348,1,2019-11-25
Jing Linghu,3097.8661191551105,1,1990-08-16
Jing Shi,3064.05301997736,13,2003-12-11
Jo Bunen,2922.690688908173,39,2025-10-25
Jo Monen,3099,1,2016-08-03
Joan Alemany Flos,3095.650463774507,7,2016-06-08
Joanne Missingham,3110.327206782109,256,2023-10-01
Joanne Phipps,3077.7772452829936,1,2008-10-14
Joao Ferreira,3099,1,2024-05-19
Joey Hung,3072.7217896225857,9,2006-05-31
Johannes Obenaus,3099.94933997817,5,2024-05-22
John Barrs,3096.1400047043853,3,1963-10-05
John Blair,3099,1,1983-02-18
John Chen,3094.4232043781108,6,1985-05-24
John Gibson,3093.666322434204,4,2016-06-07
John Hardy,3099,1,1981-03-13
John J-S Lee,3113.9532071857534,6,2004-01-01
John Javier,3098.6239719483174,1,2013-09-03
John Power,3095.6996690703763,2,1980-03-26
John Tromp,3106.1974288361184,4,2010-12-29
John Walch,3088.4705634203137,2,2013-09-04
Jon Diamond,3095.899737762036,4,1981-08-02
Jon Runar Sto Melting,3098.6358892507133,1,2024-05-21
Jonas Egeberg,3102.1385479313203,1,2015-06-07
Jonas Welticke,3112.650996977188,3,2017-07-13
Jonathan Lidor,3096.979786065163,3,2008-11-10
Jong Joi,3089.2510790162205,2,1987-05-16
Jong-Hoon Lee,3075.892565060045,4,2006-02-05
Joong Ki Kim,3097.2971761040876,3,1992-05-30
Jorge Emilio Murillo Lux,3099,1,2024-05-21
Jose Carlos Raposo,3095.857788971723,3,2006-05-29
Jose Chacon,3095.049663961334,7,2000-02-27
Jose Dalisay,3098.6239719483174,1,1983-02-16
Jostein Flood,3097.005463032717,16,2009-05-30
Ju Qiang Chen,3101.3730170571216,1,2015-06-09
Juan Carlos,3106.9097257644903,2,1982-08-01
Juan Carlos Carrillo,3077.2435459191324,10,1998-06-02
Juan Carlos Pachon,3089.8833316981913,1,2003-09-19
Juan Felipe Burgos Andrade,3094.3168736229495,1,2024-05-20
Juan Garcia de la Banda,3096.9484578368806,9,1992-05-29
Juan Jose Rivaud,3083.574351094036,3,2000-02-27
Juan Pablo Schweitzer Kirsinger,3099.62,2,2006-05-31
Juan Pons Semelis,3098.7649306819026,4,2015-06-07
Juan del Rio Alvarez,3101,1,1983-02-18
Judith Debel,3087.281049318221,1,2008-10-14
Juergen Dueball,3101,1,1964-12-01
Juergen Mattern,3090.30314208149,18,1992-05-30
Juergen Suntinger,3100.0497613361654,8,2016-06-08
Julius Paulu,3102.38,2,2006-05-31
Jun Fan,3089.223270637112,5,2008-11-11
June Ki Beck,3099,1,2000-06-20
Jung Ho Lim,3083.6558670944723,3,1988-05-19
Juri Kuronen,3084.040786351745,1,2014-05-23
Justin Ching,3093.985120621596,1,2016-04-22
Juyong Koh,3101.667517540421,6,2015-06-10
Jyun-Fu Lai,3131.325357999741,5,2015-06-10
Ka Hyo,3091.274243325226,20,2024-07-27
Kabata Yoichi,3088.6219456055305,4,2011-12-26
Kabatake Yoichi,3099,1,2004-09-12
Kachime Yukiteru,3099,1,1983-10-01
Kachiyo Shigeru,3101,1,1982-10-19
Kada Katsuji,3069.0374019409956,134,1989-05-02
Kadokura Yasuyuki,3091.048029419098,3,1980-10-12
Kadota Kentaro,3101,1,2002-08-01
Kadota Setsuko,3098.4255169155804,6,2004-05-01
Kagami Hideyuki,3096.139244194417,4,2000-08-23
Kagami Kenkichi,3099,1,1927-01-01
Kagami Saburo,3099.4154288280397,3,2011-05-08
Kageyama Kenji,3099.9971217765815,2,1979-10-07
Kageyama Toshiro,3173.831386368968,41,1983-01-27
Kageyama Toshiyuki,3087.9582326987197,4,2024-02-21
Kai Naoyuki,3085.888558145864,2,2005-07-24
Kaihara Shigeki,3101,1,1989-01-06
Kaji Hirohisa,3101,1,1969-06-08
Kaji Kazutame,3029.78208135323,32,1992-01-27
Kaji Yasuhisa,3099,1,1960-08-21
Kajiura Tetsutaro,3096.0775939998857,3,1926-11-01
Kajiwara Keigi,3099,1,1999-02-27
Kajiwara Misa,3099.16595566983,2,1939-11-08
Kajiwara Misako,3098.588297764823,1,1939-10-11
Kajiwara Seinosuke,3099,1,1905-07-12
Kajiwara Takeo,3115.9014688954057,229,1994-01-27
Kakinari Kunio,3099,1,1989-10-01
Kakishima Mitsuharu,3101,1,2021-11-27
Kakizawa Yoshinori,3098.6447859901564,1,2011-10-29
Kaku Kyushin,3079.203802875526,5,2019-01-10
Kakui Hidekatsoo,3101,1,1997-05-01
Kamasaki Mizuyo,3098.2611904235414,5,2000-03-08
Kamata Mirai,3098.6239719483174,1,2005-07-27
Kamei Kameo,3102.4527494123995,1,1912-04-07
Kamekura Yoshiko,3098.9063638230136,8,1987-04-01
Kameyama Minoru,3139.477542242913,3,1986-07-16
Kami Hirokazu,3104.65540741169,2,2003-10-01
Kami Koichiro,3098.0028782234185,2,2004-12-26
Kamiji Hiroki,3077.9989859597126,7,2009-02-16
Kamijo Kohei,3099,1,2000-08-21
Kamil Chwedyna,3098.192262260245,3,2011-05-31
Kamimura Haruo,3058.6068613568755,114,2017-09-21
Kamimura Hidemi,3097.117417793882,1,1989-10-31
Kamimura Hiroshi,3097.437366244046,1,1990-07-17
Kamimura Kunio,3192.5551400340187,70,2004-04-29
Kamimura Yoshihiro,3098.616028051683,1,1961-08-16
Kamiya Tetsuo,3081.5554037683946,6,1998-02-05
Kamiya Yuki,3101,1,2010-08-07
Kamon Santipojana,3093.359100312957,1,2010-05-27
Kan Minu,3112.5989779015863,36,2025-04-09
Kanagawa Masaaki,3002.6106768376967,17,2011-02-28
Kanai Haruko,3122.9749222005057,4,1939-11-08
Kanai Kazuko,3088.30509834877,5,2008-02-18
Kanai Kota,3094.921081660115,1,2000-03-18
Kanai Masami,3097.616709633522,2,1980-10-12
Kanai Masamitsoo,3099,1,1979-10-07
Kanai Shinichi,3069.006709749228,7,1961-12-27
Kanai Tenpei,3093.7634769866168,2,1993-09-20
Kanao Akitoshi,3101,1,1960-07-02
Kanashima Tadashi,3116.608135039124,36,1999-12-23
Kanayama Seiichi,3101.9971217765815,2,1995-05-28
Kanazawa Eisuke,3099.222390042331,1,2003-09-07
Kanazawa Hideo,3313.077193057568,57,2024-11-18
Kanazawa Makoto,3161.175365149077,68,2019-09-05
Kanazawa Moriei,3095.2342059873968,36,2010-03-01
Kanazawa Toei,3099.7090309278415,23,2000-03-05
Kanbara Shigeji,3023.5102479618413,23,1934-10-17
Kanda Ei,3011.977826181351,99,2025-02-06
Kaneda Masafumi,3074.4654420723127,1,2025-08-18
Kaneda Tokujiro,3066.6271969825966,4,1934-06-19
Kaneko Haruo,3100.372067545291,2,1980-10-12
Kaneko Kimio,3104.4925231222273,5,1982-09-26
Kaneko Maki,3071.492983434705,29,2025-02-03
Kaneko Masaru,3073.8773106168837,1,2017-02-13
Kaneko Miho,3099,1,2001-07-25
Kaneko Nobuji,3097.8970940456243,1,1989-07-02
Kaneko Shoji,3101,1,1979-10-01
Kaneko Toshimichi,3098.859982322853,2,1979-08-02
Kaneko Yuko,3097.866106265351,1,2000-07-25
Kanemaru Shigeru,3100.4115870822898,2,1989-08-15
Kanesaka Shuhei,3097.47460040489,1,2011-11-20
Kaneshige Hayato,3101,1,1987-11-01
Kaneshige Kazuhiko,3099,1,1979-03-01
Kaneyama Michiko,3099,1,1994-11-07
Kaneyama Seiichi,3099,1,1993-10-24
Kang Changbae,3152.150448680673,42,2019-11-22
Kang Cheolmin,3032.681488847965,78,1998-08-18
Kang Dongyun,3500.108582047316,976,2025-12-18
Kang Hoon,3119.9330393922855,1,2019-03-26
Kang Hoon  Jr.,3180.30392510968,21,2018-10-21
Kang Hoon  Sr.,3045.8172468251973,347,2019-12-30
Kang Hun (Jr.),3060.6195369451852,4,2023-12-09
Kang Hun (Sr.),3038.1641709351775,40,2025-11-30
Kang Hun (a),3096.7176963671213,1,2007-06-25
Kang Jaeu,3087.6753592497357,7,2024-04-07
Kang Jihoon,3150.7874107654197,12,2025-12-20
Kang Jipeom,3071.7043115323177,7,2025-08-16
Kang Jiseong,3194.3820204401004,73,2023-07-25
Kang Jisoo,2980.2439884439827,33,2025-09-23
Kang Kyeongnang,3124.518171674327,8,2018-06-04
Kang Manu,2782.775426518753,38,2021-03-10
Kang Meiling,3095.0368756818343,1,1990-11-06
Kang Minhu,3119.1956782509433,1,2025-07-31
Kang Nayeon,3097.451603330909,1,1999-09-04
Kang Pyeonggwon,3153.6588774197826,26,2015-09-21
Kang Seonpeom,3092.5061197161763,6,1980-03-29
Kang Seungheui,3000.752526016181,14,2011-06-22
Kang Seungmin,3388.2890831109557,228,2025-12-18
Kang Suchang,3097.0075426541785,2,1988-10-01
Kang Tacheong,2960.799405412568,73,2025-06-24
Kang Taehoon,3088.2969008411465,2,2018-01-26
Kang Taekil,3098.630065384209,1,1986-11-23
Kang Tongu,3099,1,1998-08-23
Kang Woohyeok,3124.846270815065,29,2023-11-17
Kang Xianhao,3088.85603451632,1,2007-04-21
Kang Yena,3098.234165500501,1,2006-08-13
Kang Yeonmi,3097.8889488385366,1,2002-04-11
Kang Yin,3101,1,1992-05-28
Kang Yootaek,3403.988345770061,255,2025-12-20
Kang Youngil,3091.420607999039,6,2001-10-21
Kang Zhanbin,3038.347935476737,35,2025-06-06
Kang-Ting Yeh,3112.2376237103376,4,2009-05-30
Kanno Kiyonori,3118.708293924135,28,1996-01-29
Kanno Masaaki,3084.8503062564464,2,1982-03-20
Kanno Masashi,3044.697078735794,7,2023-02-16
Kanno Naomi,3014.9553466961997,47,2022-08-22
Kano Shigehiko,3098.8525164023895,2,1979-10-07
Kano Shoichi,3095.735495028113,2,1980-10-12
Kano Yoshiki,3098.0028782234185,2,1979-10-07
Kano Yoshinori,3138.6188382574223,84,1993-05-24
Kansaku Fumiaki,3089.9442978762977,5,1994-12-12
Karakida Kenji,3082.2115421987437,6,1993-12-13
Karen Mikayelyan,3099,1,2015-06-07
Karibe Eisaburo,3026.0079574418673,43,1940-10-16
Karigane Junichi,3085.056929226621,60,1952-01-27
Karino Shigehiko,3099.6229785013797,2,1980-10-12
Kariya Hiraku,3074.3268354046813,22,1971-02-24
Kariya Kazuo,3043.3656530802523,9,1934-11-16
Karoly Vekey,3083.8231883780245,3,1981-03-12
Kasahara Tomoji,3097.39885211583,2,1979-10-07
Kasahara Yoichiro,3082.6891085033826,3,1981-09-06
Kasai Kiyoshi,3097.6471200278424,2,1979-10-07
Kasai Koji,3051.2969457273184,22,2024-01-18
Kasai Mikio,3096.2890936329873,3,1990-09-30
Kashihara Yasuto,3122.218284020858,4,1985-07-17
Kashino Jikuko,3101.4211690187394,1,1965-04-09
Kashiwagi Hiroyoshi,3101,1,1979-07-22
Kashiwai Dai,3078.354423590655,3,2009-02-16
Kashiwai Toshiyuki,3070.163362229396,4,1980-10-12
Kasper Hornbaek,3089.633760942693,2,2010-05-28
Katagiri Makoto,3099.3393073661796,1,1971-02-14
Katagishi Kanjiro,3078.8348326521923,1,2007-02-19
Kataoka Satoshi,3185.653564077786,725,2025-12-08
Kataoka Yoshihide,3090.6194355991315,1,2006-07-17
Katayama Akira,3098.0028782234185,2,1979-10-07
Katayama Hiroyuki,3086.1019061979837,19,2014-03-17
Katayama Yasuo,3048.911496805435,11,2013-12-12
Katayama Yoshihiro,3100.9913736613507,3,1997-06-01
Kato Akihiro,3097.8562398651543,1,1957-01-01
Kato Atsushi,3144.142924913786,225,2025-08-25
Kato Chie,3056.324325631599,78,2025-12-25
Kato Keiko,2994.299893023556,184,2025-12-25
Kato Kirao,3099.6215251203243,2,1979-10-07
Kato Masao,3303.662970553764,1282,2005-01-09
Kato Masayoshi,3101,1,1955-06-26
Kato Minaichi,3004.5914896094932,55,1937-11-17
Kato Shin,3076.4569080626416,207,1952-03-20
Kato Tomoko,3030.748890358162,190,2025-12-11
Kato Toshiharu,3098.3965359071403,4,1980-10-12
Kato Tsuyoshi,3099,1,2016-07-08
Kato Yoshio,3098.250116682806,1,1967-06-01
Kato Yuki,3071.1444837853505,34,2020-08-10
Kato Yuki  (f),2953.8485919267537,9,2025-01-10
Kato Yuki  (m),3097.023371354736,2,2022-09-26
Katsuma Shiro,3052.235977446664,23,2025-09-10
Katsumata Yuzuru,3097.2534092878764,2,1979-10-07
Katsura Atsushi,3101.8489460506544,8,2023-02-20
Katsura Enshi,3101,1,1986-05-26
Katsura Shinobu,3107.162441081303,1,1942-10-01
Katsuya Kazuko,3098.0028782234185,2,2003-04-01
Kawabata Atsushi,2988.4230722099737,12,2025-12-03
Kawabata Takuya,3094.0480464462707,3,2024-04-02
Kawabata Yasunari,3101,1,1938-07-09
Kawabe Ken,3091.786020686323,6,2024-07-31
Kawada Akio,3101,1,1993-10-24
Kawada Akira,3100.5899244470083,3,1979-10-07
Kawada Keisuke,3099,1,2001-12-26
Kawada Kenji,3097.4800273200135,1,1993-08-20
Kawada Kiyoko,3088.1906860432928,7,1929-04-17
Kawada Kohei,3016.666554674044,19,2023-11-13
Kawaguchi Atsoo,3098.236601520339,1,2007-07-26
Kawaguchi Kohei,3099,1,2014-07-24
Kawaguchi Tsubasa,3098.7482163188943,9,2022-07-03
Kawahara Yu,3106.2327395081484,28,2024-12-05
Kawai Kazuo,3097.2583305795306,4,1989-05-26
Kawai Kikuji,3041.288002246216,18,1941-06-12
Kawai Masao,3097.2570870913473,2,1979-10-07
Kawai Shoji,3086.8108249582,8,2022-08-25
Kawai Tetsuyuki,3106.118579671079,6,1992-08-17
Kawakuma Hiroyuki,3100.7550096019986,2,1980-10-12
Kawamata Eisuke,3065.538730251422,3,2024-04-03
Kawamoto Noboru,3033.91430390228,15,2008-02-18
Kawamura Hiroko,3102.879479074304,1,1995-09-10
Kawamura Hiromichi,3097.62,2,1979-10-07
Kawamura Kazunori,3033.998723965244,12,2025-12-24
Kawamura Kihiro,3094.8282806669563,1,2003-11-23
Kawamura Masafumi,3099,1,1999-01-06
Kawamura Masamichi,3087.7752990686704,7,2006-02-20
Kawamura Tomoko,3096.0792667868445,2,2007-10-11
Kawamura Yoshikazu,3101.2493610385477,3,1995-08-01
Kawamura Yozo,3122.1017519389916,18,1969-09-21
Kawanishi Tetsuo,3103.868738006968,2,1980-10-12
Kawanishi Torajiro,3099,1,1920-03-07
Kawao Kazuaki,3101,1,1981-02-15
Kawara Tsuneo,3099,1,1948-08-22
Kawasaki Hiroshi,3098.616028051683,1,1993-07-27
Kawasaki Nagato,3099.0326461395093,2,2000-11-01
Kawasaki Susumu,3102.1643677099223,1,2004-07-01
Kazama Jun,3081.227962457155,30,2022-09-19
Kazama Matsutaro,3101,1,1927-01-01
Kazuo Kawai,3102.855874864458,1,1985-05-24
Kazuo Watanabe,3101.369714872049,1,1998-06-03
Ke Jie,3554.0060455038783,836,2025-12-09
Ke Peichen,2968.533864260045,12,2025-11-12
Ke Zhiwei,3093.673611666369,1,2025-02-19
Keaneda Masafumi,3096.114112201328,1,2024-08-19
Kei Chon Wan,3059.2020829189264,4,2016-06-08
Keitoku Toru,3097.584539586753,1,1986-08-05
Kenmochi Jo,3014.2664139750336,45,2022-08-22
Kenyi Miguel Kina Avalos,3098.1954866909755,1,2008-11-09
Kerem Karaerkek,3096.8303889018543,2,1998-06-04
Kevin Chen,3096.0437540070943,1,2008-10-09
Kevin Huang,3033.1194147521464,8,2011-12-14
Kevin Yang,3069.8472496611894,5,2023-08-03
Khadbaatar Deleg,3097.7716385803024,1,2008-11-09
Khanh Lam Bui Le,3096.3861428721407,1,2016-07-16
Khanh-Binh Do,3094.0884419270833,2,2015-06-09
Ki Minchan,3084.704767290449,7,2025-10-24
Kibaek Kim,3103.988422216812,1,2016-06-08
Kibe Natsuki,2964.8649335780906,40,2025-12-08
Kibukawa Satoshi,3079.0202863732006,7,2015-02-16
Kihara Yukio,3098.613161260356,3,1979-10-07
Kikkawa Hajime,3020.2297070841573,19,2023-10-28
Kikuchi Masatoshi,3075.5612059887817,4,2015-05-18
Kikuchi Yasuro,3176.606917169087,125,2010-03-01
Kikuchi Yoshio,3098.61453450118,1,2007-02-19
Kikugawa Mikitoshi,3101.597392212813,4,1989-11-12
Kikumoto Akira,3102.1338229248845,1,1999-08-01
Kikumoto Goro,3106.021475570861,10,2002-12-01
Kim Beomseo,3215.74597424926,37,2025-07-27
Kim Bongseon,2909.298829307423,29,1978-03-06
Kim Chaeyoung,3290.7553535150596,404,2025-12-12
Kim Changhoon,3286.862965450314,39,2024-04-11
Kim Chanwoo,3091.787730874541,1,2023-08-29
Kim Chanwu,3102.596153434503,83,2025-11-06
Kim Chena,3093.3062549766305,3,2020-09-17
Kim Cheolchung,3043.5402074843846,49,2023-11-14
Kim Cheonghoon,3082.8514666773817,3,2024-04-14
Kim Cheonghwan,3097.578248902421,8,2008-05-11
Kim Cheongil,3099,1,1980-10-12
Kim Cheongki,3099,1,1993-11-28
Kim Cheongmin,3098.625442757193,1,2005-09-14
Kim Cheongsoo,3092.174978769755,6,2007-11-11
Kim Cheongweon,3100.0028782234185,2,1993-07-27
Kim Chuhyeong,3094.932852266679,3,2025-01-23
Kim Chunsang,3098.562359169683,3,2003-12-14
Kim Chunseok,3087.879345584929,3,2021-02-09
Kim Chunyeong,3111.6999125843276,18,2017-09-28
Kim Dayoung,3103.9472434985446,150,2025-10-27
Kim Dongchan,3083.6853556401043,1,2005-08-06
Kim Dongho,3214.437680025402,74,2017-10-27
Kim Eunji,3502.0354571657867,364,2025-12-20
Kim Eunok,3098.622210500146,1,2001-04-13
Kim Eunseon,3036.7012238223097,146,2025-11-07
Kim Gibaek,3107.743396168455,7,2016-06-08
Kim Haksoo  Jr.,3051.20782434396,4,1991-05-22
Kim Haksoo  Sr.,3082.0110161667503,4,1988-11-27
Kim Hayun,3121.9758036032085,21,2025-08-13
Kim Heesoo,3046.3231602458077,36,2024-05-26
Kim Heesun,3098.608122618203,1,1984-03-20
Kim Hojin,3106.8093696730607,2,2006-10-22
Kim Huichung,3099.0891215217616,115,1998-07-08
Kim Huichung  (am),3098.411413256562,2,2018-06-26
Kim Huiseun,3103.8564919639743,2,1983-03-22
Kim Hunchik,3102.152909607505,1,1989-09-08
Kim Hwansu,3174.103235378173,34,2015-08-15
Kim Hyelim,3082.661561196649,52,2023-05-09
Kim Hyemin,3146.7054705153814,326,2025-11-12
Kim Hyenchan,3263.1206594446244,91,2023-08-12
Kim Hyeonghwan,3154.052355962846,47,2018-10-18
Kim Hyeonghwan  (am),3101,1,1980-10-12
Kim Hyeongwoo,3250.843823952848,168,2025-12-13
Kim Hyeonseop,3139.9123167387543,14,2013-01-15
Kim Hyesun,3100.1358953543804,5,1996-10-05
Kim Hyocheong,3061.291565408122,6,2010-10-06
Kim Hyokon,3032.1624106353665,9,2009-08-31
Kim Hyoyeong,3025.9763252090183,8,2022-12-23
Kim Hyuncheong,3099,1,1993-01-18
Kim Hyungkyun,3101,1,1993-03-14
Kim Hyunhwan,3099,1,1997-05-18
Kim Hyunjin,3104.148779925764,2,1985-12-15
Kim Hyunjong,3090.278134550903,1,2008-09-22
Kim Hyunkeun,3097.86836575224,1,1993-07-31
Kim Hyunpin,3163.533369434189,8,2023-07-20
Kim Ikyeong,3023.1220974924745,13,1974-06-25
Kim Ilhwan,3120.0458595288296,247,2025-10-30
Kim In,3088.8842371666633,470,2006-05-26
Kim Inyu,3099,1,1969-08-29
Kim Jaeheon,3097.335551901937,1,1988-11-27
Kim Jaeku,2993.34733658654,42,1996-10-27
Kim Jaeku  (am),3101,1,1993-11-28
Kim Jaelim,3112.188423270032,2,2010-08-07
Kim Jaeyeong,3091.885798587925,3,2019-10-03
Kim Jaeyeong + DolBaram,3101,1,2019-03-17
Kim Jaeyong,3097.6279438308266,2,1993-04-25
Kim Jaeyoung,3120.4187038967907,1,2019-04-22
Kim Jeongseon,3114.7455895786816,9,2024-05-22
Kim Jeongu,3095.262504637803,12,2018-07-03
Kim Jieun,3105.5647405613154,4,2005-07-31
Kim Jimyeong,3068.5420393750096,10,2023-12-28
Kim Jimyeong  (am),3093.653007223989,1,1998-04-01
Kim Jinhoon,3073.6618373662186,8,2019-07-15
Kim Jinhwan,3097.5115074551472,9,1997-10-05
Kim Jinhwi,3378.946260275013,140,2025-06-17
Kim Jinseong,3097.4628246866846,1,2008-02-18
Kim Jinsoo,3098.613793306218,1,1989-08-18
Kim Jinu,3088.1172733597245,18,2009-12-02
Kim Jiseok,3480.666254053048,887,2025-12-24
