Date,RSSSFHome,RSSSFAway,RSSSFScore,HomeCanon,AwayCanon,MatchKey
2026-04-03,Poltava,Olexandrija,3-3,sc_poltava,oleksandriya,sc_poltava|||oleksandriya|||3-3
2026-04-04,Dynamo,Karpaty,0-1,dynamo_kyiv,karpaty_lviv,dynamo_kyiv|||karpaty_lviv|||0-1
2026-04-04,Kolos,Metalist'25,0-0,kolos_kovalivka,metalist_1925,kolos_kovalivka|||metalist_1925|||0-0
2026-04-05,Kryvbas,LNZ,0-3,kryvbas_kryvyi_rih,lnz_cherkasy,kryvbas_kryvyi_rih|||lnz_cherkasy|||0-3
2026-04-05,Polissja,Veres,1-1,polissya_zhytomyr,veres_rivne,polissya_zhytomyr|||veres_rivne|||1-1
2026-04-05,Obolon,Zorja,3-3,obolon_kyiv,zorya_luhansk,obolon_kyiv|||zorya_luhansk|||3-3
2026-04-06,Epicenter,Kudrivka,1-0,epicenter,kudrivka,epicenter|||kudrivka|||1-0
2026-04-10,Poltava,Polissja,0-4,sc_poltava,polissya_zhytomyr,sc_poltava|||polissya_zhytomyr|||0-4
2026-04-11,Metalist'25,Dynamo,1-0,metalist_1925,dynamo_kyiv,metalist_1925|||dynamo_kyiv|||1-0
2026-04-11,Karpaty,Olexandrija,2-0,karpaty_lviv,oleksandriya,karpaty_lviv|||oleksandriya|||2-0
2026-04-11,Veres,Obolon,2-0,veres_rivne,obolon_kyiv,veres_rivne|||obolon_kyiv|||2-0
2026-04-12,Kudrivka,Kryvbas,1-2,kudrivka,kryvbas_kryvyi_rih,kudrivka|||kryvbas_kryvyi_rih|||1-2
2026-04-12,Zorja,Epicenter,1-0,zorya_luhansk,epicenter,zorya_luhansk|||epicenter|||1-0
2026-04-13,LNZ,Sachtar,2-2,lnz_cherkasy,shakhtar_donetsk,lnz_cherkasy|||shakhtar_donetsk|||2-2
2026-04-17,Dynamo,Zorja,3-1,dynamo_kyiv,zorya_luhansk,dynamo_kyiv|||zorya_luhansk|||3-1
2026-04-17,Obolon,Poltava,1-1,obolon_kyiv,sc_poltava,obolon_kyiv|||sc_poltava|||1-1
