"ID","Name","StartDate","EndDate","Sponsor","Season","Type","Num","Venue","City","Country","Discipline","Main","Sex","AgeGroup","Url","Related","Stage","ValueType","ShortName","WorldSnookerId","RankingType","EventPredictionID","Team","Format","Twitter","HashTag","ConversionRate","AllRoundsAdded","PhotoURLs","NumCompetitors","NumUpcoming","NumActive","NumResults","Note","CommonNote","DefendingChampion","PreviousEdition","Tour"
655,"Championship League - Group 7","2018-03-26","2018-03-27","",2017,"Invitational",7,"Ricoh Arena","Coventry","England","snooker",648,"Both","O","","","Q","CL","",13992,"",0,FALSE,3,"","ChampionshipLeague",1,TRUE,"",0,0,0,24,"","selected betting sites",0,546,"main"
648,"Championship League - Winners' Group","2018-03-28","2018-03-29","",2017,"Invitational",0,"Ricoh Arena","Coventry","England","snooker",648,"Both","O","http://www.championshipleaguesnooker.co.uk/","","F","CL","",13993,"",0,FALSE,3,"","ChampionshipLeague",1,TRUE,"",30,0,0,24,"","selected betting sites",237,541,"main"
646,"China Open","2018-04-02","2018-04-08","Fuhua Group",2017,"Ranking",0,"Beijing National Olympic Center Gymnasium.","Beijing","China","snooker",646,"Both","O","","china","F","CO","",14008,"WR",2717,FALSE,1,"","SnookerChinaOpen",1,TRUE,"",131,0,0,63,"","<a href=""http://www.eurosportplayer.com/"">Eurosport Player</a> and selected betting sites",17,533,"main"
604,"World Championship Qualifiers","2018-04-11","2018-04-18","Betfred",2017,"Qualifying",0,"English Institute of Sport","Sheffield","England","snooker",605,"Both","O","","world","Q","WC","",14004,"WR",0,FALSE,1,"","SnookerWorldChamps",1,TRUE,"",0,0,0,112,"","<a href=""http://www.eurosportplayer.com/"">Eurosport Player</a> and selected betting sites",0,535,"main"
704,"Seniors Masters","2018-04-12","2018-04-12","Assetereum",2017,"Ranking",0,"Crucible Theatre","Sheffield","England","snooker",704,"Both","S","","seniors","F","","",0,"",0,FALSE,1,"","",1,TRUE,"",8,0,0,7,"Matches are played under a 30 sec shotclock. Matches going to a deciding frame will be decided by a respotted black to determine the winner.","<a href=https://youtube.com/watch?v=kbKQP7T8zCc>YouTube</a>",0,0,"seniors"
740,"Women's 10 Red World Championship ","2018-04-14","2018-04-14","",2017,"Ranking",0,"Northern Snooker Centre","Leeds","England","snooker",740,"Women","O","https://www.mysnookerstats.com/tournament/trn692/","","F","W10RED","",0,"WWR",0,FALSE,1,"","",1,TRUE,"",27,0,0,26,"","",1485,741,"women"
739,"Women's 6 Red World Championship ","2018-04-15","2018-04-15","",2017,"Ranking",0,"Northern Snooker Centre","Leeds","England","six-red snooker",739,"Women","O","https://www.mysnookerstats.com/tournament/trn693/","","F","W6RED","",0,"WWR",0,FALSE,1,"","",1,TRUE,"",28,0,0,27,"","",1485,759,"women"
735,"EBSA Qualifying Tour Play-Offs","2018-04-18","2018-04-18","",2017,"Play-off",0,"English Institute of Sport","Sheffield","England","snooker",735,"Both","O","","","F","","EBSA Play Off",0,"",0,FALSE,1,"","EBSAPlayoffs",1,TRUE,"",8,0,0,6,"The two winners in round two earns a place on the 2018/2019 and 2019/2020 Main Tour.","",0,617,"main"
605,"World Championship","2018-04-21","2018-05-07","Betfred",2017,"Ranking",0,"Crucible Theatre","Sheffield","England","snooker",605,"Both","O","","world","F","WC","",14003,"WR",2018,FALSE,1,"","SnookerWorldChamps",1,TRUE,"",144,0,0,31,"","<a href=""http://www.bbc.co.uk/iplayer"">BBC</a>, <a href=""http://eurosportplayer.com/"">Eurosport</a>, <a href=""https://www.facebook.com/WorldSnooker1/"">Facebook</a> and selected betting sites",17,536,"main"
736,"Qualifying School  - Event One","2018-05-14","2018-05-19","",2017,"Qualifying School",1,"Meadowside Leisure Centre","Burton on Trent","England","snooker",736,"Both","O","","school","QS","","Q School 1",14011,"QS",0,FALSE,1,"","QSchool",1,TRUE,"",202,0,0,198,"The winners of the quarterfinals receive Tour cards for the 2018/2019 and 2019/2020 seasons","",0,618,"main"
737,"Qualifying School  - Event Two","2018-05-20","2018-05-25","",2017,"Qualifying School",2,"Meadowside Leisure Centre","Burton on Trent","England","snooker",737,"Both","O","","school","QS","","Q School 2",14017,"QS",0,FALSE,1,"","QSchool",1,TRUE,"",202,0,0,198,"The winners of the quarterfinals receive Tour cards for the 2018/2019 and 2019/2020 seasons","",0,619,"main"
738,"Qualifying School  - Event Three","2018-05-26","2018-05-31","",2017,"Qualifying School",3,"Meadowside Leisure Centre","Burton on Trent","England","snooker",738,"Both","O","","school","QS","","Q School 3",14018,"QS",0,FALSE,1,"","QSchool",1,TRUE,"",201,0,0,197,"The winners of the quarterfinals receive Tour cards for the 2018/2019 and 2019/2020 seasons","",0,253,"main"
