ID,Name,StartDate,EndDate,Sponsor,Season,Tour,Type,Num,Venue,City,Country,Discipline,Main,Sex,AgeGroup,WorldSnookerId,NumCompetitors,NumUpcoming,NumActive,NumResults
2043,Q Tour 1,2024-08-15,2024-08-18,"",2024,q,Ranking,1,Northern Snooker Centre,Leeds,England,snooker,2043,Both,O,0,154,0,0,153
1832,Xi'an Grand Prix,2024-08-19,2024-08-25,Du Xiaoman,2024,main,Ranking,0,Qujiang E-sports Centre,Xi'an,China,snooker,1832,Both,O,0,128,0,0,63
1839,Saudi Arabia Masters,2024-08-30,2024-09-07,"",2024,main,Ranking,0,Green Halls,Riyadh,Saudi Arabia,snooker,1839,Both,O,0,144,0,0,143
2078,UK Women's Championships Group A,2024-09-06,2024-09-07,"",2024,women,Ranking,1,Northern Snooker Centre,Leeds,England,snooker,2020,Women,O,0,0,0,0,6
2079,UK Women's Championships Group B,2024-09-06,2024-09-07,"",2024,women,Ranking,2,Northern Snooker Centre,Leeds,England,snooker,2020,Women,O,0,0,0,0,6
2080,UK Women's Championships Group C,2024-09-06,2024-09-07,"",2024,women,Ranking,3,Northern Snooker Centre,Leeds,England,snooker,2020,Women,O,0,0,0,0,6
2081,UK Women's Championships Group D,2024-09-06,2024-09-07,"",2024,women,Ranking,4,Northern Snooker Centre,Leeds,England,snooker,2020,Women,O,0,0,0,0,6
2082,UK Women's Championships Group E,2024-09-06,2024-09-07,"",2024,women,Ranking,5,Northern Snooker Centre,Leeds,England,snooker,2020,Women,O,0,0,0,0,6
2083,UK Women's Championships Group F,2024-09-06,2024-09-07,"",2024,women,Ranking,6,Northern Snooker Centre,Leeds,England,snooker,2020,Women,O,0,0,0,0,6
2084,UK Women's Championships Group G,2024-09-06,2024-09-07,"",2024,women,Ranking,7,Northern Snooker Centre,Leeds,England,snooker,2020,Women,O,0,0,0,0,6
2085,UK Women's Championships Group H,2024-09-06,2024-09-07,"",2024,women,Ranking,8,Northern Snooker Centre,Leeds,England,snooker,2020,Women,O,0,0,0,0,6
2020,UK Women's Championship,2024-09-06,2024-09-08,Taom,2024,women,Ranking,0,Northern Snooker Centre,Leeds,England,snooker,2020,Women,O,0,37,0,0,20
1936,English Open Qualifiers,2024-09-12,2024-09-14,"",2024,main,Qualifying,0,Brentwood Leisure Centre,Brentwood,England,snooker,1833,Both,O,0,0,0,0,64
1833,English Open,2024-09-16,2024-09-22,BetVictor,2024,main,Ranking,0,Brentwood Leisure Centre,Brentwood,England,snooker,1833,Both,O,0,128,0,0,63
2044,Q Tour 2,2024-09-20,2024-09-22,"",2024,q,Ranking,2,Bulgarian Snooker Academy,Sofia,Bulgaria,snooker,2044,Both,O,0,108,0,0,107
1834,British Open,2024-09-23,2024-09-29,Unibet,2024,main,Ranking,0,The Centaur,Cheltenham,England,snooker,1834,Both,O,0,128,0,0,63
2006,Asia Pacific Q Tour Event 3: New Zealand Open,2024-09-26,2024-09-29,"",2024,q,Ranking,0,Papatoetoe Cosmopolitan Club,Auckland,New Zealand,snooker,2006,Both,O,0,30,0,0,15
2087,Asia Pacific Q Tour Event 3: New Zealand Open - Group A,2024-09-26,2024-09-29,"",2024,q,Ranking,0,Papatoetoe Cosmopolitan Club,Auckland,New Zealand,snooker,2006,Both,O,0,0,0,0,10
2088,Asia Pacific Q Tour Event 3: New Zealand Open - Group B,2024-09-26,2024-09-29,"",2024,q,Ranking,0,Papatoetoe Cosmopolitan Club,Auckland,New Zealand,snooker,2006,Both,O,0,0,0,0,10
2089,Asia Pacific Q Tour Event 3: New Zealand Open - Group C,2024-09-26,2024-09-29,"",2024,q,Ranking,0,Papatoetoe Cosmopolitan Club,Auckland,New Zealand,snooker,2006,Both,O,0,0,0,0,10
2090,Asia Pacific Q Tour Event 3: New Zealand Open - Group D,2024-09-26,2024-09-29,"",2024,q,Ranking,0,Papatoetoe Cosmopolitan Club,Auckland,New Zealand,snooker,2006,Both,O,0,0,0,0,10
2091,Asia Pacific Q Tour Event 3: New Zealand Open - Group E,2024-09-26,2024-09-29,"",2024,q,Ranking,0,Papatoetoe Cosmopolitan Club,Auckland,New Zealand,snooker,2006,Both,O,0,0,0,0,10
2092,Asia Pacific Q Tour Event 3: New Zealand Open - Group F,2024-09-26,2024-09-29,"",2024,q,Ranking,0,Papatoetoe Cosmopolitan Club,Auckland,New Zealand,snooker,2006,Both,O,0,0,0,0,10
1939,Northern Ireland Open Qualifiers,2024-09-28,2024-09-29,"",2024,main,Qualifying,0,Ponds Forge International Sports Centre,Sheffield,England,snooker,1835,Both,O,0,0,0,0,64
1845,International Championship Qualifiers,2024-09-30,2024-10-02,"",2024,main,Qualifying,0,Ponds Forge International Sports Centre,Sheffield,England,snooker,1846,Both,O,0,0,0,0,64
2045,Q Tour 3,2024-10-04,2024-10-06,"",2024,q,Ranking,3,Snookerhallen,Stockholm,Sweden,snooker,2045,Both,O,0,116,0,0,114
2095,Australian Women's Open Group A,2024-10-05,2024-10-06,"",2024,women,Ranking,1,Mt Pritchard & District Community Club,Sydney,Australia,snooker,2019,Women,O,0,0,0,0,21
2096,Australian Women's Open Group B,2024-10-05,2024-10-06,"",2024,women,Ranking,2,Mt Pritchard & District Community Club,Sydney,Australia,snooker,2019,Women,O,0,0,0,0,21
2097,Australian Women's Open Group C,2024-10-05,2024-10-06,"",2024,women,Ranking,3,Mt Pritchard & District Community Club,Sydney,Australia,snooker,2019,Women,O,0,0,0,0,21
2098,Australian Women's Open Group D,2024-10-05,2024-10-06,"",2024,women,Ranking,4,Mt Pritchard & District Community Club,Sydney,Australia,snooker,2019,Women,O,0,0,0,0,15
2019,Australian Women's Open,2024-10-05,2024-10-08,"",2024,women,Ranking,0,Mt Pritchard & District Community Club,Sydney,Australia,snooker,2019,Women,O,0,27,0,0,15
1840,Wuhan Open,2024-10-06,2024-10-12,Optics Valley of China,2024,main,Ranking,0,China Optics Valley Convention & Exhibition Centre,Wuhan,China,snooker,1840,Both,O,0,128,0,0,63
2007,Asia Pacific Q Tour Event 4: Bob Hawke AC Australian Open,2024-10-10,2024-10-13,"",2024,q,Ranking,0,Mounties,Mount Pritchard,Australia,snooker,2007,Both,O,0,91,0,0,90
1835,Northern Ireland Open,2024-10-20,2024-10-27,BetVictor,2024,main,Ranking,0,Waterfront Hall,Belfast,Northern Ireland,snooker,1835,Both,O,0,128,0,0,63
1940,Scottish Open Qualifiers,2024-10-28,2024-10-30,"",2024,main,Qualifying,0,Ponds Forge International Sports Centre,Sheffield,England,snooker,1836,Both,O,0,0,0,0,64
1846,International Championship,2024-11-03,2024-11-10,"",2024,main,Ranking,0,SNC National Fitness Center,Nanjing,China,snooker,1846,Both,O,0,128,0,0,63
2046,Q Tour 4,2024-11-07,2024-11-10,"",2024,q,Ranking,4,Club 200,Manchester,England,snooker,2046,Both,O,0,156,0,0,155
1935,Champion of Champions,2024-11-11,2024-11-17,Grosvenor Casinos,2024,main,Invitational,0,Toughsheet Community Stadium,Bolton,England,snooker,1935,Both,O,0,16,0,0,15
1934,UK Championship Qualifiers,2024-11-16,2024-11-21,"",2024,main,Qualifying,0,Mattioli Arena,Leicester,England,snooker,1837,Both,O,0,0,0,0,112
2116,Women's Masters Group B,2024-11-22,2024-11-23,"",2024,women,Ranking,2,Frames Sports Bar,London,England,snooker,2099,Women,O,0,0,0,0,6
2117,Women's Masters Group A,2024-11-22,2024-11-23,"",2024,women,Ranking,1,Frames Sports Bar,London,England,snooker,2099,Women,O,0,0,0,0,6
2118,Women's Masters Group C,2024-11-22,2024-11-23,"",2024,women,Ranking,3,Frames Sports Bar,London,England,snooker,2099,Women,O,0,0,0,0,6
2119,Women's Masters Group D,2024-11-22,2024-11-23,"",2024,women,Ranking,4,Frames Sports Bar,London,England,snooker,2099,Women,O,0,0,0,0,6
2120,Women's Masters Group E,2024-11-22,2024-11-23,"",2024,women,Ranking,5,Frames Sports Bar,London,England,snooker,2099,Women,O,0,0,0,0,6
2121,Women's Masters Group F,2024-11-22,2024-11-23,"",2024,women,Ranking,6,Frames Sports Bar,London,England,snooker,2099,Women,O,0,0,0,0,6
2122,Women's Masters Group G,2024-11-22,2024-11-23,"",2024,women,Ranking,7,Frames Sports Bar,London,England,snooker,2099,Women,O,0,0,0,0,6
2123,Women's Masters Group H,2024-11-22,2024-11-23,"",2024,women,Ranking,8,Frames Sports Bar,London,England,snooker,2099,Women,O,0,0,0,0,6
2124,Women's Masters Group I,2024-11-22,2024-11-23,"",2024,women,Ranking,9,Frames Sports Bar,London,England,snooker,2099,Women,O,0,0,0,0,6
2099,Women's Masters,2024-11-22,2024-11-24,"",2024,women,Ranking,0,Frames Sports Bar,London,England,snooker,2099,Women,O,0,39,0,0,20
1837,UK Championship,2024-11-23,2024-12-01,Victorian Plumbing,2024,main,Ranking,0,Barbican Centre,York,England,snooker,1837,Both,O,0,144,0,0,31
1943,Shoot Out,2024-12-04,2024-12-07,9Club,2024,main,Ranking,0,Mattioli Arena,Leicester,England,snooker,1943,Both,O,0,128,0,0,127
1836,Scottish Open,2024-12-09,2024-12-15,BetVictor,2024,main,Ranking,0,Meadowbank Sports Centre,Edinburgh,Scotland,snooker,1836,Both,O,0,128,0,0,63
2047,Q Tour 5,2024-12-13,2024-12-15,"",2024,q,Ranking,5,National Training Academy,Vienna,Austria,snooker,2047,Both,O,0,103,0,0,102
2074,Americas Q Tour 2,2024-12-13,2024-12-15,"",2024,q,Ranking,0,Arizona Snooker Academy,Chandler,USA,snooker,2074,Both,O,0,20,0,0,19
1933,German Masters Qualifiers,2024-12-16,2024-12-19,"",2024,main,Qualifying,0,Ponds Forge International Sports Centre,Sheffield,England,snooker,1838,Both,O,0,0,0,0,64
2107,Snooker Championship,2024-12-18,2024-12-20,Riyadh Season,2024,main,Invitational,0,Unknown,"Boulevard City, Riyadh",Saudi Arabia,snooker,2107,Both,O,0,12,0,0,11
1843,World Open Qualifiers,2024-12-20,2024-12-22,"",2024,main,Qualifying,0,Ponds Forge International Sports Centre,Sheffield,England,snooker,1842,Both,O,0,0,0,0,64
2109,Championship League - Group 1,2025-01-03,2025-01-04,"",2024,main,Invitational,1,Mattioli Arena,Leicester,England,snooker,2108,Both,O,0,0,0,0,24
2110,Championship League - Group 2,2025-01-06,2025-01-07,"",2024,main,Invitational,2,Mattioli Arena,Leicester,England,snooker,2108,Both,O,0,0,0,0,24
2111,Championship League - Group 3,2025-01-08,2025-01-09,"",2024,main,Invitational,3,Mattioli Arena,Leicester,England,snooker,2108,Both,O,0,0,0,0,24
2112,Championship League - Group 4,2025-01-10,2025-01-11,"",2024,main,Invitational,4,Mattioli Arena,Leicester,England,snooker,2108,Both,O,0,0,0,0,24
2048,Q Tour 6,2025-01-10,2025-01-12,"",2024,q,Ranking,6,Delta Moon,Mons,Belgium,snooker,2048,Both,O,0,87,0,0,86
1760,Masters,2025-01-12,2025-01-19,Johnstone's Paint,2024,main,Invitational,0,Alexandra Palace,London,England,snooker,1760,Both,O,0,16,0,0,15
2125,Middle East Q Tour 3,2025-01-17,2025-01-19,"",2024,q,Ranking,0,Cue Sports Academy,Abu Dhabi,UAE,snooker,2125,Both,O,0,25,0,0,24
2075,Americas Q Tour 3,2025-01-18,2025-01-19,"",2024,q,Ranking,0,The Corner Bank,Toronto,Canada,snooker,2075,Both,O,0,16,0,0,15
2127,WSF Junior Championship - Group A,2025-01-18,2025-01-20,"",2024,wsf,Amateur,1,Radisson Blu Resort,Saidia,Morocco,snooker,2093,Both,U19,0,0,0,0,10
2128,WSF Junior Championship - Group B,2025-01-18,2025-01-20,"",2024,wsf,Amateur,2,Radisson Blu Resort,Saidia,Morocco,snooker,2093,Both,U19,0,0,0,0,10
2129,WSF Junior Championship - Group C,2025-01-18,2025-01-20,"",2024,wsf,Amateur,3,Radisson Blu Resort,Saidia,Morocco,snooker,2093,Both,U19,0,0,0,0,10
2130,WSF Junior Championship - Group D,2025-01-18,2025-01-20,"",2024,wsf,Amateur,4,Radisson Blu Resort,Saidia,Morocco,snooker,2093,Both,U19,0,0,0,0,6
2131,WSF Junior Championship - Group E,2025-01-18,2025-01-20,"",2024,wsf,Amateur,5,Radisson Blu Resort,Saidia,Morocco,snooker,2093,Both,U19,0,0,0,0,6
2132,WSF Junior Championship - Group F,2025-01-18,2025-01-20,"",2024,wsf,Amateur,6,Radisson Blu Resort,Saidia,Morocco,snooker,2093,Both,U19,0,0,0,0,10
2133,WSF Junior Championship - Group G,2025-01-18,2025-01-20,"",2024,wsf,Amateur,7,Radisson Blu Resort,Saidia,Morocco,snooker,2093,Both,U19,0,0,0,0,6
2134,WSF Junior Championship - Group H,2025-01-18,2025-01-20,"",2024,wsf,Amateur,8,Radisson Blu Resort,Saidia,Morocco,snooker,2093,Both,U19,0,0,0,0,10
2149,WSF Junior Championship - Group I,2025-01-18,2025-01-20,"",2024,wsf,Amateur,9,Radisson Blu Resort,Saidia,Morocco,snooker,2093,Both,U19,0,0,0,0,10
2150,WSF Junior Championship - Group J,2025-01-18,2025-01-20,"",2024,wsf,Amateur,10,Radisson Blu Resort,Saidia,Morocco,snooker,2093,Both,U19,0,0,0,0,10
2151,WSF Junior Championship - Group K,2025-01-18,2025-01-20,"",2024,wsf,Amateur,11,Radisson Blu Resort,Saidia,Morocco,snooker,2093,Both,U19,0,0,0,0,10
2152,WSF Junior Championship - Group L,2025-01-18,2025-01-20,"",2024,wsf,Amateur,12,Radisson Blu Resort,Saidia,Morocco,snooker,2093,Both,U19,0,0,0,0,10
2153,WSF Women's Championship - Group A,2025-01-18,2025-01-20,"",2024,women,Ranking,1,Radisson Blu Resort,Saidia,Morocco,snooker,2126,Women,O,0,0,0,0,6
2154,WSF Women's Championship - Group B,2025-01-18,2025-01-20,"",2024,women,Ranking,2,Radisson Blu Resort,Saidia,Morocco,snooker,2126,Women,O,0,0,0,0,6
2155,WSF Women's Championship - Group C,2025-01-18,2025-01-20,"",2024,women,Ranking,3,Radisson Blu Resort,Saidia,Morocco,snooker,2126,Women,O,0,0,0,0,6
2156,WSF Women's Championship - Group D,2025-01-18,2025-01-20,"",2024,women,Ranking,4,Radisson Blu Resort,Saidia,Morocco,snooker,2126,Women,O,0,0,0,0,6
2093,WSF Junior Championship,2025-01-18,2025-01-23,"",2024,wsf,Amateur,0,Radisson Blu Resort,Saidia,Morocco,snooker,2093,Both,U19,0,57,0,0,23
2126,WSF Women's Championship,2025-01-18,2025-01-23,"",2024,women,Ranking,0,Radisson Blu Resort,Saidia,Morocco,snooker,2126,Women,O,0,16,0,0,7
2113,Championship League - Group 5,2025-01-20,2025-01-21,"",2024,main,Invitational,5,Mattioli Arena,Leicester,England,snooker,2108,Both,O,0,0,0,0,24
2114,Championship League - Group 6,2025-01-22,2025-01-23,"",2024,main,Invitational,6,Mattioli Arena,Leicester,England,snooker,2108,Both,O,0,0,0,0,24
2115,Championship League - Group 7,2025-01-24,2025-01-25,"",2024,main,Invitational,7,Mattioli Arena,Leicester,England,snooker,2108,Both,O,0,0,0,0,24
2008,Asia Pacific Q Tour Event 5: Queensland Open,2025-01-24,2025-01-27,"",2024,q,Ranking,0,Redcliffe Snooker Club,Redcliffe,Australia,snooker,2008,Both,O,0,66,0,0,65
2137,WSF Championship - Group A,2025-01-24,2025-01-27,"",2024,wsf,Amateur,1,Radisson Blu Resort,Saidia,Morocco,snooker,2086,Both,O,0,0,0,0,10
2138,WSF Championship - Group B,2025-01-24,2025-01-27,"",2024,wsf,Amateur,2,Radisson Blu Resort,Saidia,Morocco,snooker,2086,Both,O,0,0,0,0,10
2139,WSF Championship - Group C,2025-01-24,2025-01-27,"",2024,wsf,Amateur,3,Radisson Blu Resort,Saidia,Morocco,snooker,2086,Both,O,0,0,0,0,10
2140,WSF Championship - Group D,2025-01-24,2025-01-27,"",2024,wsf,Amateur,4,Radisson Blu Resort,Saidia,Morocco,snooker,2086,Both,O,0,0,0,0,6
2141,WSF Championship - Group E,2025-01-24,2025-01-27,"",2024,wsf,Amateur,5,Radisson Blu Resort,Saidia,Morocco,snooker,2086,Both,O,0,0,0,0,10
2142,WSF Championship - Group F,2025-01-24,2025-01-27,"",2024,wsf,Amateur,6,Radisson Blu Resort,Saidia,Morocco,snooker,2086,Both,O,0,0,0,0,10
2143,WSF Championship - Group G,2025-01-24,2025-01-27,"",2024,wsf,Amateur,7,Radisson Blu Resort,Saidia,Morocco,snooker,2086,Both,O,0,0,0,0,10
2144,WSF Championship - Group H,2025-01-24,2025-01-27,"",2024,wsf,Amateur,8,Radisson Blu Resort,Saidia,Morocco,snooker,2086,Both,O,0,0,0,0,10
2145,WSF Championship - Group I,2025-01-24,2025-01-27,"",2024,wsf,Amateur,9,Radisson Blu Resort,Saidia,Morocco,snooker,2086,Both,O,0,0,0,0,10
