"home","away","date","gh","ga","competition","level","Country"
"US Alessandria 1912","Roma",1929-10-06,3,1,"italy","national","Italy"
"As Livorno","Juventus FC",1929-10-13,1,5,"italy","national","Italy"
"Bologna","Unione Triestina",1929-10-13,2,2,"italy","national","Italy"
"Genoa","Lazio",1929-10-13,2,0,"italy","national","Italy"
"1 FC Saarbruecken","1 FC Koeln",1963-08-24,0,2,"germany","national","Germany"
"Eintracht Frankfurt","1 FC Kaiserslautern",1963-08-24,1,1,"germany","national","Germany"
"FC Schalke 04","Stuttgart",1963-08-24,2,0,"germany","national","Germany"
"Hertha BSC Berlin","1 FC Nuernberg",1963-08-24,1,1,"germany","national","Germany"
"Karlsruher SC","MSV Duisburg",1963-08-24,1,4,"germany","national","Germany"
"Preussen Munster","Hamburger SV",1963-08-24,1,1,"germany","national","Germany"
"TSV 1860 Muenchen","Eintracht Braunschweig",1963-08-24,1,1,"germany","national","Germany"
"Werder Bremen","Borussia Dortmund",1963-08-24,3,2,"germany","national","Germany"
"1 FC Kaiserslautern","FC Schalke 04",1963-08-31,2,3,"germany","national","Germany"
"1 FC Koeln","Karlsruher SC",1963-08-31,4,0,"germany","national","Germany"
"1 FC Nuernberg","Werder Bremen",1963-08-31,3,0,"germany","national","Germany"
"Borussia Dortmund","TSV 1860 Muenchen",1963-08-31,3,3,"germany","national","Germany"
"As Cannes","CA Paris Alt",1933-07-01,3,1,"france","national","France"
"As Cannes","Excelsior Roubaix",1933-07-01,1,0,"france","national","France"
"As Cannes","FC Sete",1933-07-01,4,1,"france","national","France"
"As Cannes","FC Sochaux",1933-07-01,4,0,"france","national","France"
"As Cannes","Lens",1933-07-01,6,2,"france","national","France"
"As Cannes","Lille",1933-07-01,2,0,"france","national","France"
"As Cannes","Montpellier",1933-07-01,3,1,"france","national","France"
"As Cannes","Nantes",1933-07-01,1,0,"france","national","France"
"As Cannes","Nice",1933-07-01,2,2,"france","national","France"
"As Cannes","Nimes Olympique",1933-07-01,1,1,"france","national","France"
"As Cannes","Olympique Marseille",1933-07-01,1,1,"france","national","France"
"As Cannes","Rennes",1933-07-01,0,2,"france","national","France"
"Academica De Coimbra","Sporting CP",1935-01-20,0,6,"portugal","national","Portugal"
"Academico do Porto","Uniao de Lisboa",1935-01-20,3,3,"portugal","national","Portugal"
"Benfica","Vitoria Setubal",1935-01-20,3,1,"portugal","national","Portugal"
"Os Belenenses","Porto",1935-01-20,1,1,"portugal","national","Portugal"
"Porto","Academica De Coimbra",1935-01-27,7,1,"portugal","national","Portugal"
"Sporting CP","Os Belenenses",1935-01-27,1,3,"portugal","national","Portugal"
"Uniao de Lisboa","Benfica",1935-01-27,2,2,"portugal","national","Portugal"
"Vitoria Setubal","Academico do Porto",1935-01-27,0,0,"portugal","national","Portugal"
"Academica De Coimbra","Os Belenenses",1935-02-03,0,5,"portugal","national","Portugal"
"Porto","Benfica",1935-02-03,2,1,"portugal","national","Portugal"
"Sporting CP","Academico do Porto",1935-02-03,3,0,"portugal","national","Portugal"
"Uniao de Lisboa","Vitoria Setubal",1935-02-03,1,3,"portugal","national","Portugal"
"Ajax","NAC Breda",1956-09-02,1,0,"netherlands","national","Netherlands"
"Bvv","Usv Elinkwijk",1956-09-02,1,2,"netherlands","national","Netherlands"
"Dos Utrecht","Sparta Rotterdam",1956-09-02,2,3,"netherlands","national","Netherlands"
"Fortuna Sittard","PSV",1956-09-02,4,1,"netherlands","national","Netherlands"
"Noad Tilburg","Afc Dws",1956-09-02,1,3,"netherlands","national","Netherlands"
"PSV","MVV",1956-09-02,1,3,"netherlands","national","Netherlands"
"SC Enschede Alt","Roda JC Kerkrade",1956-09-02,5,2,"netherlands","national","Netherlands"
"VVV Venlo","Groningen",1956-09-02,1,0,"netherlands","national","Netherlands"
"Willem II","Feyenoord",1956-09-02,3,3,"netherlands","national","Netherlands"
"Afc Dws","Willem II",1956-09-09,0,6,"netherlands","national","Netherlands"
"Feyenoord","Bvv",1956-09-09,5,1,"netherlands","national","Netherlands"
"Groningen","Dos Utrecht",1956-09-09,3,2,"netherlands","national","Netherlands"
"Athletic Running Bruxelles","Skill Bruxelles",1900-10-21,2,2,"belgium","national","Belgium"
"K Beerschot Vac","Cercle Brugge",1900-10-21,10,2,"belgium","national","Belgium"
"Racing Bruxelles","Club Brugge",1900-10-21,5,0,"belgium","national","Belgium"
"RFC De Liege","Royal Leopold Uccle FC",1900-10-21,3,1,"belgium","national","Belgium"
"Cercle Brugge","Racing Bruxelles",1900-10-28,1,2,"belgium","national","Belgium"
"Club Brugge","RCS Vervietois",1900-10-28,2,3,"belgium","national","Belgium"
"Royal Leopold Uccle FC","Athletic Running Bruxelles",1900-10-28,3,5,"belgium","national","Belgium"
"Skill Bruxelles","K Beerschot Vac",1900-10-28,3,3,"belgium","national","Belgium"
