Team,SeasonStart,Country,PrevTier,Tier,Direction,StartRating,R20,R30,Change20,Change30
Doncaster Rovers,2004,England,4,3,Promoted,2492.0322993734,2527.47253921489,2549.8250992261,35.44023984149,57.7927998527002
Doncaster Rovers,2008,England,3,2,Promoted,2604.9571791429,2569.09940085935,2628.45514437914,-35.8577782835496,23.4979652362404
Doncaster Rovers,2012,England,2,3,Relegated,2569.1275238542,2607.37150881894,2588.54618376556,38.2439849647403,19.41865991136
Doncaster Rovers,2013,England,3,2,Promoted,2586.57437336504,2591.29711976565,2579.02674818795,4.72274640061005,-7.54762517709014
Doncaster Rovers,2014,England,2,3,Relegated,2579.10668941332,2550.04855223944,2563.39758972806,-29.0581371738799,-15.7090996852598
Doncaster Rovers,2016,England,3,4,Relegated,2420.10359583375,2445.85535122469,2477.5232293559,25.7517553909397,57.41963352215
Doncaster Rovers,2017,England,4,3,Promoted,2429.93899780454,2460.82250027804,2476.83264188505,30.8835024734999,46.8936440805101
Doncaster Rovers,2022,England,3,4,Relegated,2396.39193312688,2351.21310165087,2350.0537941251,-45.1788314760097,-46.3381390017798
Doncaster Rovers,2025,England,4,3,Promoted,2469.12488096901,2428.05679068225,2424.18194819716,-41.0680902867603,-44.9429327718499
Eibar,2014,Spain,2,1,Promoted,2772.45629348624,2771.12335653348,2724.74188344936,-1.33293695276006,-47.7144100368801
Eibar,2021,Spain,1,2,Relegated,2739.55962085134,2768.99092600282,2800.17856145886,29.43130515148,60.61894060752
Eintracht Braunschweig,2013,Germany,2,1,Promoted,2677.944865288,2645.21448389294,2675.93800978886,-32.7303813950603,-2.00685549913987
Eintracht Braunschweig,2014,Germany,1,2,Relegated,2651.75522361423,2663.40852803005,2647.8020656689,11.65330441582,-3.95315794533008
Elche,2013,Spain,2,1,Promoted,2730.18444139425,2737.96941995028,2733.62116845335,7.78497855603018,3.43672705910012
Elche,2015,Spain,1,2,Relegated,2741.43779011796,2727.37139284023,2728.10342678606,-14.0663972777302,-13.3343633319
Elche,2020,Spain,2,1,Promoted,2696.53573233029,2711.56802009558,2715.29809221978,15.0322877652898,18.7623598894897
Elche,2023,Spain,1,2,Relegated,2725.18745662951,2728.15764919912,2755.51011896406,2.97019256960994,30.3226623345499
Elche,2025,Spain,2,1,Promoted,2769.36438886732,2792.74913007425,2760.77101176863,23.3847412069299,-8.59337709868987
Empoli,2014,Italy,2,1,Promoted,2672.70304814184,2695.18321410173,2723.00831162506,22.4801659598897,50.3052634832197
Empoli,2017,Italy,1,2,Relegated,2668.45304936643,2676.11281153876,2734.60431453672,7.65976217232992,66.1512651702897
Empoli,2018,Italy,2,1,Promoted,2767.98978843308,2723.50022208644,2732.45340946837,-44.48956634664,-35.5363789647099
Empoli,2019,Italy,1,2,Relegated,2737.17468081176,2660.7366810383,2663.1113923259,-76.43799977346,-74.0632884858601
Empoli,2021,Italy,2,1,Promoted,2722.17127558926,2781.15180688415,2743.98522249011,58.9805312948902,21.8139469008502
Empoli,2025,Italy,1,2,Relegated,2720.71304914741,2664.8779581868,2608.45342927067,-55.8350909606102,-112.25961987674
Espanyol,2020,Spain,1,2,Relegated,2761.77232059107,2800.1528275269,2790.58353105528,38.38050693583,28.81121046421
Espanyol,2021,Spain,2,1,Promoted,2799.565643557,2810.70590467729,2798.89063088306,11.1402611202902,-0.675012673939818
Espanyol,2023,Spain,1,2,Relegated,2779.64995046512,2766.62066235643,2756.25640349206,-13.0292881086903,-23.39354697306
Espanyol,2024,Spain,2,1,Promoted,2763.14435866153,2764.23752043596,2812.80839289006,1.09316177442997,49.66403422853
Exeter City,2008,England,5,4,Promoted,2187.20405574645,2297.47154035625,2305.18322764557,110.2674846098,117.97917189912
Exeter City,2009,England,4,3,Promoted,2382.73333714498,2418.07918612576,2424.36911632449,35.3458489807799,41.6357791795099
Exeter City,2012,England,3,4,Relegated,2408.46364053639,2391.05048020264,2398.19892744629,-17.4131603337501,-10.2647130901
Exeter City,2022,England,4,3,Promoted,2456.10171923742,2465.27649402527,2458.90599862366,9.17477478784986,2.80427938623961
Fleetwood Town,2012,England,5,4,Promoted,2292.41890995278,2332.93171262623,2353.49975264448,40.5128026734501,61.0808426917001
Fleetwood Town,2014,England,4,3,Promoted,2393.87790354508,2409.4638013951,2443.79807053052,15.58589785002,49.9201669854401
Fleetwood Town,2024,England,3,4,Relegated,2420.68951599483,2386.97168672869,2374.2626554879,-33.7178292661397,-46.4268605069301
Forest Green Rovers,2017,England,5,4,Promoted,2247.91024211765,2264.82811503342,2242.02011295446,16.9178729157702,-5.89012916319007
