Season,Country,Competition,CompetitionType,Tier,League,Date,Home,Away,Result,Score,FixtureSource,ResultSource,DateSource
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-28,LNZ,Kryvbas Kryvyi Rih,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-28,Metalist 1925,Kolos Kovalivka,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-28,Rukh,Shakhtar Donetsk,A,0-4,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-29,Veres,Polissya Zhytomyr,A,1-4,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-03,Epitsentr,Zorya Luhansk,A,1-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-03,Kolos,Rukh Lviv,A,0-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-04,Obolon,Veres Rivne,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-04,Oleksandriya,Karpaty Lviv,A,0-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-04,Polissya,SC Poltava,H,4-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-05,Dynamo,Metalist 1925 Kharkiv,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-05,Kryvbas,Kudrivka,H,3-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-05,Shakhtar,LNZ Cherkasy,A,1-4,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-17,Poltava,Obolon Kyiv,A,1-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-18,Polissya,Shakhtar Donetsk,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-18,Rukh,Kryvbas Kryvyi Rih,A,1-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-18,Zorya,Dynamo Kyiv,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-19,Karpaty,Epitsentr Kamianets-Podilskyi,A,1-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-19,LNZ,Kolos Kovalivka,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-19,Veres,Oleksandriya,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-20,Kudrivka,Metalist 1925 Kharkiv,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-24,Oleksandriya,Epitsentr Kamianets-Podilskyi,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-24,Veres,Zorya Luhansk,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-25,Karpaty,Rukh Lviv,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-25,Metalist 1925,LNZ Cherkasy,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-25,Obolon,Polissya Zhytomyr,A,0-4,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-26,Dynamo,Kryvbas Kryvyi Rih,H,4-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-26,Poltava,Kolos Kovalivka,D,2-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-26,Shakhtar,Kudrivka,H,4-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-10-31,Kudrivka,Obolon Kyiv,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-11-01,Epitsentr,Veres Rivne,A,2-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-11-01,Kolos,Oleksandriya,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-11-01,Kryvbas,SC Poltava,D,2-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-11-02,Shakhtar,Dynamo Kyiv,H,3-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-11-02,Zorya,Rukh Lviv,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-11-03,LNZ,Karpaty Lviv,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-11-03,Polissya,Metalist 1925 Kharkiv,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-11-07,Epitsentr,Obolon Kyiv,A,1-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-11-07,Kudrivka,Kolos Kovalivka,A,1-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-11-08,Karpaty,Kryvbas Kryvyi Rih,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-11-08,Metalist 1925,Zorya Luhansk,A,1-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-11-08,Veres,Rukh Lviv,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-11-09,Dynamo,LNZ Cherkasy,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-11-09,Oleksandriya,Polissya Zhytomyr,A,0-3,wikipedia,wikipedia,rsssf
