Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource,DateMatchMethod
2023-07-03,2023,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Hammarby,2,0,2-0,H,wikipedia,wikipedia,football-data,
2023-07-03,2023,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,Kalmar FF,1,1,1-1,D,wikipedia,wikipedia,football-data,
2023-07-08,2023,Sweden,Allsvenskan,1,Domestic,AIK,BK Häcken,1,2,1-2,A,wikipedia,wikipedia,football-data,
2023-07-08,2023,Sweden,Allsvenskan,1,Domestic,IF Brommapojkarna,Degerfors IF,1,2,1-2,A,wikipedia,wikipedia,football-data,
2023-07-08,2023,Sweden,Allsvenskan,1,Domestic,IFK Värnamo,Djurgårdens IF,1,2,1-2,A,wikipedia,wikipedia,football-data,
2023-07-09,2023,Sweden,Allsvenskan,1,Domestic,IK Sirius,Hammarby,1,2,1-2,A,wikipedia,wikipedia,football-data,
2023-07-09,2023,Sweden,Allsvenskan,1,Domestic,Kalmar FF,IF Elfsborg,0,4,0-4,A,wikipedia,wikipedia,football-data,
2023-07-09,2023,Sweden,Allsvenskan,1,Domestic,Malmö FF,Mjällby AIF,1,2,1-2,A,wikipedia,wikipedia,football-data,
2023-07-10,2023,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Varbergs BoIS,1,2,1-2,A,wikipedia,wikipedia,football-data,
2023-07-10,2023,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Halmstads BK,1,2,1-2,A,wikipedia,wikipedia,football-data,
2023-07-15,2023,Sweden,Allsvenskan,1,Domestic,BK Häcken,IF Brommapojkarna,4,2,4-2,H,wikipedia,wikipedia,football-data,
2023-07-15,2023,Sweden,Allsvenskan,1,Domestic,Degerfors IF,IK Sirius,0,3,0-3,A,wikipedia,wikipedia,football-data,
2023-07-15,2023,Sweden,Allsvenskan,1,Domestic,Halmstads BK,IFK Värnamo,2,2,2-2,D,wikipedia,wikipedia,football-data,
2023-07-16,2023,Sweden,Allsvenskan,1,Domestic,Hammarby,Kalmar FF,3,1,3-1,H,wikipedia,wikipedia,football-data,
2023-07-16,2023,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,IFK Göteborg,1,1,1-1,D,wikipedia,wikipedia,football-data,
2023-07-16,2023,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,IFK Norrköping,1,2,1-2,A,wikipedia,wikipedia,football-data,
2023-07-17,2023,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Malmö FF,2,0,2-0,H,wikipedia,wikipedia,football-data,
2023-07-17,2023,Sweden,Allsvenskan,1,Domestic,Varbergs BoIS,AIK,1,2,1-2,A,wikipedia,wikipedia,football-data,
2023-07-21,2023,Sweden,Allsvenskan,1,Domestic,IF Brommapojkarna,Hammarby,1,0,1-0,H,wikipedia,wikipedia,football-data,
2023-07-22,2023,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,IF Elfsborg,0,4,0-4,A,wikipedia,wikipedia,football-data,
2023-07-22,2023,Sweden,Allsvenskan,1,Domestic,IFK Värnamo,BK Häcken,1,0,1-0,H,wikipedia,wikipedia,football-data,
2023-07-23,2023,Sweden,Allsvenskan,1,Domestic,AIK,Malmö FF,0,0,0-0,D,wikipedia,wikipedia,football-data,
2023-07-23,2023,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Halmstads BK,0,0,0-0,D,wikipedia,wikipedia,football-data,
2023-07-23,2023,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Degerfors IF,1,0,1-0,H,wikipedia,wikipedia,football-data,
2023-07-23,2023,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Varbergs BoIS,1,0,1-0,H,wikipedia,wikipedia,football-data,
2023-07-24,2023,Sweden,Allsvenskan,1,Domestic,IK Sirius,Mjällby AIF,2,3,2-3,A,wikipedia,wikipedia,football-data,
2023-07-29,2023,Sweden,Allsvenskan,1,Domestic,BK Häcken,IF Elfsborg,3,1,3-1,H,wikipedia,wikipedia,football-data,
2023-07-29,2023,Sweden,Allsvenskan,1,Domestic,Degerfors IF,IF Brommapojkarna,2,0,2-0,H,wikipedia,wikipedia,football-data,
2023-07-29,2023,Sweden,Allsvenskan,1,Domestic,Halmstads BK,Varbergs BoIS,0,5,0-5,A,wikipedia,wikipedia,football-data,
2023-07-30,2023,Sweden,Allsvenskan,1,Domestic,Hammarby,IFK Norrköping,2,1,2-1,H,wikipedia,wikipedia,football-data,
2023-07-30,2023,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Kalmar FF,2,0,2-0,H,wikipedia,wikipedia,football-data,
2023-07-30,2023,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,Djurgårdens IF,0,1,0-1,A,wikipedia,wikipedia,football-data,
2023-07-31,2023,Sweden,Allsvenskan,1,Domestic,IK Sirius,AIK,0,1,0-1,A,wikipedia,wikipedia,football-data,
2023-07-31,2023,Sweden,Allsvenskan,1,Domestic,Malmö FF,IFK Värnamo,3,1,3-1,H,wikipedia,wikipedia,football-data,
2023-08-05,2023,Sweden,Allsvenskan,1,Domestic,IF Brommapojkarna,IFK Värnamo,0,2,0-2,A,wikipedia,wikipedia,football-data,
2023-08-06,2023,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,IK Sirius,1,0,1-0,H,wikipedia,wikipedia,football-data,
2023-08-06,2023,Sweden,Allsvenskan,1,Domestic,Kalmar FF,AIK,1,1,1-1,D,wikipedia,wikipedia,football-data,
2023-08-07,2023,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,IFK Göteborg,3,0,3-0,H,wikipedia,wikipedia,football-data,
2023-08-07,2023,Sweden,Allsvenskan,1,Domestic,Malmö FF,Halmstads BK,3,0,3-0,H,wikipedia,wikipedia,football-data,
2023-08-07,2023,Sweden,Allsvenskan,1,Domestic,Varbergs BoIS,Mjällby AIF,0,3,0-3,A,wikipedia,wikipedia,football-data,
2023-08-12,2023,Sweden,Allsvenskan,1,Domestic,AIK,IF Brommapojkarna,2,2,2-2,D,wikipedia,wikipedia,football-data,
2023-08-13,2023,Sweden,Allsvenskan,1,Domestic,BK Häcken,Varbergs BoIS,2,0,2-0,H,wikipedia,wikipedia,football-data,
2023-08-13,2023,Sweden,Allsvenskan,1,Domestic,Halmstads BK,IFK Norrköping,1,3,1-3,A,wikipedia,wikipedia,football-data,
2023-08-13,2023,Sweden,Allsvenskan,1,Domestic,Hammarby,IF Elfsborg,1,0,1-0,H,wikipedia,wikipedia,football-data,
2023-08-13,2023,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Djurgårdens IF,2,1,2-1,H,wikipedia,wikipedia,football-data,
2023-08-13,2023,Sweden,Allsvenskan,1,Domestic,IK Sirius,Kalmar FF,3,0,3-0,H,wikipedia,wikipedia,football-data,
2023-08-14,2023,Sweden,Allsvenskan,1,Domestic,IFK Värnamo,Degerfors IF,0,1,0-1,A,wikipedia,wikipedia,football-data,
2023-08-14,2023,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,Malmö FF,1,0,1-0,H,wikipedia,wikipedia,football-data,
2023-08-19,2023,Sweden,Allsvenskan,1,Domestic,Degerfors IF,IFK Göteborg,1,2,1-2,A,wikipedia,wikipedia,football-data,
2023-08-19,2023,Sweden,Allsvenskan,1,Domestic,IF Brommapojkarna,Halmstads BK,3,1,3-1,H,wikipedia,wikipedia,football-data,
2023-08-19,2023,Sweden,Allsvenskan,1,Domestic,Varbergs BoIS,IFK Värnamo,0,3,0-3,A,wikipedia,wikipedia,football-data,
2023-08-20,2023,Sweden,Allsvenskan,1,Domestic,BK Häcken,IK Sirius,3,2,3-2,H,wikipedia,wikipedia,football-data,
2023-08-20,2023,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Mjällby AIF,2,0,2-0,H,wikipedia,wikipedia,football-data,
2023-08-20,2023,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Hammarby,0,0,0-0,D,wikipedia,wikipedia,football-data,
2023-08-20,2023,Sweden,Allsvenskan,1,Domestic,Malmö FF,Djurgårdens IF,0,0,0-0,D,wikipedia,wikipedia,football-data,
2023-08-21,2023,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,AIK,3,1,3-1,H,wikipedia,wikipedia,football-data,
2023-08-27,2023,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Degerfors IF,4,1,4-1,H,wikipedia,wikipedia,football-data,
2023-08-27,2023,Sweden,Allsvenskan,1,Domestic,IF Brommapojkarna,Kalmar FF,2,3,2-3,A,wikipedia,wikipedia,football-data,
2023-08-27,2023,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,BK Häcken,4,2,4-2,H,wikipedia,wikipedia,football-data,
2023-08-27,2023,Sweden,Allsvenskan,1,Domestic,IFK Värnamo,Halmstads BK,0,0,0-0,D,wikipedia,wikipedia,football-data,
