Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2020-06-21,2019/20,Romania,SuperLiga,1,Domestic,Voluntari,Politehnica Iași,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2020-06-22,2019/20,Romania,SuperLiga,1,Domestic,Academica Clinceni,Chindia Târgoviște,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2020-06-22,2019/20,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Hermannstadt,4,1,score,4-1,H,wikipedia,wikipedia,football-data
2020-06-23,2019/20,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Botoșani,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2020-06-26,2019/20,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Botoșani,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2020-06-26,2019/20,Romania,SuperLiga,1,Domestic,Hermannstadt,Academica Clinceni,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2020-06-27,2019/20,Romania,SuperLiga,1,Domestic,Chindia Târgoviște,Politehnica Iași,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2020-06-27,2019/20,Romania,SuperLiga,1,Domestic,Sepsi OSK,Viitorul Constanța,3,3,score,3-3,D,wikipedia,wikipedia,football-data
2020-06-28,2019/20,Romania,SuperLiga,1,Domestic,CFR Cluj,Universitatea Craiova,2,3,score,2-3,A,wikipedia,wikipedia,football-data
2020-06-28,2019/20,Romania,SuperLiga,1,Domestic,Dinamo București,Voluntari,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2020-06-29,2019/20,Romania,SuperLiga,1,Domestic,Astra Giurgiu,FCSB,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2020-06-30,2019/20,Romania,SuperLiga,1,Domestic,Politehnica Iași,Hermannstadt,2,3,score,2-3,A,wikipedia,wikipedia,football-data
2020-07-01,2019/20,Romania,SuperLiga,1,Domestic,Academica Clinceni,Sepsi OSK,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2020-07-01,2019/20,Romania,SuperLiga,1,Domestic,Voluntari,Chindia Târgoviște,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2020-07-02,2019/20,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Dinamo București,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2020-07-03,2019/20,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Universitatea Craiova,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2020-07-04,2019/20,Romania,SuperLiga,1,Domestic,FCSB,Botoșani,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2020-07-05,2019/20,Romania,SuperLiga,1,Domestic,Academica Clinceni,Dinamo București,1,3,score,1-3,A,wikipedia,wikipedia,football-data
2020-07-05,2019/20,Romania,SuperLiga,1,Domestic,Astra Giurgiu,CFR Cluj,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2020-07-05,2019/20,Romania,SuperLiga,1,Domestic,Politehnica Iași,Sepsi OSK,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2020-07-06,2019/20,Romania,SuperLiga,1,Domestic,Chindia Târgoviște,Hermannstadt,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2020-07-06,2019/20,Romania,SuperLiga,1,Domestic,Voluntari,Viitorul Constanța,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2020-07-10,2019/20,Romania,SuperLiga,1,Domestic,Botoșani,Astra Giurgiu,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2020-07-11,2019/20,Romania,SuperLiga,1,Domestic,Hermannstadt,Voluntari,2,1,score,2-1,H,wikipedia,wikipedia,football-data
