Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2015-03-15,2014/15,Romania,SuperLiga,1,Domestic,CSMS Iași,Astra Giurgiu,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-03-15,2014/15,Romania,SuperLiga,1,Domestic,Pandurii Târgu Jiu,Steaua București,3,1,3-1,H,wikipedia,wikipedia,football-data
2015-03-16,2014/15,Romania,SuperLiga,1,Domestic,Târgu Mureș,Brașov,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-03-17,2014/15,Romania,SuperLiga,1,Domestic,Dinamo București,Concordia Chiajna,0,3,0-3,A,wikipedia,wikipedia,football-data
2015-03-17,2014/15,Romania,SuperLiga,1,Domestic,Petrolul Ploiești,Universitatea Craiova,1,2,1-2,A,wikipedia,wikipedia,football-data
2015-03-17,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Cluj,Botoșani,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-03-18,2014/15,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Rapid București,2,0,2-0,H,wikipedia,wikipedia,football-data
2015-03-18,2014/15,Romania,SuperLiga,1,Domestic,Ceahlăul Piatra Neamț,Steaua București,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-03-18,2014/15,Romania,SuperLiga,1,Domestic,Oțelul Galați,CSMS Iași,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-03-19,2014/15,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,CFR Cluj,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-03-19,2014/15,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Pandurii Târgu Jiu,4,0,4-0,H,wikipedia,wikipedia,football-data
2015-03-20,2014/15,Romania,SuperLiga,1,Domestic,Botoșani,Târgu Mureș,1,2,1-2,A,wikipedia,wikipedia,football-data
2015-03-21,2014/15,Romania,SuperLiga,1,Domestic,Brașov,Dinamo București,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-03-21,2014/15,Romania,SuperLiga,1,Domestic,Rapid București,Oțelul Galați,2,0,2-0,H,wikipedia,wikipedia,football-data
2015-03-21,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Astra Giurgiu,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-03-22,2014/15,Romania,SuperLiga,1,Domestic,CFR Cluj,Petrolul Ploiești,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-03-22,2014/15,Romania,SuperLiga,1,Domestic,Pandurii Târgu Jiu,Gaz Metan Mediaș,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-03-22,2014/15,Romania,SuperLiga,1,Domestic,Steaua București,Viitorul Constanța,4,1,4-1,H,wikipedia,wikipedia,football-data
2015-03-23,2014/15,Romania,SuperLiga,1,Domestic,CSMS Iași,Universitatea Cluj,2,0,2-0,H,wikipedia,wikipedia,football-data
2015-03-23,2014/15,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Ceahlăul Piatra Neamț,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-04-03,2014/15,Romania,SuperLiga,1,Domestic,Dinamo București,Botoșani,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-04-03,2014/15,Romania,SuperLiga,1,Domestic,Târgu Mureș,CSMS Iași,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-04-04,2014/15,Romania,SuperLiga,1,Domestic,Astra Giurgiu,CFR Cluj,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-04-04,2014/15,Romania,SuperLiga,1,Domestic,Oțelul Galați,Universitatea Craiova,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-04-04,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Cluj,Rapid București,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-04-05,2014/15,Romania,SuperLiga,1,Domestic,Ceahlăul Piatra Neamț,Viitorul Constanța,1,2,1-2,A,wikipedia,wikipedia,football-data
2015-04-05,2014/15,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Brașov,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-04-05,2014/15,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Steaua București,1,2,1-2,A,wikipedia,wikipedia,football-data
2015-04-06,2014/15,Romania,SuperLiga,1,Domestic,Petrolul Ploiești,Pandurii Târgu Jiu,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-04-07,2014/15,Romania,SuperLiga,1,Domestic,CFR Cluj,Oțelul Galați,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-04-07,2014/15,Romania,SuperLiga,1,Domestic,CSMS Iași,Dinamo București,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-04-07,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Universitatea Cluj,3,0,3-0,H,wikipedia,wikipedia,football-data
2015-04-08,2014/15,Romania,SuperLiga,1,Domestic,Botoșani,Concordia Chiajna,3,0,3-0,H,wikipedia,wikipedia,football-data
2015-04-08,2014/15,Romania,SuperLiga,1,Domestic,Rapid București,Târgu Mureș,1,2,1-2,A,wikipedia,wikipedia,football-data
2015-04-08,2014/15,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Gaz Metan Mediaș,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-04-09,2014/15,Romania,SuperLiga,1,Domestic,Brașov,Ceahlăul Piatra Neamț,0,2,0-2,A,wikipedia,wikipedia,football-data
2015-04-09,2014/15,Romania,SuperLiga,1,Domestic,Pandurii Târgu Jiu,Astra Giurgiu,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-04-09,2014/15,Romania,SuperLiga,1,Domestic,Steaua București,Petrolul Ploiești,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-04-10,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Cluj,CFR Cluj,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-04-11,2014/15,Romania,SuperLiga,1,Domestic,Concordia Chiajna,CSMS Iași,2,1,2-1,H,wikipedia,wikipedia,football-data
2015-04-11,2014/15,Romania,SuperLiga,1,Domestic,Dinamo București,Rapid București,2,0,2-0,H,wikipedia,wikipedia,football-data
2015-04-11,2014/15,Romania,SuperLiga,1,Domestic,Târgu Mureș,Universitatea Craiova,2,1,2-1,H,wikipedia,wikipedia,football-data
