goratings_id,goratings_name,source_goratings_name,canonical_goratings_id,alias_count,historical_name,match_status,match_iteration,match_game_count,second_best_game_count,checkpoint_rating,checkpoint_games,last_historical_game,name_occurrences
2553,Hirata Shu,Hirata Shu,2553,1,Hirata Shu,exact_name_match,0,NA,NA,3066.345233797615,3,2025-09-03,8
1187,Hirata Tomoya,Hirata Tomoya,1187,1,Hirata Tomoya,exact_name_match,0,NA,NA,3424.1146790963876,182,2025-08-17,19
817,Hiroe Hiroyuki,Hiroe Hiroyuki,817,1,Hiroe Hiroyuki,exact_name_match,0,NA,NA,3105.278887952674,33,2015-05-21,2
1708,Hirose Yuichi,Hirose Yuichi,1708,1,Hirose Yuichi,exact_name_match,0,NA,NA,3336.927958638798,178,2025-12-24,17
2370,Hoda Shota,Hoda Shota,2370,1,Hoda Shota,exact_name_match,0,NA,NA,3055.4901601299225,20,2025-11-27,4
1675,Honda Goro,Honda Goro,1675,1,Honda Goro,exact_name_match,0,NA,NA,3071.447034438277,8,2025-02-19,9
900,Honda Mitsuhiko,Honda Mitsuhiko,900,1,Honda Mitsuhiko,exact_name_match,0,NA,NA,3146.376573051094,5,2007-10-24,9
1428,Hong Seokui,Hong Seokui,1428,1,Hong Seokui,exact_name_match,0,NA,NA,3101.049990823535,1,2016-11-28,20
340,Hong Seongji,Hong Seongji,340,1,Hong Seongji,exact_name_match,0,NA,NA,3396.989962761478,447,2025-12-19,13
1078,Horimoto Mitsunari,Horimoto Mitsunari,1078,1,Horimoto Mitsunari,exact_name_match,0,NA,NA,3140.3475651281246,57,2023-12-21,3
1456,Hoshiai Shiho,Hoshiai Shiho,1456,1,Hoshiai Shiho,exact_name_match,0,NA,NA,3122.545669999717,108,2025-11-05,27
1234,Hoshikawa Koyo,Hoshikawa Koyo,1234,1,Hoshikawa Koyo,exact_name_match,0,NA,NA,3071.9672775894323,25,2025-08-27,7
1005,Hoshikawa Manabu,Hoshikawa Manabu,1005,1,Hoshikawa Manabu,exact_name_match,0,NA,NA,3043.5747593690708,12,2025-02-12,7
1083,Hoshikawa Takumi,Hoshikawa Takumi,1083,1,Hoshikawa Takumi,exact_name_match,0,NA,NA,2993.3937753716423,30,2025-11-05,12
1677,Hotta Seiji,Hotta Seiji,1677,1,Hotta Seiji,exact_name_match,0,NA,NA,3124.5386779717737,6,2016-02-15,1
184,Hu Yaoyu,Hu Yaoyu,184,1,Hu Yaoyu,exact_name_match,0,NA,NA,3397.7308668457717,697,2025-10-26,4
2043,Hu Zihao,Hu Zihao,2043,1,Hu Zihao,exact_name_match,0,NA,NA,3197.561163061247,87,2025-12-09,19
191,Hua Xueming,Hua Xueming,191,1,Hua Xueming,exact_name_match,0,NA,NA,3032.214502188315,200,2024-11-13,1
1434,Huang Jingyuan,Huang Jingyuan,1434,1,Huang Jingyuan,exact_name_match,0,NA,NA,3288.699477630084,76,2025-12-09,3
1850,Huang Mingyu,Huang Mingyu,1850,1,Huang Mingyu,exact_name_match,0,NA,NA,3335.66166551829,113,2025-12-09,19
2459,Huang Qiuxuan,Huang Qiuxuan,2459,1,Huang Qiuxuan,exact_name_match,0,NA,NA,3039.701628653681,10,2025-12-11,8
2494,Huang Siyuan,Huang Siyuan,2494,1,Huang Siyuan,exact_name_match,0,NA,NA,3124.1347544955424,5,2025-03-17,1
2544,Huang Siyue,Huang Siyue,2544,1,Huang Siyue,exact_name_match,0,NA,NA,3081.7215792016923,2,2025-07-05,1
1333,Huang Xin,Huang Xin,1333,1,Huang Xin,exact_name_match,0,NA,NA,3161.6770942819644,90,2025-11-19,2
1232,Huang Yunsong,Huang Yunsong,1232,1,Huang Yunsong,exact_name_match,0,NA,NA,3475.454277926267,431,2025-12-09,32
1760,Huang Ziping,Huang Ziping,1760,1,Huang Ziping,exact_name_match,0,NA,NA,3022.9010238904775,62,2025-12-13,1
1261,Hwang Jaeyeon,Hwang Jaeyeon,1261,1,Hwang Jaeyeon,exact_name_match,0,NA,NA,3154.8756798074037,80,2025-07-26,2
1231,Ichiriki Ryo,Ichiriki Ryo,1231,1,Ichiriki Ryo,exact_name_match,0,NA,NA,3618.1080960448858,795,2025-12-28,32
1188,Ida Atsushi,Ida Atsushi,1188,1,Ida Atsushi,exact_name_match,0,NA,NA,3348.690741492074,443,2025-12-11,21
355,Iguchi Toyohide,Iguchi Toyohide,355,1,Iguchi Toyohide,exact_name_match,0,NA,NA,3099.137487430889,35,2025-05-08,5
2198,Ikemoto Ryota,Ikemoto Ryota,2198,1,Ikemoto Ryota,exact_name_match,0,NA,NA,3060.1205551926546,14,2025-11-29,11
2020,Imabun Taro,Imabun Taro,2020,1,Imabun Taro,exact_name_match,0,NA,NA,3106.4252577685425,65,2025-12-17,20
881,Imai Kazuhiro,Imai Kazuhiro,881,1,Imai Kazuhiro,exact_name_match,0,NA,NA,3062.9123512600636,25,2025-04-09,7
202,Imamura Toshiya,Imamura Toshiya,202,1,Imamura Toshiya,exact_name_match,0,NA,NA,3117.097880661204,564,2025-09-29,14
277,Imamura Yoshiaki,Imamura Yoshiaki,277,1,Imamura Yoshiaki,exact_name_match,0,NA,NA,3152.59564034724,169,2025-09-15,2
1189,Inaba Takahiro,Inaba Takahiro,1189,1,Inaba Takahiro,exact_name_match,0,NA,NA,3086.313092537961,23,2024-08-08,6
1204,Inoue Naoki,Inoue Naoki,1204,1,Inoue Naoki,exact_name_match,0,NA,NA,2999.55083462168,19,2025-10-02,14
273,Ishida Atsushi,Ishida Atsushi,273,1,Ishida Atsushi,exact_name_match,0,NA,NA,3035.10925881722,107,2022-08-25,1
923,Ishigure Ikuro,Ishigure Ikuro,923,1,Ishigure Ikuro,exact_name_match,0,NA,NA,3146.190093164029,88,2025-04-07,1
62,Ishii Kunio,Ishii Kunio,62,1,Ishii Kunio,exact_name_match,0,NA,NA,3106.6803757073976,231,2023-01-19,1
851,Ishii Shinzo,Ishii Shinzo,851,1,Ishii Shinzo,exact_name_match,0,NA,NA,3077.324775158003,59,2020-10-15,7
811,Ishikura Noboru,Ishikura Noboru,811,1,Ishikura Noboru,exact_name_match,0,NA,NA,2982.142309101981,68,2025-01-23,1
2011,Ito Kayoko,Ito Kayoko,2011,1,Ito Kayoko,exact_name_match,0,NA,NA,3022.394719254917,26,2005-05-08,5
1639,Ito Kenryo,Ito Kenryo,1639,1,Ito Kenryo,exact_name_match,0,NA,NA,3031.3498994814445,12,2023-04-03,1
1147,Ito Masashi,Ito Masashi,1147,1,Ito Masashi,exact_name_match,0,NA,NA,3020.8272470985135,34,2024-11-18,7
769,Iwamaru Taira,Iwamaru Taira,769,1,Iwamaru Taira,exact_name_match,0,NA,NA,3081.4551330954378,35,2022-09-26,7
1973,Iwata Saeka,Iwata Saeka,1973,1,Iwata Saeka,exact_name_match,0,NA,NA,3103.6040083160997,31,2025-12-01,25
601,Iyama Yuta,Iyama Yuta,601,1,Iyama Yuta,exact_name_match,0,NA,NA,3515.945739688106,1220,2025-12-24,37
698,Izawa Akino,Izawa Akino,698,1,Izawa Akino,exact_name_match,0,NA,NA,2940.1910898654896,105,2025-11-20,8
341,Izumitani Hideo,Izumitani Hideo,341,1,Izumitani Hideo,exact_name_match,0,NA,NA,3031.636070714602,43,2025-04-03,3
1810,Izumo Tetsuya,Izumo Tetsuya,1810,1,Izumo Tetsuya,exact_name_match,0,NA,NA,3079.6945005290895,9,2024-07-31,6
2488,Jan Simara,Jan Simara,2488,1,Jan Simara,exact_name_match,0,NA,NA,3060.6628292277987,7,2024-03-19,9
