issue,date,black_id,black_name,white_id,white_name,winner_id,reported_by_black,reported_by_white,details
Profile observation counts differ,2026-03-07,10001341,Kim Sangyeong,2137,Nakamura Sumire,2137,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-03-07,2446,Jeong Junwoo,10001281,Yoon Seowon,2446,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-03-17,1832,Zeng Yuanhai,2574,Ma Nate,1832,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-03-25,2038,Li Haotong,001377,邱启航,2038,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-04-02,000546,Kunimatsu So,870,Takei Takashi,000546,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-04-03,10001372,Jeong Wonchan,2602,Kim Juhyeong,10001372,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-04-06,2299,Omote Yuto,000531,Seki Ryosuke,2299,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-04-08,1282,Li Qincheng,2403,Zheng Yuhao,1282,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-04-10,10001185,Lim Kyeongchan,1194,Fan Tingyu,1194,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-04-17,10001372,Jeong Wonchan,2491,Kang Jaewoo,2491,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-04-20,10001232,이서영(大),1315,Oh Yujin,1315,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-04-20,2372,Hsiao Yu-Yang,000546,Kunimatsu So,2372,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-04-20,2373,Kumaki Teruya,000546,Kunimatsu So,000546,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-04-23,36,Lin Hai Fong,2599,Kikuchi Yoshio,2599,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-04-26,2586,Lyu Zhengyi,2600,Zhang Wenzheng,2600,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-04-26,2603,Zou Ziyang,2604,Xiong Mingrui,2603,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-04-30,1530,Otani Naoki,000546,Kunimatsu So,1530,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-01,1524,Lukas Podpera,14898301,Lucas Neirynck,1524,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-01,1524,Lukas Podpera,17937964,Kim Dohyup,17937964,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-01,1543,Ali Jabarin,17937964,Kim Dohyup,17937964,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-05-08,10001328,Kang Kyeonghyeon,2378,Im Sanggyu,2378,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-05-15,17937964,Kim Dohyup,1524,Lukas Podpera,17937964,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-05-15,17937964,Kim Dohyup,1543,Ali Jabarin,17937964,0,1,Black profile rows: 0; White profile rows: 1
