Team,Rating,Games,FirstMatchDate,StartRating
Guinea-Bissau,2186,188,1953-06-02,2300
Bermuda,2186,196,1964-08-10,2300
Saare County,2185,35,1999-06-27,2300
Puerto Rico,2182,160,1940-11-12,2300
Lesotho,2182,295,1970-08-08,2300
Saint Kitts and Nevis,2180,224,1938-08-17,2300
Singapore,2179,694,1953-04-11,2300
Central African Republic,2179,136,1960-04-14,2300
India,2176,530,1938-09-03,2300
Faroe Islands,2176,284,1972-07-12,2300
Tibet,2172,16,2001-06-30,2300
Sint Maarten,2170,58,1989-05-07,2300
Philippines,2169,338,1913-02-04,2300
Latvia,2169,459,1922-09-24,2300
Samoa,2167,71,1979-08-31,2300
Belize,2165,119,1983-12-08,2300
Tuvalu,2165,39,1979-08-30,2300
Malta,2161,456,1957-02-24,2300
Moldova,2159,295,1956-08-12,2300
Grenada,2154,257,1938-08-17,2300
Saint Lucia,2143,229,1938-01-09,2300
Lithuania,2140,429,1923-06-24,2300
Frøya,2138,37,1997-06-29,2300
Falkland Islands,2138,33,2001-07-08,2300
Eswatini,2135,274,1968-05-01,2300
Bonaire,2134,41,2010-10-29,2300
Montserrat,2132,66,1991-05-10,2300
Cook Islands,2128,53,1971-09-11,2300
Saint Martin,2125,66,1990-03-24,2300
Yemen,2124,266,1966-04-02,2300
South Sudan,2116,78,2012-07-10,2300
Chad,2109,138,1961-12-25,2300
Antigua and Barbuda,2101,231,1972-11-10,2300
Eritrea,2100,71,1992-06-26,2300
Afghanistan,2092,144,1941-08-10,2300
Dominica,2085,213,1932-03-23,2300
Barbados,2081,300,1929-04-20,2300
Aruba,2081,149,1924-04-06,2300
Tonga,2079,68,1979-08-29,2300
Mauritius,2072,325,1947-02-15,2300
Myanmar,2065,510,1951-03-05,2300
São Tomé and Príncipe,2063,71,1976-05-02,2300
Turks and Caicos Islands,2062,52,1999-02-24,2300
Northern Mariana Islands,2058,30,1998-07-30,2300
Cayman Islands,2055,116,1985-03-03,2300
Bangladesh,2051,303,1973-07-27,2300
Bahamas,2044,65,1971-04-14,2300
Gibraltar,2040,157,1993-07-04,2300
Taiwan,2040,237,1950-04-16,2300
Nepal,2039,268,1972-10-13,2300
American Samoa,2035,53,1983-08-20,2300
Maldives,2004,231,1979-08-27,2300
Andorra,1999,224,1996-11-13,2300
British Virgin Islands,1995,119,1985-11-05,2300
United States Virgin Islands,1994,76,1998-03-22,2300
Mongolia,1988,101,1942-08-10,2300
Guam,1987,118,1975-08-02,2300
Cambodia,1981,293,1954-11-01,2300
Alderney,1976,135,1905-04-17,2300
Djibouti,1964,111,1947-12-05,2300
Sri Lanka,1964,248,1952-03-24,2300
Seychelles,1955,176,1974-03-13,2300
Somalia,1954,124,1963-11-11,2300
Pakistan,1946,244,1952-03-18,2300
Anguilla,1938,89,1985-11-05,2300
Laos,1936,224,1961-12-12,2300
Liechtenstein,1929,255,1981-06-14,2300
Brunei,1913,137,1971-05-22,2300
Macau,1897,143,1949-01-25,2300
Timor-Leste,1884,86,2003-03-21,2300
Bhutan,1863,109,1982-04-01,2300
San Marino,1849,221,1990-11-14,2300
